#play delay
16.554863 0.000000
58.249869 16.695006
69.738625 6.488756
82.820606 8.081981
91.679205 3.858599
103.831211 7.152006
116.189514 7.358303
126.177914 4.988400
136.621796 5.443882
146.534781 4.912985
156.004051 4.469270
165.294184 4.290133
172.842028 2.547844
181.362216 3.520188
189.475312 3.113096
198.155568 3.680256
207.480713 4.325145
216.327787 3.847074
223.740234 2.412447
230.442592 1.702358
238.583054 3.140462
245.221601 1.638547
253.247025 3.025424
260.652785 2.405760
268.878210 3.225425
276.209125 2.330915
284.551189 3.342064
292.336045 2.784856
299.966880 2.630835
308.769372 3.802492
316.601081 2.831709
324.831020 3.229939
331.245205 1.414185
338.427592 2.182387
345.081012 1.653420
351.327697 1.246685
358.292626 1.964929
364.920709 1.628083
371.547066 1.626357
377.799902 1.252836
385.177051 2.377149
391.750119 1.573068
397.680524 0.930405
404.999730 2.319206
411.299305 1.299575
418.847438 2.548133
424.968346 1.120908
431.069382 1.101036
437.736025 1.666643
444.775289 2.039264
451.821858 2.046569
459.187995 2.366137
464.829241 0.641246
471.069158 1.239917
477.403633 1.334475
484.095649 1.692016
490.800782 1.705133
497.817780 2.016998
503.467617 0.649837
509.487258 1.019641
529.572413 0.085155
1024.572413 0.000000
