# AndroidClient mimuroto
91.004484 0.128000  91.045063 0.128000 
91.095063 5.120000  95.389462 5.120000 
95.389462 5.120000  98.454307 5.120000 
98.454307 5.120000  101.532994 5.120000 
101.532994 5.120000  105.598592 5.120000 
105.598592 5.120000  108.960958 5.120000 
108.960958 5.120000  112.008528 5.120000 
112.008528 5.120000  115.754053 5.120000 
116.095063 5.120000  120.353631 5.120000 
121.095063 5.120000  126.913187 5.120000 
126.913187 5.120000  132.644559 5.120000 
132.644559 5.120000  138.389307 5.120000 
138.389307 5.120000  144.214283 5.120000 
144.214283 5.120000  150.011784 5.120000 
150.011784 5.120000  156.942027 5.120000 
156.942027 5.120000  164.187749 5.120000 
164.187749 5.120000  171.486617 5.120000 
171.536617 5.120000  178.749735 5.120000 
178.799735 4.864000  186.482563 4.864000 
186.532563 4.864000  194.719396 4.864000 
194.769396 4.608000  202.572945 4.608000 
202.622945 4.352000  209.927213 4.352000 
209.977213 4.352000  217.372226 4.352000 
217.422226 4.352000  224.806663 4.352000 
224.856663 4.096000  231.672182 4.096000 
231.722182 4.096000  238.583011 4.096000 
238.633011 4.096000  245.552650 4.096000 
245.602650 4.096000  252.533758 4.096000 
252.583758 3.840000  258.967538 3.840000 
259.017538 3.840000  265.566827 3.840000 
265.616827 3.840000  272.060745 3.840000 
272.110745 3.840000  278.508439 3.840000 
278.558439 3.840000  284.898577 3.840000 
284.948577 3.840000  291.363814 3.840000 
291.413814 3.840000  297.885672 3.840000 
297.935672 3.840000  304.258487 3.840000 
304.308487 3.584000  310.370883 3.584000 
310.420883 3.584000  316.539700 3.584000 
316.589700 3.584000  322.801021 3.584000 
322.851021 3.584000  328.826647 3.584000 
328.876647 3.584000  334.999333 3.584000 
335.049333 3.584000  341.010604 3.584000 
341.060604 3.584000  347.062096 3.584000 
347.112096 3.584000  353.247227 3.584000 
353.297227 3.584000  359.355386 3.584000 
359.405386 3.584000  365.320533 3.584000 
365.370533 3.584000  371.266655 3.584000 
371.316655 3.584000  377.232349 3.584000 
377.282349 3.584000  383.226020 3.584000 
383.276020 3.584000  389.131018 3.584000 
389.181018 3.584000  395.230628 3.584000 
395.280628 3.328000  400.831877 3.328000 
400.881877 3.328000  406.306191 3.328000 
406.356191 3.328000  411.830458 3.328000 
411.880458 3.328000  417.377510 3.328000 
417.427510 3.328000  422.916844 3.328000 
422.966844 3.328000  428.564642 3.328000 
428.614642 3.328000  434.130851 3.328000 
434.180851 3.328000  439.762353 3.328000 
439.812353 3.328000  445.328914 3.328000 
445.378914 3.328000  450.976229 3.328000 
451.026229 3.328000  456.458579 3.328000 
456.508579 3.328000  461.999795 3.328000 
462.049795 3.328000  467.617711 3.328000 
467.667711 3.328000  473.168848 3.328000 
473.218848 3.328000  478.799679 3.328000 
478.849679 3.328000  484.439873 3.328000 
484.489873 3.328000  490.039934 3.328000 
490.089934 3.328000  495.672942 3.328000 
495.722942 3.328000  501.139948 3.328000 
501.189948 3.328000  506.578166 3.328000 
506.628166 3.328000  512.009338 3.328000 
512.059338 3.328000  517.634636 3.328000 
517.684636 3.328000  523.146765 3.328000 
