# VLDDashClient mimuroto
151.012033 0.128000  151.188988 0.128000 
151.238988 3.584000  156.271261 3.584000 
156.321261 3.328000  161.012447 3.328000 
161.012447 3.328000  165.743139 3.328000 
165.743139 3.328000  170.355647 3.328000 
170.355647 3.328000  175.036394 3.328000 
175.036394 3.328000  179.709864 3.328000 
179.709864 3.328000  185.013509 3.328000 
185.013509 3.328000  190.559637 3.328000 
190.559637 3.328000  196.079541 3.328000 
196.079541 3.328000  201.716892 3.328000 
201.766892 3.072000  206.957352 3.072000 
207.007352 3.072000  212.135571 3.072000 
212.185571 3.072000  217.332837 3.072000 
217.382837 3.072000  222.603443 3.072000 
222.653443 3.072000  227.825783 3.072000 
227.875783 3.072000  232.965201 3.072000 
233.015201 3.072000  238.246937 3.072000 
238.296937 3.072000  243.449870 3.072000 
243.499870 3.072000  248.569497 3.072000 
248.619497 3.072000  253.803120 3.072000 
253.853120 3.072000  258.928471 3.072000 
258.978471 3.072000  264.135835 3.072000 
264.185835 3.072000  269.453516 3.072000 
269.503516 3.072000  274.624297 3.072000 
274.674297 3.072000  279.823892 3.072000 
279.873892 3.072000  285.031323 3.072000 
285.081323 3.072000  290.247010 3.072000 
290.297010 3.072000  295.361869 3.072000 
295.411869 3.072000  300.651342 3.072000 
300.701342 3.072000  305.974978 3.072000 
306.024978 3.072000  311.251055 3.072000 
311.301055 3.072000  316.502243 3.072000 
316.552243 3.072000  321.652256 3.072000 
321.702256 3.072000  326.783029 3.072000 
326.833029 3.072000  332.010543 3.072000 
332.060543 3.072000  337.232367 3.072000 
337.282367 2.816000  342.039586 2.816000 
342.039586 2.816000  346.704225 2.816000 
346.704225 2.816000  351.447798 2.816000 
351.447798 2.816000  356.178594 2.816000 
356.178594 2.816000  360.925688 2.816000 
360.925688 2.816000  365.619800 2.816000 
365.619800 2.816000  370.316900 2.816000 
370.316900 2.816000  375.060433 2.816000 
375.060433 2.816000  379.688405 2.816000 
379.688405 2.816000  384.405030 2.816000 
384.405030 2.816000  389.070346 2.816000 
389.070346 2.816000  393.703895 2.816000 
393.703895 2.816000  398.414421 2.816000 
398.414421 2.816000  403.007504 2.816000 
403.007504 2.816000  407.736156 2.816000 
407.736156 2.816000  412.476150 2.816000 
412.476150 2.816000  417.164517 2.816000 
417.164517 2.816000  421.771489 2.816000 
421.771489 2.816000  426.475111 2.816000 
426.475111 2.816000  431.271018 2.816000 
431.271018 2.816000  435.916516 2.816000 
435.916516 2.816000  440.646242 2.816000 
440.646242 2.816000  445.351336 2.816000 
445.351336 2.816000  450.001855 2.816000 
450.001855 2.816000  454.730683 2.816000 
454.730683 2.816000  459.408780 2.816000 
459.408780 2.816000  464.183401 2.816000 
464.183401 2.816000  468.900084 2.816000 
468.900084 2.816000  473.559850 2.816000 
473.559850 2.816000  478.293679 2.816000 
478.293679 2.816000  483.006157 2.816000 
483.006157 2.816000  487.595091 2.816000 
487.595091 2.816000  492.270276 2.816000 
492.282367 2.816000  496.924320 2.816000 
497.282367 2.816000  502.048796 2.816000 
502.282367 2.816000  506.933341 2.816000 
507.282367 2.816000  512.079522 2.816000 
512.282367 2.816000  516.912474 2.816000 
517.282367 2.816000  521.934657 2.816000 
522.282367 2.816000  527.071503 2.816000 
527.282367 2.816000  531.990455 2.816000 
532.282367 2.816000  536.978714 2.816000 
537.282367 2.816000  541.920954 2.816000 
542.282367 2.816000  547.000168 2.816000 
547.282367 2.816000  551.905719 2.816000 
552.282367 2.816000  556.970962 2.816000 
557.282367 2.816000  561.926221 2.816000 
562.282367 2.816000  567.003348 2.816000 
567.282367 2.816000  572.009100 2.816000 
572.282367 2.816000  576.730322 2.816000 
577.282367 2.816000  581.917581 2.816000 
582.282367 2.816000  586.949533 2.816000 
587.282367 2.816000  591.965303 2.816000 
592.282367 2.816000  597.006542 2.816000 
597.282367 2.816000  601.948165 2.816000 
602.282367 2.816000  607.004509 2.816000 
607.282367 2.816000  611.975138 2.816000 
612.282367 2.816000  616.940881 2.816000 
617.282367 2.816000  621.992170 2.816000 
622.282367 2.816000  627.022028 2.816000 
627.282367 2.816000  631.876553 2.816000 
632.282367 2.816000  636.873453 2.816000 
637.282367 2.816000  641.930258 2.816000 
642.282367 2.816000  646.866200 2.816000 
647.282367 2.816000  651.745224 2.816000 
652.282367 2.816000  656.387181 2.816000 
657.282367 2.816000  662.021394 2.816000 
662.282367 2.816000  666.859818 2.816000 
667.282367 2.816000  671.922850 2.816000 
672.282367 2.816000  677.007652 2.816000 
677.282367 2.816000  682.072656 2.816000 
682.282367 2.816000  686.964244 2.816000 
687.282367 2.816000  691.919355 2.816000 
692.282367 2.816000  696.918154 2.816000 
697.282367 2.816000  702.016839 2.816000 
702.282367 2.816000  706.952003 2.816000 
707.282367 2.816000  712.029742 2.816000 
712.282367 2.816000  716.844003 2.816000 
717.282367 2.816000  722.039957 2.816000 
722.282367 2.816000  727.043534 2.816000 
727.282367 2.816000  731.991770 2.816000 
732.282367 2.816000  736.989167 2.816000 
737.282367 2.816000  742.030020 2.816000 
742.282367 2.816000  746.987492 2.816000 
747.282367 2.816000  751.935662 2.816000 
752.282367 2.816000  756.931373 2.816000 
757.282367 2.816000  762.013373 2.816000 
762.282367 2.816000  766.982106 2.816000 
767.282367 2.816000  771.982994 2.816000 
772.282367 2.816000  777.010781 2.816000 
777.282367 2.816000  781.981460 2.816000 
782.282367 2.816000  786.930395 2.816000 
787.282367 2.816000  791.891369 2.816000 
792.282367 2.816000  796.892960 2.816000 
797.282367 2.816000  801.740316 2.816000 
802.282367 2.816000  806.889891 2.816000 
807.282367 2.816000  811.805850 2.816000 
812.282367 2.816000  816.833194 2.816000 
817.282367 2.816000  821.874126 2.816000 
822.282367 2.816000  826.879194 2.816000 
827.282367 2.816000  831.884182 2.816000 
832.282367 2.816000  836.832956 2.816000 
837.282367 2.816000  841.929080 2.816000 
842.282367 2.816000  846.712443 2.816000 
847.282367 2.816000  851.411178 2.816000 
852.282367 2.816000  856.063344 2.816000 
857.282367 2.816000  860.548627 2.816000 
862.282367 2.816000  865.264878 2.816000 
867.282367 2.816000  869.902857 2.816000 
872.282367 2.816000  874.772436 2.816000 
877.282367 2.816000  880.021288 2.816000 
882.282367 3.072000  885.283050 3.072000 
887.282367 3.072000  890.526854 3.072000 
892.282367 3.072000  895.751565 3.072000 
897.282367 3.072000  901.104403 3.072000 
902.282367 3.072000  906.466170 3.072000 
907.282367 3.072000  911.943097 3.072000 
912.282367 3.072000  917.148964 3.072000 
917.282367 3.072000  922.321460 3.072000 
922.321460 3.072000  927.513053 3.072000 
927.513053 3.072000  932.657242 3.072000 
932.657242 3.072000  937.831023 3.072000 
937.831023 3.072000  943.036996 3.072000 
943.036996 3.072000  948.135094 3.072000 
948.135094 3.072000  953.332397 3.072000 
953.332397 3.072000  958.436336 3.072000 
958.436336 3.072000  963.583819 3.072000 
963.583819 3.072000  968.700264 3.072000 
968.700264 3.072000  973.822501 3.072000 
973.822501 3.072000  979.038085 3.072000 
979.038085 3.072000  984.095700 3.072000 
984.095700 3.072000  989.199475 3.072000 
989.199475 3.072000  994.386482 3.072000 
994.386482 3.072000  999.470881 3.072000 
999.470881 3.072000  1004.584261 3.072000 
1004.584261 3.072000  1009.812316 3.072000 
1009.812316 3.072000  1015.045568 3.072000 
1015.045568 3.072000  1020.163718 3.072000 
1020.163718 3.072000  1025.329220 3.072000 
1025.329220 3.072000  1030.429199 3.072000 
1030.429199 3.072000  1035.697962 3.072000 
1035.697962 3.072000  1040.456758 3.072000 
1040.456758 3.072000  1044.556877 3.072000 
