#play delay
61.094857 56.094857
66.094857 0.000000
178.165901 2.071044
186.265573 3.099672
194.724582 3.459009
203.390345 3.665763
211.986244 3.595899
220.078924 3.092680
228.358265 3.279341
236.122938 2.764673
243.912193 2.789255
251.760455 2.848262
259.018990 2.258535
266.347653 2.328663
273.699830 2.352177
281.071996 2.372166
288.376066 2.304070
295.367755 1.991689
302.310614 1.942859
309.190104 1.879490
316.140690 1.950586
322.935672 1.794982
329.894050 1.958378
336.798857 1.904807
343.347333 1.548476
349.871616 1.524283
356.374634 1.503018
362.749581 1.374947
369.220064 1.470483
375.596597 1.376533
381.984261 1.387664
388.417474 1.433213
394.831525 1.414051
401.202882 1.371357
407.554452 1.351570
413.942339 1.387887
419.966055 1.023716
426.100963 1.134908
431.996670 0.895707
438.014787 1.018117
444.032365 1.017578
450.044704 1.012339
456.170246 1.125542
462.174333 1.004087
468.134108 0.959775
474.215017 1.080909
480.154622 0.939605
486.069365 0.914743
492.015658 0.946293
497.951294 0.935636
504.006279 1.054985
509.955513 0.949234
515.893924 0.938411
521.766145 0.872221
527.586213 0.820068
533.527391 0.941178
539.458892 0.931501
545.503656 1.044764
551.348040 0.844384
557.260911 0.912871
563.115519 0.854608
569.138160 1.022641
574.688900 0.550740
580.235674 0.546774
585.753027 0.517353
591.311799 0.558772
596.781422 0.469623
602.180473 0.399051
607.671994 0.491521
613.206418 0.534424
618.751346 0.544928
624.362447 0.611101
629.897951 0.535504
635.410960 0.513009
640.943081 0.532121
646.379278 0.436197
651.590246 0.210968
667.035141 0.444895
672.543711 0.508570
678.174340 0.630629
683.744263 0.569923
689.353706 0.609443
694.889505 0.535799
700.007992 0.118487
705.142175 0.134183
710.358845 0.216670
715.455460 0.096615
735.519617 0.064157
740.679828 0.160211
745.814557 0.134729
750.878573 0.064016
756.071640 0.193067
