# AndroidClient mimuroto
61.004457 0.128000  61.044857 0.128000 
61.094857 5.120000  63.932990 5.120000 
63.932990 5.120000  65.462243 5.120000 
65.462243 5.120000  67.687535 5.120000 
67.687535 5.120000  69.842947 5.120000 
71.094857 5.120000  73.975357 5.120000 
76.094857 5.120000  78.922384 5.120000 
81.094857 5.120000  83.914230 5.120000 
86.094857 5.120000  88.957456 5.120000 
91.094857 5.120000  95.405665 5.120000 
96.094857 5.120000  100.393729 5.120000 
101.094857 5.120000  105.385423 5.120000 
106.094857 5.120000  110.465720 5.120000 
111.094857 5.120000  115.404937 5.120000 
116.094857 5.120000  120.414188 5.120000 
121.094857 5.120000  126.876031 5.120000 
126.876031 5.120000  132.670717 5.120000 
132.670717 5.120000  138.442746 5.120000 
138.442746 5.120000  144.213016 5.120000 
144.213016 5.120000  150.048432 5.120000 
150.048432 5.120000  156.973848 5.120000 
156.973848 5.120000  164.142271 5.120000 
164.142271 5.120000  170.908290 4.864000 
170.908290 5.120000  176.062618 3.584000 
176.062618 5.120000  180.724431 3.328000 
180.724431 5.120000  186.609915 3.584000 
186.659915 5.120000  191.371219 2.816000 
191.371219 5.120000  196.186436 2.816000 
196.186436 5.120000  200.945861 2.816000 
200.945861 5.120000  205.765333 2.816000 
205.765333 5.120000  210.577586 2.816000 
210.577586 4.864000  215.817496 3.072000 
215.817496 4.864000  220.656085 2.816000 
220.656085 4.864000  225.442639 2.816000 
225.442639 4.608000  230.664947 3.072000 
230.664947 4.608000  235.892060 3.072000 
235.892060 4.608000  240.715907 2.816000 
240.715907 4.608000  245.470075 2.816000 
245.470075 4.608000  250.778351 3.072000 
250.778351 4.352000  255.535377 2.816000 
255.535377 4.352000  260.713707 3.072000 
260.713707 4.352000  265.557586 2.816000 
265.557586 4.352000  270.765411 3.072000 
270.765411 4.352000  275.568045 2.816000 
275.568045 4.352000  280.350496 2.816000 
280.350496 4.096000  285.520217 3.072000 
285.520217 4.096000  290.662201 3.072000 
290.662201 4.096000  295.450390 2.816000 
295.450390 4.096000  300.527506 3.072000 
300.527506 4.096000  305.792774 3.072000 
305.792774 4.096000  310.540879 2.816000 
310.540879 4.096000  315.785977 3.072000 
315.785977 4.096000  320.545626 2.816000 
320.545626 4.096000  325.702090 3.072000 
325.702090 3.840000  330.925647 3.072000 
330.925647 3.840000  335.650233 2.816000 
335.650233 3.840000  340.471802 2.816000 
340.471802 3.840000  345.589091 3.072000 
345.589091 3.840000  350.829142 3.072000 
350.829142 3.840000  355.538034 2.816000 
355.538034 3.840000  360.768511 3.072000 
360.768511 3.840000  366.008107 3.072000 
366.008107 3.840000  370.372449 2.560000 
370.372449 3.840000  375.977181 3.328000 
