# VLDDashClient mimuroto
151.012389 0.128000  151.189920 0.128000 
151.239920 3.584000  156.234878 3.584000 
156.234878 3.584000  160.963882 3.328000 
160.963882 3.328000  165.648258 3.328000 
165.648258 3.328000  170.358152 3.328000 
170.358152 3.328000  175.009427 3.328000 
175.009427 3.328000  179.726754 3.328000 
179.726754 3.328000  185.136097 3.328000 
185.136097 3.328000  190.724557 3.328000 
190.724557 3.328000  195.900576 3.072000 
195.900576 3.328000  200.612201 2.816000 
200.612201 3.072000  205.832969 3.072000 
205.832969 3.072000  210.634730 2.816000 
210.634730 3.072000  215.769985 3.072000 
215.769985 3.072000  220.962091 3.072000 
220.962091 3.072000  226.239669 3.072000 
226.239669 3.072000  230.933095 2.816000 
230.933095 3.072000  236.071188 3.072000 
236.071188 3.072000  240.888467 2.816000 
240.888467 3.072000  245.655858 2.816000 
245.655858 3.072000  250.866266 3.072000 
250.866266 3.072000  255.623218 2.816000 
255.623218 3.072000  260.788436 3.072000 
260.788436 3.072000  265.947498 3.072000 
265.947498 3.072000  270.663462 2.816000 
270.663462 3.072000  275.745514 3.072000 
275.745514 3.072000  280.938340 3.072000 
280.938340 3.072000  285.734106 2.816000 
285.734106 3.072000  290.580300 2.816000 
290.580300 3.072000  295.781698 3.072000 
295.781698 3.072000  301.033546 3.072000 
301.033546 3.072000  305.780297 2.816000 
305.780297 3.072000  310.558372 2.816000 
310.558372 2.816000  315.359647 2.816000 
315.359647 2.816000  320.038314 2.816000 
320.038314 2.816000  324.850991 2.816000 
324.850991 2.816000  329.633229 2.816000 
329.633229 2.816000  334.386089 2.816000 
334.386089 2.816000  339.148465 2.816000 
339.148465 2.816000  343.953019 2.816000 
343.953019 2.816000  348.737051 2.816000 
348.737051 2.816000  353.565115 2.816000 
353.565115 2.816000  358.392841 2.816000 
358.392841 2.816000  363.206652 2.816000 
363.206652 2.816000  367.970558 2.816000 
367.970558 2.816000  372.687956 2.816000 
372.687956 2.816000  377.416522 2.816000 
377.416522 2.816000  382.068133 2.816000 
382.068133 2.816000  386.749175 2.816000 
386.749175 2.816000  391.541524 2.816000 
391.541524 2.816000  396.241510 2.816000 
396.241510 2.816000  400.992893 2.816000 
400.992893 2.816000  405.695593 2.816000 
405.695593 2.816000  410.366785 2.816000 
410.366785 2.816000  415.155832 2.816000 
415.155832 2.816000  419.847574 2.816000 
419.847574 2.816000  424.519138 2.816000 
424.519138 2.816000  429.255558 2.816000 
429.255558 2.816000  434.089636 2.816000 
434.089636 2.816000  438.727552 2.816000 
438.727552 2.816000  443.446289 2.816000 
443.446289 2.816000  448.232444 2.816000 
448.232444 2.816000  452.909412 2.816000 
452.909412 2.816000  457.606982 2.816000 
457.606982 2.816000  462.259986 2.816000 
462.259986 2.816000  467.024841 2.816000 
467.024841 2.816000  471.749618 2.816000 
471.749618 2.816000  476.470068 2.816000 
476.470068 2.816000  481.177618 2.816000 
481.239920 2.816000  486.014497 2.816000 
486.239920 2.816000  491.061273 2.816000 
491.239920 2.816000  496.000173 2.816000 
496.239920 2.816000  500.895792 2.816000 
501.239920 2.816000  506.031707 2.816000 
506.239920 2.816000  511.076364 2.816000 
511.239920 2.816000  515.950424 2.816000 
516.239920 2.816000  520.972480 2.816000 
521.239920 2.816000  525.960173 2.816000 
526.239920 2.816000  530.975578 2.816000 
531.239920 2.816000  535.942322 2.816000 
536.239920 2.816000  540.998896 2.816000 
541.239920 2.816000  545.969330 2.816000 
546.239920 2.816000  550.975954 2.816000 
551.239920 2.816000  556.039489 2.816000 
556.239920 2.816000  560.961357 2.816000 
561.239920 2.816000  566.070967 2.816000 
566.239920 2.816000  570.891581 2.816000 
571.239920 2.816000  575.963015 2.816000 
576.239920 2.816000  580.977646 2.816000 
581.239920 2.816000  585.898360 2.816000 
586.239920 2.816000  590.955241 2.816000 
591.239920 2.816000  596.037824 2.816000 
596.239920 2.816000  600.924078 2.816000 
601.239920 2.816000  606.073076 2.816000 
606.239920 2.816000  610.958962 2.816000 
611.239920 2.816000  615.905471 2.816000 
616.239920 2.816000  620.928143 2.816000 
621.239920 2.816000  625.954583 2.816000 
626.239920 2.816000  631.150988 2.816000 
631.239920 2.816000  636.060302 2.816000 
636.239920 2.816000  640.989259 2.816000 
641.239920 2.816000  646.014068 2.816000 
646.239920 2.816000  651.121874 2.816000 
651.239920 2.816000  656.069744 2.816000 
656.239920 2.816000  661.022277 2.816000 
661.239920 2.816000  666.026941 2.816000 
666.239920 2.816000  671.087000 2.816000 
671.239920 2.816000  675.976294 2.816000 
676.239920 2.816000  681.117199 2.816000 
681.239920 2.816000  686.027355 2.816000 
686.239920 2.816000  690.978664 2.816000 
691.239920 2.816000  695.944090 2.816000 
696.239920 2.816000  701.032441 2.816000 
701.239920 2.816000  705.952050 2.816000 
706.239920 2.816000  710.976252 2.816000 
711.239920 2.816000  715.949605 2.816000 
716.239920 2.816000  721.107383 2.816000 
721.239920 2.816000  725.999943 2.816000 
726.239920 2.816000  730.996856 2.816000 
731.239920 2.816000  736.035452 2.816000 
736.239920 2.816000  740.946308 2.816000 
741.239920 2.816000  745.989493 2.816000 
746.239920 2.816000  750.884121 2.816000 
751.239920 2.816000  755.853021 2.816000 
756.239920 2.816000  760.455635 2.816000 
761.239920 2.816000  764.976100 2.816000 
766.239920 2.816000  770.004067 2.816000 
771.239920 2.816000  774.991026 2.816000 
776.239920 2.816000  779.917994 2.816000 
781.239920 2.816000  784.856525 2.816000 
786.239920 2.816000  789.935926 2.816000 
791.239920 2.816000  795.005901 2.816000 
796.239920 2.816000  799.935843 2.816000 
801.239920 2.816000  804.988904 2.816000 
806.239920 2.816000  809.984794 2.816000 
811.239920 2.816000  814.954521 2.816000 
816.239920 2.816000  819.905374 2.816000 
821.239920 2.816000  824.983641 2.816000 
826.239920 2.816000  830.012670 2.816000 
831.239920 2.816000  834.918211 2.816000 
836.239920 2.816000  839.898372 2.816000 
841.239920 2.816000  844.981049 2.816000 
846.239920 2.816000  849.934119 2.816000 
851.239920 3.072000  855.266564 3.072000 
856.239920 3.072000  860.296369 3.072000 
861.239920 3.072000  865.868570 3.072000 
866.239920 3.072000  871.302498 3.072000 
871.302498 3.072000  876.394823 3.072000 
876.394823 3.072000  881.532091 3.072000 
881.532091 3.072000  886.690363 3.072000 
886.690363 3.072000  891.740581 3.072000 
891.740581 3.072000  896.813518 3.072000 
896.813518 3.072000  902.017155 3.072000 
902.017155 3.072000  907.153473 3.072000 
907.153473 3.072000  912.360494 3.072000 
912.360494 3.072000  917.557738 3.072000 
917.557738 3.072000  921.780421 3.072000 
921.780421 3.072000  925.949379 3.072000 
926.239920 3.072000  929.899459 3.072000 
931.239920 3.072000  934.715034 3.072000 
936.239920 3.072000  939.791373 3.072000 
941.239920 3.072000  944.727539 3.072000 
946.239920 3.072000  949.054125 3.072000 
951.239920 3.072000  954.112214 3.072000 
956.239920 3.072000  959.119977 3.072000 
961.239920 3.072000  964.109780 3.072000 
966.239920 3.072000  969.109116 3.072000 
971.239920 3.072000  974.076858 3.072000 
976.239920 3.072000  978.462494 3.072000 
981.239920 3.072000  983.493052 3.072000 
986.239920 3.072000  988.408303 3.072000 
991.239920 3.072000  993.526149 3.072000 
996.239920 3.072000  998.562745 3.072000 
1001.239920 3.072000  1003.449120 3.072000 
1006.239920 3.072000  1007.946227 3.072000 
1011.239920 3.072000  1012.941588 3.072000 
1016.239920 3.072000  1017.941961 3.072000 
1021.239920 3.072000  1022.949251 3.072000 
1026.239920 3.072000  1027.954146 3.072000 
1031.239920 3.072000  1032.966525 3.072000 
