# AndroidClient mimuroto
125.665673 0.128000  126.624556 0.128000 
126.674556 0.640000  128.724354 0.640000 
128.774354 1.024000  131.248826 1.024000 
131.298826 1.536000  134.171876 1.536000 
136.298826 1.792000  141.524583 1.792000 
141.524583 1.792000  144.702475 1.792000 
146.298826 2.048000  151.248031 2.048000 
151.298826 2.048000  154.595207 2.048000 
156.298826 2.048000  161.652987 2.048000 
161.652987 2.048000  165.398142 2.048000 
166.298826 2.048000  171.497650 2.048000 
171.497650 2.048000  175.156273 2.048000 
176.298826 2.048000  181.761933 2.048000 
181.761933 2.048000  185.483810 2.048000 
186.298826 2.048000  192.276177 2.048000 
192.276177 2.048000  196.095444 2.048000 
196.298826 2.048000  201.503037 2.048000 
201.503037 2.048000  204.922099 2.048000 
206.298826 2.048000  212.196665 2.048000 
212.196665 2.048000  216.122188 2.048000 
216.298826 2.048000  222.290310 2.048000 
222.290310 2.048000  226.170279 2.048000 
226.298826 2.048000  230.027623 2.048000 
231.298826 2.048000  236.191517 2.048000 
236.298826 2.048000  241.596243 2.048000 
241.596243 2.048000  245.538010 2.048000 
246.298826 2.048000  252.250698 2.048000 
252.250698 2.048000  256.094372 2.048000 
256.298826 2.048000  260.065647 2.048000 
261.298826 2.048000  266.386948 2.048000 
266.386948 2.048000  269.786698 2.048000 
271.298826 2.048000  277.210492 2.048000 
277.210492 2.048000  281.052714 2.048000 
281.298826 2.048000  287.286027 2.048000 
287.286027 2.048000  291.095237 2.048000 
291.298826 2.048000  296.773672 2.048000 
296.773672 2.048000  300.327708 2.048000 
301.298826 2.048000  306.520949 2.048000 
306.520949 2.048000  309.611798 2.048000 
311.298826 2.048000  316.412000 2.048000 
316.412000 2.048000  320.040971 2.048000 
321.298826 2.048000  327.117217 2.048000 
327.117217 2.048000  330.979991 2.048000 
331.298826 2.048000  337.276953 2.048000 
337.276953 2.048000  341.131168 2.048000 
341.298826 2.048000  347.391580 2.048000 
347.391580 2.048000  350.769574 2.048000 
351.298826 2.048000  356.941831 2.048000 
356.941831 2.048000  360.788267 2.048000 
361.298826 2.048000  367.257694 2.048000 
367.257694 2.048000  371.100323 2.048000 
371.298826 2.048000  376.965378 2.048000 
376.965378 2.048000  379.861702 2.048000 
381.298826 2.048000  386.669850 2.048000 
386.669850 2.048000  390.532029 2.048000 
391.298826 2.048000  396.949584 2.048000 
396.949584 2.048000  400.080873 2.048000 
401.298826 2.048000  406.418239 2.048000 
406.418239 2.048000  410.109021 2.048000 
411.298826 2.048000  416.896552 2.048000 
416.896552 2.048000  420.441125 2.048000 
421.298826 2.048000  427.136504 2.048000 
427.136504 2.048000  430.979213 2.048000 
431.298826 2.048000  437.312554 2.048000 
437.312554 2.048000  441.131095 2.048000 
441.298826 2.048000  446.825009 2.048000 
446.825009 2.048000  450.554091 2.048000 
451.298826 2.048000  457.226044 2.048000 
457.226044 2.048000  460.991843 2.048000 
461.298826 2.048000  466.453657 2.048000 
466.453657 2.048000  469.466885 2.048000 
471.298826 2.048000  477.056974 2.048000 
477.056974 2.048000  480.808181 2.048000 
481.298826 2.048000  486.403577 2.048000 
486.403577 2.048000  489.769848 2.048000 
491.298826 2.048000  497.135515 2.048000 
497.135515 2.048000  501.067489 2.048000 
501.298826 2.048000  506.863320 2.048000 
506.863320 2.048000  510.430746 2.048000 
511.298826 2.048000  517.230529 2.048000 
517.230529 2.048000  521.111516 2.048000 
521.298826 2.048000  525.087121 2.048000 
526.298826 2.048000  531.899434 2.048000 
531.899434 2.048000  534.850400 2.048000 
536.298826 2.048000  541.711209 2.048000 
541.711209 2.048000  545.628904 2.048000 
546.298826 2.048000  551.889851 2.048000 
551.889851 2.048000  555.183101 2.048000 
556.298826 2.048000  561.138883 2.048000 
561.298826 2.048000  566.997303 2.048000 
566.997303 2.048000  570.835478 2.048000 
571.298826 2.048000  577.410998 2.048000 
577.410998 2.048000  581.257022 2.048000 
581.298826 2.048000  584.948454 2.048000 
586.298826 2.048000  591.445477 2.048000 
591.445477 2.048000  594.432677 2.048000 
596.298826 2.048000  602.013370 2.048000 
602.013370 2.048000  605.874099 2.048000 
606.298826 2.048000  611.512485 2.048000 
611.512485 2.048000  614.740596 2.048000 
616.298826 2.048000  622.107497 2.048000 
622.107497 2.048000  625.859606 2.048000 
626.298826 2.048000  632.371394 2.048000 
632.371394 2.048000  636.268304 2.048000 
636.298826 2.048000  639.949265 2.048000 
641.298826 2.048000  645.817477 2.048000 
646.298826 2.048000  651.794811 2.048000 
651.794811 2.048000  655.806326 2.048000 
656.298826 2.048000  662.686319 2.048000 
662.686319 2.048000  666.716599 2.048000 
666.716599 2.048000  670.370493 2.048000 
671.298826 2.048000  676.174938 2.048000 
676.298826 2.048000  679.681093 2.048000 
681.298826 2.048000  686.951656 2.048000 
686.951656 2.048000  690.995400 2.048000 
691.298826 2.048000  697.680713 2.048000 
697.680713 2.048000  701.796245 2.048000 
701.796245 2.048000  705.417052 2.048000 
706.298826 2.048000  712.177800 2.048000 
712.177800 2.048000  715.348855 2.048000 
716.298826 2.048000  721.899003 2.048000 
721.899003 2.048000  725.943752 2.048000 
726.298826 2.048000  732.603508 2.048000 
732.603508 2.048000  736.648206 2.048000 
736.648206 2.048000  740.229116 2.048000 
741.298826 2.048000  746.770494 2.048000 
746.770494 2.048000  749.677990 2.048000 
751.298826 2.048000  756.842037 2.048000 
756.842037 2.048000  760.664179 2.048000 
761.298826 2.048000  767.192122 2.048000 
767.192122 2.048000  770.967507 2.048000 
771.298826 2.048000  777.530950 2.048000 
777.530950 2.048000  781.588659 2.048000 
781.588659 2.048000  785.341005 2.048000 
786.298826 2.048000  792.638063 2.048000 
792.638063 2.048000  796.661926 2.048000 
796.661926 2.048000  800.069906 2.048000 
801.298826 2.048000  806.086154 2.048000 
806.298826 2.048000  811.415559 2.048000 
811.415559 2.048000  815.239655 2.048000 
816.298826 2.048000  822.531376 2.048000 
822.531376 2.048000  826.613691 2.048000 
826.613691 2.048000  830.350453 2.048000 
831.298826 2.048000  837.605783 2.048000 
837.605783 2.048000  841.677454 2.048000 
841.677454 2.048000  845.357212 2.048000 
846.298826 2.048000  851.279003 2.048000 
851.298826 2.048000  854.636002 2.048000 
856.298826 2.048000  861.892703 2.048000 
861.892703 2.048000  865.838910 2.048000 
866.298826 2.048000  872.655089 2.048000 
872.655089 2.048000  876.740332 2.048000 
876.740332 2.048000  880.452237 2.048000 
881.298826 2.048000  886.876533 2.048000 
886.876533 2.048000  889.922146 2.048000 
891.298826 2.048000  897.383687 2.048000 
897.383687 2.048000  901.418582 2.048000 
901.418582 2.048000  904.954685 2.048000 
906.298826 2.048000  911.837250 2.048000 
911.837250 2.048000  915.584166 2.048000 
916.298826 2.048000  921.825698 2.048000 
921.825698 2.048000  924.947409 2.048000 
926.298826 2.048000  930.508855 2.048000 
931.298826 2.048000  936.002544 2.048000 
936.298826 2.048000  941.554496 2.048000 
941.554496 2.048000  945.003898 2.048000 
946.298826 2.048000  951.670600 2.048000 
951.670600 2.048000  954.339514 2.048000 
956.298826 2.048000  958.737721 2.048000 
961.298826 2.048000  963.861462 2.048000 
966.298826 2.048000  970.808171 2.048000 
971.298826 2.048000  974.647487 2.048000 
976.298826 2.048000  980.379278 2.048000 
981.298826 2.048000  983.363552 2.048000 
986.298826 2.048000  987.129920 2.048000 
991.298826 2.304000  991.963098 2.304000 
996.298826 2.304000  996.969843 2.304000 
1001.298826 2.304000  1001.961585 2.304000 
1006.298826 2.304000  1006.965816 2.304000 
1011.298826 2.304000  1011.963888 2.304000 
