# WEMAClient mimuroto
156.651750 0.128000  157.709130 0.128000 
157.759130 0.512000  159.927342 0.512000 
159.977342 1.024000  162.817606 1.024000 
162.867606 1.792000  166.565359 1.792000 
167.867606 2.304000  174.955535 2.304000 
174.955535 1.536000  177.658834 1.536000 
177.867606 2.816000  185.826613 2.816000 
185.826613 1.536000  188.446062 1.536000 
188.446062 2.816000  193.115514 2.816000 
193.115514 2.816000  197.691222 2.816000 
197.867606 3.072000  205.561437 3.072000 
205.561437 1.792000  208.371491 1.792000 
208.371491 3.072000  213.478635 3.072000 
213.478635 2.816000  218.039661 2.816000 
218.039661 3.072000  223.144381 3.072000 
223.144381 2.816000  227.971376 2.816000 
227.971376 2.816000  232.393387 2.816000 
232.867606 3.072000  240.317035 3.072000 
240.317035 2.048000  243.701498 2.048000 
243.701498 2.816000  248.210215 2.816000 
248.210215 3.072000  253.262226 3.072000 
253.262226 2.816000  257.947670 2.816000 
257.947670 2.816000  262.369167 2.816000 
262.867606 3.072000  270.542767 3.072000 
270.542767 1.792000  273.423828 1.792000 
273.423828 3.072000  278.416708 3.072000 
278.416708 3.072000  283.423553 3.072000 
283.423553 2.816000  288.069575 2.816000 
288.069575 2.816000  292.708671 2.816000 
292.867606 2.816000  300.535942 2.816000 
300.535942 1.792000  303.231836 1.792000 
303.231836 3.072000  307.603840 3.072000 
307.867606 3.328000  315.603507 3.328000 
315.603507 2.048000  318.856609 2.048000 
318.856609 3.072000  323.417478 3.072000 
323.417478 3.328000  329.030802 3.328000 
329.030802 2.816000  333.465270 2.816000 
333.465270 3.072000  338.502505 3.072000 
338.502505 2.816000  343.121089 2.816000 
343.121089 2.816000  347.685956 2.816000 
347.867606 3.072000  356.026693 3.072000 
356.026693 1.792000  359.424662 1.792000 
359.424662 2.560000  363.392284 2.560000 
363.392284 3.072000  368.379309 3.072000 
368.379309 3.072000  373.478513 3.072000 
373.478513 2.816000  377.599346 2.816000 
377.867606 3.328000  385.127608 3.328000 
385.127608 2.048000  388.623483 2.048000 
388.623483 2.816000  393.071563 2.816000 
393.071563 3.072000  397.627157 3.072000 
397.867606 3.328000  405.654233 3.328000 
405.654233 2.048000  408.972000 2.048000 
408.972000 3.072000  413.534701 3.072000 
413.534701 3.328000  418.544387 3.328000 
418.544387 3.072000  423.155473 3.072000 
423.155473 3.328000  428.591974 3.328000 
428.591974 2.816000  433.106973 2.816000 
433.106973 3.072000  438.249025 3.072000 
438.249025 2.816000  442.762779 2.816000 
442.867606 3.072000  451.160650 3.072000 
451.160650 1.792000  454.220166 1.792000 
454.220166 2.816000  458.953514 2.816000 
458.953514 2.816000  463.503433 2.816000 
463.503433 3.072000  467.479933 3.072000 
467.867606 3.840000  476.583546 3.840000 
476.583546 2.048000  480.136364 2.048000 
480.136364 2.816000  484.452875 2.816000 
484.452875 3.072000  488.461342 3.072000 
488.461342 3.584000  493.434776 3.584000 
493.434776 3.584000  499.243916 3.584000 
499.243916 3.072000  504.042696 3.072000 
504.042696 3.072000  508.656238 3.072000 
508.656238 3.328000  513.630651 3.328000 
513.630651 3.328000  519.073468 3.328000 
519.073468 2.816000  523.818445 2.816000 
523.818445 2.816000  528.217960 2.816000 
528.217960 3.072000  532.682180 3.072000 
532.867606 3.328000  540.184068 3.328000 
540.184068 2.048000  543.741602 2.048000 
543.741602 2.816000  548.216909 2.816000 
548.216909 3.072000  552.773572 3.072000 
552.867606 3.328000  557.410234 3.328000 
557.867606 3.584000  566.540160 3.584000 
566.540160 2.048000  570.284039 2.048000 
570.284039 2.560000  574.270198 2.560000 
574.270198 3.072000  579.334760 3.072000 
579.334760 2.816000  584.149723 2.816000 
584.149723 2.816000  588.572413 2.816000 
588.572413 3.072000  592.400931 3.072000 
592.867606 3.840000  601.574384 3.840000 
601.574384 2.048000  605.140251 2.048000 
605.140251 2.816000  609.417609 2.816000 
609.417609 3.072000  613.434563 3.072000 
613.434563 3.584000  618.515009 3.584000 
618.515009 3.328000  624.035111 3.328000 
624.035111 2.816000  628.476809 2.816000 
628.476809 3.072000  633.542793 3.072000 
633.542793 2.816000  638.361541 2.816000 
638.361541 2.816000  642.754280 2.816000 
642.867606 3.072000  649.129075 3.072000 
649.129075 2.304000  652.830215 2.304000 
652.867606 3.072000  657.803146 3.072000 
657.867606 3.072000  662.814651 3.072000 
662.867606 3.072000  668.132460 3.072000 
668.132460 2.816000  672.609557 2.816000 
672.867606 3.072000  679.761155 3.072000 
679.761155 2.048000  682.671597 2.048000 
682.867606 3.328000  691.429172 3.328000 
691.429172 1.792000  694.493917 1.792000 
694.493917 2.816000  699.104579 2.816000 
699.104579 2.816000  703.904718 2.816000 
703.904718 2.816000  708.248332 2.816000 
708.248332 3.072000  712.636357 3.072000 
712.867606 3.328000  720.480308 3.328000 
720.480308 2.048000  723.896743 2.048000 
723.896743 2.816000  728.321007 2.816000 
728.321007 3.072000  733.283824 3.072000 
733.283824 3.072000  738.540341 3.072000 
738.540341 2.816000  742.947134 2.816000 
742.947134 3.072000  746.990542 3.072000 
747.867606 3.584000  755.834067 3.584000 
755.834067 2.048000  759.134595 2.048000 
759.134595 3.072000  763.752870 3.072000 
763.752870 3.072000  768.262643 3.072000 
768.262643 3.328000  773.369452 3.328000 
773.369452 3.072000  778.309270 3.072000 
778.309270 3.072000  783.576546 3.072000 
783.576546 2.816000  788.022005 2.816000 
788.022005 3.072000  792.980252 3.072000 
792.980252 3.072000  798.191134 3.072000 
798.191134 2.816000  802.173552 2.816000 
802.867606 3.328000  810.002212 3.328000 
810.002212 2.304000  813.388722 2.304000 
813.388722 3.328000  818.338978 3.328000 
818.338978 3.328000  823.701749 3.328000 
823.701749 3.072000  828.965628 3.072000 
828.965628 2.816000  833.298633 2.816000 
833.298633 3.072000  838.306596 3.072000 
838.306596 2.816000  843.116271 2.816000 
843.116271 2.816000  847.621433 2.816000 
847.867606 3.072000  854.764901 3.072000 
854.764901 2.048000  857.634293 2.048000 
857.867606 3.328000  866.526218 3.328000 
866.526218 1.792000  869.489138 1.792000 
869.489138 2.816000  874.164584 2.816000 
874.164584 2.816000  878.930522 2.816000 
878.930522 2.816000  883.260491 2.816000 
883.260491 3.072000  887.292499 3.072000 
887.867606 3.584000  896.138235 3.584000 
896.138235 2.048000  899.739855 2.048000 
899.739855 2.816000  904.524926 2.816000 
904.524926 2.816000  908.232575 2.816000 
908.232575 3.584000  913.199539 3.584000 
913.199539 3.584000  918.539628 3.584000 
918.539628 3.328000  922.868889 3.328000 
922.868889 3.840000  927.424866 3.840000 
927.867606 4.096000  934.844805 4.096000 
934.844805 2.816000  938.295547 2.816000 
938.295547 3.840000  943.424971 3.840000 
943.424971 3.584000  947.905351 3.584000 
947.905351 3.840000  952.967231 3.840000 
952.967231 3.584000  956.150638 3.584000 
957.867606 5.120000  962.312583 5.120000 
962.867606 5.120000  969.298670 5.120000 
969.298670 3.840000  972.974338 3.840000 
972.974338 5.120000  977.395586 5.120000 
977.867606 5.120000  983.309080 5.120000 
983.309080 4.608000  985.746494 4.608000 
987.867606 5.120000  990.419380 5.120000 
992.867606 5.120000  995.468196 5.120000 
997.867606 5.120000  1000.416273 5.120000 
1002.867606 5.120000  1005.451033 5.120000 
1007.867606 5.120000  1010.426737 5.120000 
1012.867606 5.120000  1015.462584 5.120000 
1017.867606 5.120000  1020.158721 5.120000 
1022.867606 5.120000  1025.172708 5.120000 
1027.867606 5.120000  1029.328698 5.120000 
1032.867606 5.120000  1034.341339 5.120000 
1037.867606 5.120000  1039.326570 5.120000 
1042.867606 5.120000  1044.332077 5.120000 
