# WEMAClient mimuroto
1.055263 0.128000  1.139551 0.128000 
1.189551 5.120000  2.824631 5.120000 
2.824631 5.120000  5.974562 5.120000 
5.974562 5.120000  12.081340 5.120000 
12.081340 4.096000  18.671827 4.096000 
18.671827 3.072000  23.789641 3.072000 
23.789641 2.816000  28.119448 2.816000 
28.119448 3.072000  58.653596 3.072000 
58.703596 0.384000  61.388570 0.384000 
61.388570 0.640000  74.636817 0.640000 
74.686817 0.128000  78.756194 0.128000 
78.756194 0.128000  81.708824 0.128000 
81.708824 0.128000  83.396576 0.128000 
83.396576 0.256000  86.518038 0.256000 
86.518038 0.384000  91.069017 0.384000 
91.069017 0.384000  102.125693 0.384000 
102.125693 0.128000  106.090797 0.128000 
106.090797 0.128000  110.980520 0.128000 
110.980520 0.128000  113.816223 0.128000 
113.816223 0.128000  116.908831 0.128000 
116.908831 0.128000  120.727347 0.128000 
120.727347 0.128000  124.305302 0.128000 
124.686817 0.128000  129.099636 0.128000 
129.686817 0.128000  134.490401 0.128000 
134.686817 0.128000  139.713149 0.128000 
139.713149 0.128000  143.483657 0.128000 
144.686817 0.128000  148.373876 0.128000 
149.686817 0.128000  154.180351 0.128000 
154.686817 0.128000  159.211849 0.128000 
159.686817 0.128000  165.092916 0.128000 
165.092916 0.128000  168.465686 0.128000 
169.686817 0.128000  174.211476 0.128000 
174.686817 0.128000  179.455234 0.128000 
179.686817 0.128000  184.374509 0.128000 
184.686817 0.128000  190.041315 0.128000 
190.041315 0.128000  193.290575 0.128000 
194.686817 0.128000  199.350540 0.128000 
199.686817 0.128000  204.091938 0.128000 
204.686817 0.128000  209.952542 0.128000 
209.952542 0.128000  214.094787 0.128000 
214.686817 0.128000  219.026274 0.128000 
219.686817 0.128000  224.625361 0.128000 
224.686817 0.128000  229.330977 0.128000 
229.686817 0.128000  233.123692 0.128000 
234.686817 0.128000  241.152826 0.128000 
241.152826 0.128000  246.170069 0.128000 
246.170069 0.128000  250.254835 0.128000 
250.254835 0.128000  254.885221 0.128000 
254.885221 0.128000  260.279984 0.128000 
260.279984 0.128000  264.335421 0.128000 
264.686817 0.128000  270.471862 0.128000 
270.471862 0.128000  275.493364 0.128000 
275.493364 0.128000  279.193749 0.128000 
279.686817 0.128000  285.241784 0.128000 
285.241784 0.128000  290.102809 0.128000 
290.102809 0.128000  293.566087 0.128000 
294.686817 0.128000  300.157547 0.128000 
300.157547 0.128000  305.338164 0.128000 
305.338164 0.128000  309.292618 0.128000 
309.686817 0.128000  313.538592 0.128000 
314.686817 0.128000  320.550002 0.128000 
320.550002 0.128000  324.281708 0.128000 
324.686817 0.128000  330.252095 0.128000 
330.252095 0.128000  334.992175 0.128000 
334.992175 0.128000  338.158631 0.128000 
339.686817 0.128000  343.835036 0.128000 
344.686817 0.128000  349.902929 0.128000 
349.902929 0.128000  354.385466 0.128000 
354.686817 0.128000  358.790046 0.128000 
359.686817 0.128000  363.693599 0.128000 
364.686817 0.128000  368.429824 0.128000 
369.686817 0.128000  373.877599 0.128000 
374.686817 0.128000  380.513376 0.128000 
380.513376 0.128000  385.115579 0.128000 
385.115579 0.128000  390.676280 0.128000 
390.676280 0.128000  394.717672 0.128000 
394.717672 0.128000  399.244904 0.128000 
399.686817 0.128000  403.649118 0.128000 
404.686817 0.128000  409.872417 0.128000 
409.872417 0.128000  412.286587 0.128000 
414.686817 0.256000  421.958710 0.256000 
421.958710 0.128000  426.681838 0.128000 
426.681838 0.128000  432.094748 0.128000 
432.094748 0.128000  437.618669 0.128000 
437.618669 0.128000  441.785952 0.128000 
441.785952 0.128000  446.692699 0.128000 
446.692699 0.128000  451.884368 0.128000 
451.884368 0.128000  457.594640 0.128000 
457.594640 0.128000  460.901172 0.128000 
460.901172 0.128000  464.963905 0.128000 
464.963905 0.128000  470.787474 0.128000 
470.787474 0.128000  476.102426 0.128000 
476.102426 0.128000  481.463183 0.128000 
481.463183 0.128000  485.247100 0.128000 
485.247100 0.128000  488.233087 0.128000 
489.686817 0.128000  494.427952 0.128000 
494.686817 0.128000  498.013324 0.128000 
499.686817 0.128000  502.876880 0.128000 
504.686817 0.128000  508.144218 0.128000 
509.686817 0.128000  512.272312 0.128000 
514.686817 0.128000  516.718991 0.128000 
519.686817 0.256000  528.660146 0.256000 
528.660146 0.128000  534.051258 0.128000 
534.051258 0.128000  537.674066 0.128000 
537.674066 0.128000  539.359904 0.128000 
539.686817 0.256000  543.439157 0.256000 
544.686817 0.256000  552.790363 0.256000 
552.790363 0.128000  557.257635 0.128000 
557.257635 0.128000  561.274200 0.128000 
561.274200 0.128000  564.621676 0.128000 
564.686817 0.128000  566.039512 0.128000 
569.686817 0.384000  572.841675 0.384000 
574.686817 0.512000  578.677496 0.512000 
579.686817 0.640000  584.024048 0.640000 
584.686817 0.640000  589.018544 0.640000 
589.686817 0.640000  594.417042 0.640000 
594.686817 0.640000  599.179360 0.640000 
599.686817 0.640000  603.509230 0.640000 
604.686817 0.768000  609.156209 0.768000 
609.686817 0.768000  614.268316 0.768000 
614.686817 0.768000  619.171565 0.768000 
619.686817 0.768000  624.191922 0.768000 
624.686817 0.768000  628.678570 0.768000 
629.686817 0.896000  633.706582 0.896000 
634.686817 1.024000  639.140515 1.024000 
639.686817 1.024000  644.595032 1.024000 
644.686817 1.024000  647.532128 1.024000 
649.686817 1.792000  656.274151 1.792000 
656.274151 1.280000  659.195605 1.280000 
659.686817 2.048000  665.923496 2.048000 
665.923496 1.536000  668.973699 1.536000 
669.686817 2.304000  677.593917 2.304000 
677.593917 1.280000  680.590072 1.280000 
680.590072 2.048000  684.245735 2.048000 
684.686817 2.560000  693.354403 2.560000 
693.354403 1.280000  696.059585 1.280000 
696.059585 2.304000  700.212577 2.304000 
700.212577 2.560000  704.583455 2.560000 
704.686817 2.816000  709.570546 2.816000 
709.686817 2.816000  714.564264 2.816000 
714.686817 2.816000  719.546421 2.816000 
719.686817 2.816000  724.537820 2.816000 
724.686817 2.816000  732.308249 2.816000 
732.308249 1.792000  735.143836 1.792000 
735.143836 3.072000  740.217217 3.072000 
740.217217 2.816000  745.097262 2.816000 
745.097262 2.816000  749.931451 2.816000 
749.931451 2.816000  754.844111 2.816000 
754.844111 2.816000  759.775427 2.816000 
759.775427 2.816000  764.368231 2.816000 
764.686817 2.816000  772.804213 2.816000 
772.804213 1.536000  775.580114 1.536000 
775.580114 2.560000  779.463923 2.560000 
779.686817 3.072000  787.884747 3.072000 
787.884747 1.792000  791.068358 1.792000 
791.068358 2.560000  795.396063 2.560000 
795.396063 2.816000  800.286964 2.816000 
800.286964 2.816000  805.232758 2.816000 
805.232758 2.816000  810.118354 2.816000 
810.118354 2.816000  815.004148 2.816000 
815.004148 2.816000  819.856588 2.816000 
819.856588 2.816000  824.737213 2.816000 
824.737213 2.816000  829.555559 2.816000 
829.686817 2.816000  836.987988 2.816000 
836.987988 1.792000  840.092182 1.792000 
840.092182 2.816000  844.816425 2.816000 
844.816425 2.816000  849.722620 2.816000 
849.722620 2.816000  854.583974 2.816000 
854.686817 2.816000  859.602241 2.816000 
859.686817 2.816000  864.517520 2.816000 
864.686817 2.816000  869.506790 2.816000 
869.686817 2.816000  874.614879 2.816000 
874.686817 2.816000  879.048379 2.816000 
879.686817 3.072000  887.571608 3.072000 
887.571608 1.792000  890.957831 1.792000 
890.957831 2.560000  893.975447 2.560000 
894.686817 4.096000  897.136393 4.096000 
899.686817 5.120000  901.152014 5.120000 
904.686817 5.120000  906.154013 5.120000 
909.686817 5.120000  911.162829 5.120000 
