# AndroidClient mimuroto
4.410935 0.128000  4.970683 0.128000 
5.020683 1.024000  7.194377 1.024000 
7.194377 2.048000  10.697789 2.048000 
10.697789 2.560000  14.790952 2.560000 
14.790952 2.560000  18.967064 2.560000 
18.967064 2.816000  23.787976 2.816000 
23.787976 2.816000  28.117225 2.816000 
28.117225 2.816000  32.443744 2.816000 
32.443744 2.816000  35.959201 2.816000 
35.959201 3.072000  39.975138 3.072000 
40.020683 3.072000  44.348473 3.072000 
45.020683 3.072000  50.260570 3.072000 
50.260570 3.072000  53.912140 3.072000 
55.020683 3.072000  59.779461 3.072000 
60.020683 3.072000  65.874580 3.072000 
65.874580 3.072000  69.469556 3.072000 
70.020683 3.072000  75.078994 3.072000 
75.078994 3.072000  78.624057 3.072000 
80.020683 3.072000  85.053252 3.072000 
85.053252 3.072000  88.819767 3.072000 
90.020683 3.072000  95.280645 3.072000 
95.280645 3.072000  99.067287 3.072000 
100.020683 3.328000  105.433892 3.328000 
105.433892 3.072000  109.325579 3.072000 
110.020683 3.328000  115.318744 3.328000 
115.318744 3.328000  119.610203 3.328000 
120.020683 3.328000  125.691180 3.328000 
125.691180 3.328000  130.083506 3.328000 
130.083506 3.328000  134.205511 3.328000 
135.020683 3.328000  140.905076 3.328000 
140.905076 3.328000  144.751793 3.328000 
145.020683 3.328000  151.190814 3.328000 
151.190814 3.328000  155.174568 3.328000 
155.174568 3.328000  159.398017 3.328000 
160.020683 3.328000  166.369513 3.328000 
166.369513 3.328000  170.462628 3.328000 
170.462628 3.328000  174.537554 3.328000 
175.020683 3.328000  181.522224 3.328000 
181.522224 3.328000  185.341879 3.328000 
185.341879 3.328000  189.803875 3.328000 
190.020683 3.328000  196.788523 3.328000 
196.788523 3.328000  200.623827 3.328000 
200.623827 3.328000  204.673295 3.328000 
205.020683 3.328000  212.075474 3.328000 
212.075474 3.328000  215.787882 3.328000 
215.787882 3.328000  220.174824 3.328000 
220.174824 3.328000  224.570667 3.328000 
225.020683 3.328000  231.655632 3.328000 
231.655632 3.328000  235.739070 3.328000 
235.739070 3.328000  240.337017 3.328000 
240.337017 3.328000  244.074290 3.328000 
245.020683 3.328000  252.168911 3.328000 
252.168911 3.328000  256.210746 3.328000 
256.210746 3.328000  260.288011 3.328000 
260.288011 3.328000  264.446855 3.328000 
265.020683 3.328000  272.928463 3.328000 
272.928463 3.328000  277.257600 3.328000 
277.257600 3.328000  281.025718 3.328000 
281.025718 3.328000  285.044006 3.328000 
285.044006 3.328000  289.093745 3.328000 
290.020683 3.328000  295.823539 3.328000 
295.823539 3.328000  300.170894 3.328000 
300.170894 3.328000  305.038890 3.328000 
305.038890 3.328000  309.359774 3.328000 
310.020683 3.328000  316.596251 3.328000 
316.596251 3.328000  321.197747 3.328000 
321.197747 3.328000  325.191251 3.328000 
325.191251 3.328000  329.767531 3.328000 
330.020683 3.328000  337.504439 3.328000 
337.504439 3.328000  341.963762 3.328000 
341.963762 3.328000  345.840862 3.328000 
345.840862 3.328000  349.606478 3.328000 
350.020683 3.328000  356.653167 3.328000 
356.653167 3.328000  360.223700 3.328000 
360.223700 3.328000  364.670424 3.328000 
365.020683 3.328000  371.838561 3.328000 
371.838561 3.328000  376.089760 3.328000 
376.089760 3.328000  380.064041 3.328000 
380.064041 3.328000  384.630080 3.328000 
385.020683 3.328000  391.870880 3.328000 
391.870880 3.328000  395.497730 3.328000 
395.497730 3.328000  399.607365 3.328000 
400.020683 3.328000  405.972860 3.328000 
405.972860 3.328000  410.428995 3.328000 
410.428995 3.328000  414.566942 3.328000 
415.020683 3.328000  421.684357 3.328000 
421.684357 3.328000  425.945647 3.328000 
425.945647 3.328000  430.641521 3.328000 
430.641521 3.328000  435.456055 3.328000 
435.456055 3.328000  439.692874 3.328000 
440.020683 3.328000  446.974237 3.328000 
446.974237 3.328000  451.952568 3.328000 
451.952568 3.328000  456.657001 3.328000 
456.657001 3.328000  460.823531 3.328000 
460.823531 3.328000  465.063775 3.328000 
465.063775 3.328000  469.904941 3.328000 
470.020683 3.328000  476.950297 3.328000 
476.950297 3.328000  481.466293 3.328000 
481.466293 3.328000  484.577034 3.328000 
485.020683 3.328000  490.457077 3.328000 
490.457077 3.328000  494.375798 3.328000 
495.020683 3.328000  499.698222 3.328000 
500.020683 3.328000  504.147388 3.328000 
505.020683 3.328000  510.868251 3.328000 
510.868251 3.328000  515.053243 3.328000 
515.053243 3.328000  519.369383 3.328000 
520.020683 3.328000  525.991457 3.328000 
525.991457 3.328000  530.245632 3.328000 
530.245632 3.328000  534.854365 3.328000 
535.020683 3.328000  540.919538 3.328000 
540.919538 3.328000  545.552722 3.328000 
545.552722 3.328000  549.769345 3.328000 
550.020683 3.328000  555.469628 3.328000 
555.469628 3.328000  559.776296 3.328000 
560.020683 3.328000  564.846400 3.328000 
565.020683 3.328000  570.904764 3.328000 
570.904764 3.328000  575.149709 3.328000 
575.149709 3.328000  579.336416 3.328000 
580.020683 3.328000  586.429572 3.328000 
586.429572 3.328000  590.712541 3.328000 
590.712541 3.328000  595.363054 3.328000 
595.363054 3.328000  599.616488 3.328000 
600.020683 3.328000  606.150122 3.328000 
606.150122 3.328000  611.102254 3.328000 
611.102254 3.328000  616.046344 3.328000 
616.046344 3.328000  620.906336 3.328000 
620.906336 3.328000  625.756606 3.328000 
625.756606 3.328000  630.023944 3.328000 
630.023944 3.328000  634.216795 3.328000 
635.020683 3.328000  642.041790 3.328000 
642.041790 3.328000  647.210437 3.328000 
647.210437 3.328000  652.034737 3.328000 
652.034737 3.328000  656.906426 3.328000 
656.906426 3.328000  661.566742 3.328000 
661.566742 3.328000  665.737957 3.328000 
665.737957 3.328000  670.476491 3.328000 
670.476491 3.328000  675.543878 3.328000 
675.543878 3.328000  680.859358 3.328000 
680.859358 3.328000  686.089343 3.328000 
686.089343 3.328000  691.217377 3.328000 
691.217377 3.328000  696.602228 3.328000 
696.602228 3.328000  702.148649 3.328000 
702.148649 3.328000  707.780480 3.328000 
707.780480 3.328000  713.333979 3.328000 
713.333979 3.328000  718.908949 3.328000 
718.908949 3.328000  724.482442 3.328000 
724.482442 3.328000  729.217433 3.328000 
729.217433 3.328000  733.081599 3.328000 
733.081599 3.328000  738.108618 3.328000 
738.108618 3.328000  743.634713 3.328000 
743.634713 3.328000  749.267145 3.328000 
749.267145 3.328000  754.842577 3.328000 
754.842577 3.328000  760.434584 3.328000 
760.434584 3.328000  765.456572 3.328000 
765.456572 3.328000  770.110954 3.328000 
770.110954 3.328000  774.871856 3.328000 
774.871856 3.328000  779.711595 3.328000 
779.711595 3.328000  784.071335 3.328000 
784.071335 3.328000  788.573826 3.328000 
788.573826 3.328000  793.892224 3.328000 
793.892224 3.328000  799.495130 3.328000 
799.495130 3.328000  805.107495 3.328000 
805.107495 3.328000  810.692708 3.328000 
810.692708 3.328000  816.355511 3.328000 
816.355511 3.328000  821.875337 3.328000 
821.875337 3.328000  827.416220 3.328000 
827.416220 3.328000  832.322256 3.328000 
832.322256 3.328000  836.220156 3.328000 
836.220156 3.328000  841.011521 3.328000 
841.011521 3.328000  846.610699 3.328000 
846.610699 3.328000  852.190365 3.328000 
852.190365 3.328000  857.706739 3.328000 
857.706739 3.328000  863.327322 3.328000 
863.327322 3.072000  868.540430 3.072000 
868.540430 3.072000  873.807308 3.072000 
873.807308 3.072000  878.721151 3.072000 
878.721151 3.072000  882.535988 3.072000 
882.535988 3.072000  886.698872 3.072000 
886.698872 3.072000  891.563695 3.072000 
891.563695 3.072000  894.622289 3.072000 
