# AndroidClient mimuroto
63.103216 0.128000  63.316470 0.128000 
63.366470 2.816000  64.939045 2.816000 
64.939045 5.120000  66.478276 5.120000 
66.478276 5.120000  69.300536 5.120000 
69.300536 5.120000  72.570835 5.120000 
73.366470 5.120000  76.775785 5.120000 
78.366470 5.120000  81.012434 5.120000 
83.366470 5.120000  85.551029 5.120000 
88.366470 5.120000  90.525556 5.120000 
93.366470 5.120000  96.244280 5.120000 
98.366470 5.120000  105.195608 5.120000 
105.195608 5.120000  110.929661 5.120000 
110.929661 5.120000  116.807472 5.120000 
116.807472 5.120000  122.723181 5.120000 
122.723181 5.120000  128.539404 5.120000 
128.539404 5.120000  135.014597 5.120000 
135.014597 5.120000  141.781154 5.120000 
141.781154 5.120000  148.608369 5.120000 
148.658369 5.120000  155.011890 5.120000 
155.061890 5.120000  162.009260 5.120000 
162.059260 5.120000  169.939819 5.120000 
169.989819 5.120000  177.910496 5.120000 
177.960496 5.120000  186.129766 5.120000 
186.179766 4.864000  193.329791 4.864000 
193.379791 4.864000  200.779720 4.864000 
200.829720 4.608000  207.747559 4.608000 
207.797559 4.608000  214.484288 4.608000 
214.534288 4.608000  221.668533 4.608000 
221.718533 4.352000  228.414698 4.352000 
228.464698 4.352000  235.418784 4.352000 
235.468784 4.352000  242.167229 4.352000 
242.217229 4.352000  249.196352 4.352000 
249.246352 4.352000  254.958654 4.352000 
255.008654 4.352000  261.057683 4.352000 
261.107683 4.096000  267.570880 4.096000 
267.620880 4.096000  274.335301 4.096000 
274.385301 4.096000  280.234876 4.096000 
280.284876 4.096000  286.815322 4.096000 
286.865322 4.096000  293.038346 4.096000 
293.088346 4.096000  299.796044 4.096000 
299.846044 4.096000  306.323828 4.096000 
306.373828 4.096000  311.166215 4.096000 
311.166215 4.096000  316.695649 4.096000 
316.745649 4.096000  321.950403 4.096000 
322.000403 4.096000  328.030722 4.096000 
328.080722 3.840000  334.325039 3.840000 
334.375039 3.840000  340.551812 3.840000 
340.601812 3.840000  346.512089 3.840000 
346.562089 3.840000  352.914031 3.840000 
352.964031 3.840000  358.553590 3.840000 
358.603590 3.840000  364.543463 3.840000 
364.593463 3.840000  370.525986 3.840000 
370.575986 3.840000  376.098060 3.840000 
376.148060 3.840000  382.299801 3.840000 
382.349801 3.840000  388.093847 3.840000 
