# AndroidClient mimuroto
63.008336 0.128000  63.108249 0.128000 
63.158249 5.120000  65.531385 5.120000 
65.531385 5.120000  68.200008 5.120000 
68.200008 5.120000  71.508154 5.120000 
71.508154 5.120000  75.320542 5.120000 
75.320542 5.120000  78.533085 5.120000 
78.533085 5.120000  81.743456 5.120000 
83.158249 5.120000  85.818982 5.120000 
88.158249 5.120000  90.498361 5.120000 
93.158249 5.120000  96.726551 5.120000 
98.158249 5.120000  103.906912 5.120000 
103.906912 5.120000  109.688320 5.120000 
109.688320 5.120000  115.576520 5.120000 
115.576520 5.120000  121.354185 5.120000 
121.354185 5.120000  127.595337 5.120000 
127.595337 5.120000  134.778672 5.120000 
134.778672 5.120000  140.184387 3.840000 
140.184387 5.120000  145.547229 3.840000 
145.547229 5.120000  150.957186 3.840000 
150.957186 5.120000  155.301066 3.072000 
155.301066 5.120000  160.235902 3.072000 
160.235902 5.120000  165.463715 3.072000 
165.463715 5.120000  169.875110 2.560000 
169.875110 4.864000  174.188346 2.560000 
174.188346 4.864000  179.820403 3.328000 
179.820403 4.864000  185.425182 3.328000 
185.425182 4.608000  190.996848 3.328000 
190.996848 4.608000  196.765232 3.328000 
196.765232 4.608000  200.706425 2.304000 
200.706425 4.352000  205.450773 2.816000 
205.450773 4.352000  210.169518 2.816000 
210.169518 4.352000  215.509938 3.072000 
215.509938 4.352000  220.738967 3.072000 
220.738967 4.096000  225.866803 3.072000 
225.866803 4.096000  231.021447 3.072000 
231.021447 4.096000  235.447708 2.560000 
235.447708 4.096000  240.598849 3.072000 
240.598849 4.096000  245.812790 3.072000 
245.812790 4.096000  251.000908 3.072000 
251.000908 4.096000  256.112741 3.072000 
256.112741 3.840000  261.309264 3.072000 
261.309264 3.840000  265.630899 2.560000 
265.630899 3.840000  269.914665 2.560000 
269.914665 3.840000  275.100419 3.072000 
275.100419 3.840000  280.336886 3.072000 
280.336886 3.840000  285.519678 3.072000 
285.519678 3.840000  290.759498 3.072000 
290.759498 3.840000  295.976419 3.072000 
295.976419 3.840000  301.112347 3.072000 
301.112347 3.840000  306.164135 3.072000 
306.164135 3.840000  311.120945 3.072000 
311.120945 3.584000  316.143129 3.072000 
316.143129 3.584000  319.938968 2.304000 
319.938968 3.584000  324.948121 3.072000 
324.948121 3.584000  330.087457 3.072000 
330.087457 3.584000  335.199696 3.072000 
335.199696 3.584000  340.393599 3.072000 
340.393599 3.584000  345.513192 3.072000 
345.513192 3.584000  350.577015 3.072000 
350.577015 3.584000  355.709730 3.072000 
355.709730 3.584000  360.851619 3.072000 
360.851619 3.584000  366.049722 3.072000 
366.049722 3.584000  370.347307 2.560000 
370.347307 3.584000  375.434068 3.072000 
375.434068 3.584000  380.585941 3.072000 
380.585941 3.584000  385.650532 3.072000 
385.650532 3.584000  390.787228 3.072000 
390.787228 3.584000  395.940344 3.072000 
395.940344 3.584000  400.994430 3.072000 
400.994430 3.584000  406.070336 3.072000 
406.070336 3.584000  411.111193 3.072000 
411.111193 3.584000  416.157811 3.072000 
416.157811 3.328000  420.397370 2.560000 
420.397370 3.328000  425.100832 2.816000 
425.100832 3.328000  429.816593 2.816000 
429.816593 3.328000  435.198048 3.328000 
435.198048 3.328000  440.786546 3.328000 
440.786546 3.328000  446.353243 3.328000 
446.353243 3.328000  450.582589 2.560000 
450.582589 3.328000  454.832665 2.560000 
454.832665 3.328000  459.841332 3.072000 
459.841332 3.328000  464.979977 3.072000 
464.979977 3.328000  470.154801 3.072000 
470.154801 3.328000  475.379663 3.072000 
475.379663 3.328000  480.616264 3.072000 
480.616264 3.328000  485.800931 3.072000 
485.800931 3.328000  491.026183 3.072000 
491.026183 3.328000  495.319321 2.560000 
495.319321 3.328000  500.103173 2.816000 
500.103173 3.328000  505.179687 3.072000 
505.179687 3.328000  510.296723 3.072000 
510.296723 3.328000  515.439076 3.072000 
515.439076 3.328000  520.556545 3.072000 
520.556545 3.328000  525.713250 3.072000 
525.713250 3.328000  530.903965 3.072000 
530.903965 3.328000  536.119290 3.072000 
536.119290 3.328000  541.188511 3.072000 
541.188511 3.328000  545.098446 2.304000 
545.098446 3.328000  550.167625 3.072000 
550.167625 3.328000  555.267665 3.072000 
555.267665 3.328000  560.435064 3.072000 
560.435064 3.328000  565.509842 3.072000 
565.509842 3.328000  570.605759 3.072000 
570.605759 3.072000  575.798632 3.072000 
575.798632 3.072000  580.957791 3.072000 
580.957791 3.072000  586.137625 3.072000 
586.137625 3.072000  591.256912 3.072000 
591.256912 3.072000  595.185667 2.304000 
595.185667 3.072000  599.864656 2.816000 
599.864656 3.072000  605.014969 3.072000 
605.014969 3.072000  610.055665 3.072000 
610.055665 2.816000  615.196531 3.072000 
615.196531 2.816000  620.382715 3.072000 
620.382715 2.816000  625.540197 3.072000 
625.540197 2.816000  630.687142 3.072000 
630.687142 2.816000  635.850977 3.072000 
635.850977 2.816000  640.981442 3.072000 
640.981442 2.816000  646.111545 3.072000 
646.111545 2.816000  651.110401 3.072000 
651.110401 2.816000  656.293899 3.072000 
656.293899 2.816000  660.164081 2.304000 
660.164081 2.816000  665.013619 2.816000 
665.013619 2.816000  669.795865 2.816000 
669.795865 2.816000  674.473978 2.816000 
674.473978 2.816000  679.133578 2.816000 
679.133578 2.816000  683.709190 2.816000 
683.709190 2.816000  688.306106 2.816000 
688.306106 2.816000  693.034481 2.816000 
693.034481 2.816000  697.726100 2.816000 
697.726100 2.816000  702.374913 2.816000 
702.374913 2.816000  707.080683 2.816000 
707.080683 2.816000  711.699901 2.816000 
711.699901 2.816000  716.357497 2.816000 
716.357497 2.816000  721.086844 2.816000 
721.086844 2.816000  725.603137 2.816000 
725.603137 2.816000  730.213242 2.816000 
730.213242 2.816000  734.926362 2.816000 
734.926362 2.816000  739.440630 2.816000 
739.440630 2.816000  744.052081 2.816000 
744.052081 2.816000  748.525178 2.816000 
748.525178 2.816000  752.997655 2.816000 
753.158249 2.816000  757.763119 2.816000 
758.158249 2.816000  762.742535 2.816000 
763.158249 2.816000  767.673266 2.816000 
768.158249 2.816000  772.757742 2.816000 
773.158249 2.816000  777.774619 2.816000 
778.158249 2.816000  782.726543 2.816000 
783.158249 2.816000  787.744144 2.816000 
788.158249 2.816000  792.774210 2.816000 
793.158249 2.816000  797.811313 2.816000 
798.158249 2.816000  802.718445 2.816000 
803.158249 2.816000  807.767450 2.816000 
808.158249 2.816000  812.766990 2.816000 
813.158249 2.816000  817.751012 2.816000 
818.158249 2.816000  822.830644 2.816000 
823.158249 2.816000  827.769489 2.816000 
828.158249 2.816000  832.744229 2.816000 
833.158249 2.816000  837.838786 2.816000 
838.158249 2.816000  842.821769 2.816000 
843.158249 2.816000  847.711959 2.816000 
848.158249 2.816000  852.717721 2.816000 
853.158249 2.816000  857.797864 2.816000 
858.158249 2.816000  862.731385 2.816000 
863.158249 2.816000  867.752547 2.816000 
868.158249 2.816000  872.723688 2.816000 
873.158249 2.816000  877.754346 2.816000 
878.158249 2.816000  882.705406 2.816000 
883.158249 2.816000  887.413369 2.816000 
888.158249 2.816000  891.393204 2.816000 
893.158249 2.816000  896.179148 2.816000 
898.158249 2.816000  901.644466 2.816000 
903.158249 2.816000  906.782824 2.816000 
908.158249 2.816000  911.774529 2.816000 
913.158249 2.816000  916.801887 2.816000 
918.158249 2.816000  920.953203 2.816000 
923.158249 3.072000  925.676834 3.072000 
928.158249 3.072000  929.961731 3.072000 
933.158249 3.072000  934.042641 3.072000 
938.158249 3.072000  939.039538 3.072000 
943.158249 3.072000  944.042411 3.072000 
