# AndroidClient mimuroto
125.016873 0.128000  125.210861 0.128000 
125.260861 3.072000  129.601139 3.072000 
129.601139 3.328000  134.274239 3.328000 
134.274239 3.328000  138.955673 3.328000 
138.955673 3.328000  143.646750 3.328000 
143.646750 3.328000  148.341627 3.328000 
148.341627 3.328000  152.989475 3.328000 
152.989475 3.328000  157.988518 3.328000 
157.988518 3.328000  163.597819 3.328000 
163.597819 3.328000  169.191378 3.328000 
169.191378 3.328000  174.770849 3.328000 
174.770849 3.328000  180.368507 3.328000 
180.418507 3.072000  185.539648 3.072000 
185.589648 3.072000  190.686331 3.072000 
190.736331 3.072000  195.861534 3.072000 
195.911534 3.072000  201.066711 3.072000 
201.116711 3.072000  206.220014 3.072000 
206.270014 3.072000  211.430944 3.072000 
211.480944 3.072000  216.609116 3.072000 
216.659116 3.072000  221.794900 3.072000 
221.844900 3.072000  226.943564 3.072000 
226.993564 3.072000  232.102744 3.072000 
232.152744 3.072000  237.283948 3.072000 
237.333948 3.072000  242.462533 3.072000 
242.512533 3.072000  247.633462 3.072000 
247.683462 3.072000  252.825248 3.072000 
252.875248 3.072000  257.988715 3.072000 
258.038715 3.072000  263.166037 3.072000 
263.216037 3.072000  268.316112 3.072000 
268.366112 3.072000  273.480823 3.072000 
273.530823 3.072000  278.644462 3.072000 
278.694462 3.072000  283.804736 3.072000 
283.854736 3.072000  288.988601 3.072000 
289.038601 3.072000  294.168237 3.072000 
294.218237 3.072000  299.303289 3.072000 
299.353289 3.072000  304.404457 3.072000 
304.454457 3.072000  309.486848 3.072000 
309.536848 3.072000  314.489977 3.072000 
314.489977 3.072000  319.505976 3.072000 
319.505976 3.072000  324.638988 3.072000 
324.688988 3.072000  329.705208 3.072000 
329.755208 3.072000  334.692117 3.072000 
334.692117 3.072000  339.670277 3.072000 
339.670277 3.072000  344.815615 3.072000 
344.865615 3.072000  349.958881 3.072000 
350.008881 3.072000  354.961000 3.072000 
354.961000 3.072000  359.905401 3.072000 
359.905401 3.072000  364.891523 3.072000 
364.891523 3.072000  370.086863 3.072000 
370.136863 3.072000  375.230058 3.072000 
375.280058 3.072000  380.241542 3.072000 
380.241542 3.072000  385.171595 3.072000 
385.171595 3.072000  390.162812 3.072000 
390.162812 3.072000  395.354060 3.072000 
395.404060 3.072000  400.478042 3.072000 
400.528042 3.072000  405.488861 3.072000 
405.488861 3.072000  410.403058 3.072000 
410.403058 3.072000  415.413024 3.072000 
415.413024 3.072000  420.547619 3.072000 
420.597619 3.072000  425.635786 3.072000 
425.685786 3.072000  430.630137 3.072000 
430.630137 3.072000  435.632005 3.072000 
435.632005 3.072000  440.779632 3.072000 
440.829632 3.072000  445.850353 3.072000 
445.900353 3.072000  450.825153 3.072000 
450.825153 3.072000  455.834808 3.072000 
455.834808 3.072000  460.981683 3.072000 
461.031683 3.072000  466.049641 3.072000 
466.099641 3.072000  471.035453 3.072000 
471.035453 3.072000  476.058638 3.072000 
476.058638 3.072000  481.232645 3.072000 
481.282645 3.072000  486.314532 3.072000 
486.364532 3.072000  491.262803 3.072000 
491.262803 3.072000  496.340715 3.072000 
496.340715 3.072000  501.491546 3.072000 
501.541546 3.072000  506.612162 3.072000 
506.662162 2.816000  511.205662 2.816000 
511.205662 3.072000  516.125800 3.072000 
516.125800 3.072000  521.087268 3.072000 
521.087268 3.072000  526.272717 3.072000 
526.272717 2.816000  530.974612 2.816000 
530.974612 2.816000  535.551488 2.816000 
535.551488 2.816000  540.057483 2.816000 
540.057483 2.816000  544.509385 2.816000 
544.509385 3.072000  549.695948 3.072000 
549.695948 2.816000  554.366312 2.816000 
554.366312 2.816000  559.000888 2.816000 
559.000888 2.816000  563.564281 2.816000 
563.564281 2.816000  568.042872 2.816000 
568.042872 2.816000  572.696295 2.816000 
572.696295 2.816000  577.352943 2.816000 
577.352943 2.816000  581.953582 2.816000 
581.953582 2.816000  586.531588 2.816000 
586.531588 2.816000  591.075738 2.816000 
591.075738 2.816000  595.608595 2.816000 
595.608595 2.816000  600.282624 2.816000 
600.282624 2.816000  604.965904 2.816000 
604.965904 2.816000  609.531655 2.816000 
609.531655 2.816000  614.029448 2.816000 
614.029448 2.816000  618.560873 2.816000 
618.560873 2.816000  623.325856 2.816000 
623.325856 2.816000  628.047800 2.816000 
628.047800 2.816000  632.661003 2.816000 
632.661003 2.816000  637.175952 2.816000 
637.175952 2.816000  641.734569 2.816000 
641.734569 2.816000  646.265383 2.816000 
646.662162 2.816000  651.299293 2.816000 
651.662162 2.816000  656.346320 2.816000 
656.662162 2.816000  661.196903 2.816000 
661.662162 2.816000  666.308315 2.816000 
666.662162 2.816000  671.430742 2.816000 
671.662162 2.816000  676.285284 2.816000 
676.662162 2.816000  681.176993 2.816000 
681.662162 2.816000  686.398068 2.816000 
686.662162 2.816000  691.376077 2.816000 
691.662162 2.816000  696.259367 2.816000 
696.662162 2.816000  701.123093 2.816000 
701.662162 2.816000  706.348723 2.816000 
706.662162 2.816000  711.350541 2.816000 
711.662162 2.816000  716.238102 2.816000 
716.662162 2.816000  721.160215 2.816000 
721.662162 2.816000  726.351886 2.816000 
726.662162 2.816000  731.367134 2.816000 
731.662162 2.816000  736.252752 2.816000 
736.662162 2.816000  741.170402 2.816000 
741.662162 2.816000  746.390277 2.816000 
746.662162 2.816000  751.373590 2.816000 
751.662162 2.816000  756.294004 2.816000 
756.662162 2.816000  761.153513 2.816000 
761.662162 2.816000  766.395989 2.816000 
766.662162 2.816000  771.369884 2.816000 
771.662162 2.816000  776.267648 2.816000 
776.662162 2.816000  781.164171 2.816000 
781.662162 2.816000  786.412505 2.816000 
786.662162 2.816000  791.396487 2.816000 
791.662162 2.816000  796.277950 2.816000 
796.662162 2.816000  801.168893 2.816000 
801.662162 2.816000  806.407373 2.816000 
806.662162 2.816000  811.383080 2.816000 
811.662162 2.816000  816.286392 2.816000 
816.662162 2.816000  821.179019 2.816000 
821.662162 2.816000  826.296989 2.816000 
826.662162 2.816000  831.354341 2.816000 
831.662162 2.816000  836.163901 2.816000 
836.662162 2.816000  841.110989 2.816000 
841.662162 2.816000  846.285137 2.816000 
846.662162 2.816000  851.379973 2.816000 
851.662162 2.816000  856.174511 2.816000 
856.662162 2.816000  861.034823 2.816000 
861.662162 2.816000  866.216840 2.816000 
866.662162 2.816000  871.329756 2.816000 
871.662162 2.816000  876.295058 2.816000 
876.662162 2.816000  881.094739 2.816000 
881.662162 2.816000  886.086880 2.816000 
886.662162 2.816000  891.205540 2.816000 
891.662162 2.816000  896.326329 2.816000 
896.662162 2.816000  901.301665 2.816000 
901.662162 2.816000  906.068270 2.816000 
906.662162 2.816000  910.984215 2.816000 
911.662162 2.816000  916.114656 2.816000 
916.662162 2.816000  920.711364 2.816000 
921.662162 2.816000  924.895334 2.816000 
926.662162 3.072000  930.057222 3.072000 
931.662162 3.072000  935.423879 3.072000 
936.662162 3.072000  940.692628 3.072000 
941.662162 3.072000  945.691089 3.072000 
946.662162 3.072000  950.674101 3.072000 
951.662162 3.072000  955.686522 3.072000 
956.662162 3.072000  960.687756 3.072000 
961.662162 3.072000  965.666211 3.072000 
966.662162 3.072000  970.637824 3.072000 
971.662162 3.072000  975.589239 3.072000 
976.662162 3.072000  980.330433 3.072000 
981.662162 3.072000  984.670545 3.072000 
986.662162 3.072000  989.682732 3.072000 
991.662162 3.072000  994.685815 3.072000 
996.662162 3.072000  999.677025 3.072000 
1001.662162 3.072000  1004.664166 3.072000 
1006.662162 3.072000  1009.665709 3.072000 
1011.662162 3.072000  1014.684667 3.072000 
