# WEMAClient mimuroto
2.115008 0.128000  2.338934 0.128000 
2.388934 2.816000  4.836257 2.816000 
4.836257 5.120000  10.310552 5.120000 
10.310552 4.608000  17.207763 4.608000 
17.207763 3.328000  22.659124 3.328000 
22.709124 2.816000  27.178611 2.816000 
27.178611 3.072000  32.071271 3.072000 
32.071271 3.072000  35.867351 3.072000 
35.867351 3.840000  40.715483 3.840000 
40.715483 3.840000  45.209488 3.840000 
45.209488 4.096000  48.831992 4.096000 
48.831992 5.120000  54.448290 5.120000 
54.448290 4.352000  57.828963 4.352000 
57.828963 5.120000  62.375051 5.120000 
62.375051 5.120000  68.227590 5.120000 
68.227590 4.352000  71.989749 4.352000 
71.989749 5.120000  77.182961 5.120000 
77.182961 4.864000  81.996041 4.864000 
81.996041 4.864000  86.623982 4.864000 
86.623982 5.120000  92.288945 5.120000 
92.288945 4.352000  96.351739 4.352000 
96.351739 5.120000  101.873339 5.120000 
101.873339 4.608000  106.047851 4.608000 
106.047851 5.120000  111.488006 5.120000 
111.488006 4.608000  115.812122 4.608000 
115.812122 5.120000  121.758670 5.120000 
121.758670 4.096000  125.645148 4.096000 
125.645148 5.120000  131.970315 5.120000 
131.970315 3.840000  135.940340 3.840000 
135.940340 4.608000  140.676636 4.608000 
140.676636 4.864000  145.702899 4.864000 
145.702899 4.608000  150.730807 4.608000 
150.730807 4.352000  155.443576 4.352000 
155.443576 4.608000  161.097045 4.608000 
161.097045 3.840000  165.473756 3.840000 
165.473756 4.352000  170.119295 4.352000 
170.119295 4.608000  175.423585 4.608000 
175.423585 4.096000  180.255208 4.096000 
180.255208 4.096000  184.483817 4.096000 
184.483817 4.608000  190.167166 4.608000 
190.167166 3.840000  194.673878 3.840000 
194.673878 4.096000  199.562566 4.096000 
199.562566 4.096000  204.292470 4.096000 
204.292470 4.096000  209.525730 4.096000 
209.525730 3.840000  213.672755 3.840000 
213.672755 4.608000  219.275006 4.608000 
219.275006 4.096000  224.581726 4.096000 
224.581726 3.840000  228.832915 3.840000 
228.832915 4.352000  233.684899 4.352000 
233.684899 4.352000  239.344462 4.352000 
239.344462 3.840000  243.820119 3.840000 
243.820119 4.096000  248.614056 4.096000 
248.614056 4.096000  253.602793 4.096000 
253.602793 4.096000  258.363823 4.096000 
258.363823 4.096000  263.482313 4.096000 
263.482313 3.840000  268.312072 3.840000 
268.312072 3.840000  273.674959 3.840000 
273.674959 3.328000  277.677121 3.328000 
277.709124 4.096000  282.556154 4.096000 
282.709124 4.096000  290.489029 4.096000 
290.489029 2.560000  293.241862 2.560000 
293.241862 4.608000  297.946734 4.608000 
297.946734 4.864000  304.912208 4.864000 
304.912208 3.328000  309.173000 3.328000 
309.173000 3.840000  313.251465 3.840000 
313.251465 4.608000  318.923282 4.608000 
318.923282 3.840000  323.496752 3.840000 
323.496752 4.096000  329.048552 4.096000 
329.048552 3.584000  333.731965 3.584000 
333.731965 3.584000  338.166507 3.584000 
338.166507 3.840000  343.162652 3.840000 
343.162652 3.840000  347.508208 3.840000 
347.709124 4.352000  355.656645 4.352000 
355.656645 2.560000  358.288948 2.560000 
358.288948 4.608000  363.862082 4.608000 
363.862082 4.096000  368.622107 4.096000 
368.622107 4.096000  373.642753 4.096000 
373.642753 3.840000  378.390703 3.840000 
378.390703 3.840000  383.359731 3.840000 
383.359731 3.840000  388.361256 3.840000 
388.361256 3.584000  392.238530 3.584000 
392.709124 4.608000  400.622695 4.608000 
400.622695 2.816000  403.256971 2.816000 
403.256971 5.120000  409.769602 5.120000 
409.769602 3.840000  414.473551 3.840000 
414.473551 3.840000  418.719976 3.840000 
418.719976 4.352000  423.766115 4.352000 
423.766115 4.096000  429.268521 4.096000 
429.268521 3.584000  434.514436 3.584000 
434.514436 3.328000  438.825662 3.328000 
438.825662 3.840000  442.785844 3.840000 
442.785844 4.608000  449.085314 4.608000 
449.085314 3.584000  454.334244 3.584000 
454.334244 3.328000  458.700135 3.328000 
458.700135 3.584000  463.143500 3.584000 
463.143500 3.840000  468.523848 3.840000 
468.523848 3.328000  472.966631 3.328000 
