# VAndroidClient mimuroto
9.734550 0.128000  10.722161 0.128000 
10.772161 0.640000  13.231825 0.640000 
13.231825 1.024000  16.007424 1.024000 
16.007424 1.280000  18.882114 1.280000 
18.882114 1.536000  21.928651 1.536000 
21.928651 1.792000  25.013683 1.792000 
25.772161 2.048000  32.385594 2.048000 
32.385594 1.792000  35.169431 1.792000 
35.772161 2.048000  41.253688 2.048000 
41.253688 1.792000  44.400973 1.792000 
45.772161 2.048000  50.257414 2.048000 
50.772161 2.048000  55.220426 2.048000 
55.772161 2.048000  59.775296 2.048000 
60.772161 2.048000  65.508648 2.048000 
65.772161 2.048000  70.436760 2.048000 
70.772161 2.048000  74.895982 2.048000 
75.772161 2.048000  80.552417 2.048000 
80.772161 2.048000  84.747313 2.048000 
85.772161 2.048000  90.805083 2.048000 
90.805083 2.048000  93.412654 2.048000 
95.772161 2.048000  100.649070 2.048000 
100.772161 2.304000  103.511393 2.304000 
105.772161 2.304000  110.400468 2.304000 
110.772161 2.304000  114.458627 2.304000 
115.772161 2.304000  120.631045 2.304000 
120.772161 2.304000  123.485509 2.304000 
125.772161 2.304000  130.891840 2.304000 
130.891840 2.304000  134.013106 2.304000 
135.772161 2.560000  140.277618 2.560000 
140.772161 2.560000  145.350036 2.560000 
145.772161 2.560000  150.521242 2.560000 
150.772161 2.560000  155.510155 2.560000 
155.772161 2.560000  161.097348 2.560000 
161.097348 2.560000  164.433427 2.560000 
165.772161 2.560000  170.505173 2.560000 
170.772161 2.560000  175.750780 2.560000 
175.772161 2.560000  179.263497 2.560000 
180.772161 2.816000  185.665172 2.816000 
185.772161 2.816000  189.789589 2.816000 
190.772161 2.816000  196.215889 2.816000 
196.215889 2.816000  199.606836 2.816000 
200.772161 2.816000  206.318376 2.816000 
206.318376 2.816000  210.101329 2.816000 
210.772161 2.816000  215.603603 2.816000 
215.772161 2.816000  219.679118 2.816000 
220.772161 2.816000  226.399992 2.816000 
226.399992 2.816000  229.748266 2.816000 
230.772161 2.816000  236.171602 2.816000 
236.171602 2.816000  240.254823 2.816000 
240.772161 2.816000  245.744063 2.816000 
245.772161 2.816000  249.427597 2.816000 
250.772161 3.072000  256.402906 3.072000 
256.402906 3.072000  260.347741 3.072000 
260.772161 3.072000  266.771813 3.072000 
266.771813 3.072000  271.019434 3.072000 
271.019434 3.072000  275.524196 3.072000 
275.772161 3.072000  281.051719 3.072000 
281.051719 3.072000  285.020508 3.072000 
285.772161 3.072000  291.203055 3.072000 
291.203055 3.072000  294.430692 3.072000 
295.772161 3.072000  302.066797 3.072000 
302.066797 3.072000  306.526556 3.072000 
306.526556 3.072000  310.325302 3.072000 
310.772161 3.072000  316.205004 3.072000 
316.205004 3.072000  320.638156 3.072000 
320.772161 3.072000  326.569195 3.072000 
326.569195 3.072000  330.832273 3.072000 
330.832273 3.072000  334.962544 3.072000 
335.772161 3.072000  341.920269 3.072000 
341.920269 3.072000  345.631090 3.072000 
345.772161 3.072000  351.068715 3.072000 
351.068715 3.072000  355.088656 3.072000 
355.772161 3.072000  360.782296 3.072000 
360.782296 3.072000  365.034087 3.072000 
365.772161 3.072000  371.507999 3.072000 
371.507999 3.072000  375.493027 3.072000 
375.772161 3.072000  381.651139 3.072000 
381.651139 3.072000  385.885599 3.072000 
385.885599 3.072000  390.091983 3.072000 
390.772161 3.072000  395.744029 3.072000 
395.772161 3.072000  399.700352 3.072000 
400.772161 3.072000  405.766662 3.072000 
405.772161 3.072000  409.958204 3.072000 
410.772161 3.072000  416.410699 3.072000 
416.410699 3.072000  420.184498 3.072000 
420.772161 3.072000  426.689650 3.072000 
426.689650 3.072000  431.147161 3.072000 
431.147161 3.072000  435.751855 3.072000 
435.772161 3.072000  439.779924 3.072000 
440.772161 3.072000  446.756007 3.072000 
446.756007 3.072000  451.359315 3.072000 
451.359315 3.072000  455.965119 3.072000 
455.965119 3.072000  460.050966 3.072000 
460.772161 3.072000  467.260722 3.072000 
467.260722 3.072000  471.648398 3.072000 
471.648398 3.072000  476.075326 3.072000 
476.075326 3.072000  480.638441 3.072000 
480.772161 3.072000  485.175072 3.072000 
485.772161 3.072000  491.346053 3.072000 
491.346053 3.072000  494.867178 3.072000 
495.772161 3.072000  500.109910 3.072000 
500.772161 3.072000  505.146761 3.072000 
505.772161 3.072000  511.569480 3.072000 
511.569480 3.072000  515.646967 3.072000 
515.772161 3.072000  519.710386 3.072000 
520.772161 3.072000  526.703379 3.072000 
