# VAndroidClient mimuroto
5.059004 0.128000  5.235577 0.128000 
5.285577 3.584000  11.128767 3.584000 
11.178767 3.072000  14.265539 1.792000 
14.265539 2.816000  18.157512 2.304000 
18.157512 2.816000  21.980195 2.304000 
21.980195 2.816000  26.712076 2.816000 
26.712076 2.816000  31.527875 2.816000 
31.527875 2.816000  36.186595 2.816000 
36.186595 2.816000  40.683516 2.816000 
40.683516 2.816000  45.197742 2.816000 
45.197742 2.816000  49.695946 2.816000 
49.695946 2.816000  54.260412 2.816000 
54.260412 2.816000  58.741781 2.816000 
58.741781 2.816000  63.533199 2.816000 
63.533199 2.816000  68.157550 2.816000 
68.157550 2.816000  72.811493 2.816000 
72.811493 2.816000  77.226905 2.816000 
77.226905 2.816000  81.742404 2.816000 
81.742404 2.816000  86.431195 2.816000 
86.431195 2.816000  91.091139 2.816000 
91.178767 2.816000  95.599611 2.816000 
96.178767 2.816000  100.669110 2.816000 
101.178767 2.816000  105.672014 2.816000 
106.178767 2.816000  110.684079 2.816000 
111.178767 3.072000  116.062947 3.072000 
116.178767 3.072000  121.093356 3.072000 
121.178767 3.072000  126.069146 3.072000 
126.178767 3.072000  131.008067 3.072000 
131.178767 3.072000  136.180796 3.072000 
136.180796 3.072000  141.119822 3.072000 
141.178767 3.072000  146.208092 3.072000 
146.208092 3.072000  151.139375 3.072000 
151.178767 3.072000  156.138062 3.072000 
156.178767 3.072000  160.966173 3.072000 
161.178767 3.072000  166.079774 3.072000 
166.178767 3.072000  170.875268 3.072000 
171.178767 3.072000  175.911489 3.072000 
176.178767 3.072000  180.985673 3.072000 
181.178767 3.072000  185.928894 3.072000 
186.178767 3.072000  190.928829 3.072000 
191.178767 3.072000  195.781986 3.072000 
196.178767 3.072000  200.845158 3.072000 
201.178767 3.072000  205.777711 3.072000 
206.178767 3.072000  210.801968 3.072000 
211.178767 3.072000  215.710304 3.072000 
216.178767 3.072000  220.757304 3.072000 
221.178767 3.072000  225.624356 3.072000 
226.178767 3.072000  230.803953 3.072000 
231.178767 3.072000  235.876241 3.072000 
236.178767 3.072000  240.726590 3.072000 
241.178767 3.072000  245.889947 3.072000 
246.178767 3.072000  250.894868 3.072000 
251.178767 3.072000  255.949878 3.072000 
256.178767 3.072000  261.039003 3.072000 
261.178767 3.072000  265.958374 3.072000 
266.178767 3.072000  270.951801 3.072000 
271.178767 3.072000  276.113954 3.072000 
276.178767 3.072000  281.067585 3.072000 
281.178767 3.072000  286.032865 3.072000 
286.178767 3.072000  291.092954 3.072000 
291.178767 3.072000  296.141871 3.072000 
296.178767 3.072000  301.116749 3.072000 
301.178767 3.072000  306.186805 3.072000 
306.186805 3.072000  311.099015 3.072000 
311.178767 3.072000  316.074503 3.072000 
316.178767 3.072000  321.174191 3.072000 
321.178767 3.072000  326.116000 3.072000 
326.178767 3.072000  330.929711 3.072000 
331.178767 3.072000  336.200230 3.072000 
336.200230 3.072000  341.104781 3.072000 
341.178767 3.072000  346.111994 3.072000 
346.178767 3.072000  351.190101 3.072000 
351.190101 3.072000  356.098605 3.072000 
356.178767 3.072000  361.166463 3.072000 
361.178767 3.072000  366.016450 3.072000 
366.178767 3.072000  370.991258 3.072000 
371.178767 3.072000  376.161675 3.072000 
376.178767 3.072000  381.128912 3.072000 
381.178767 3.072000  386.131638 3.072000 
386.178767 3.072000  391.043098 3.072000 
391.178767 3.072000  395.922833 3.072000 
396.178767 3.072000  400.982567 3.072000 
401.178767 3.072000  405.979532 3.072000 
406.178767 3.072000  410.939495 3.072000 
411.178767 3.072000  415.859730 3.072000 
416.178767 3.072000  420.735192 3.072000 
421.178767 3.072000  425.755571 3.072000 
426.178767 3.072000  430.853801 3.072000 
