# WEMAClient mimuroto
1.055263 0.128000  1.139551 0.128000 
1.189551 5.120000  3.310138 5.120000 
3.310138 5.120000  10.502657 5.120000 
10.502657 3.328000  13.981871 2.048000 
13.981871 2.816000  18.375603 2.560000 
18.375603 2.816000  22.691552 2.560000 
22.691552 2.816000  27.477183 2.816000 
27.477183 2.816000  36.236567 2.816000 
36.286567 1.536000  40.659482 0.512000 
40.659482 0.512000  45.488118 0.512000 
45.488118 0.512000  50.505536 0.512000 
50.505536 0.384000  55.373936 0.512000 
55.373936 0.512000  58.319544 0.512000 
58.319544 0.768000  61.708418 0.768000 
61.708418 1.024000  68.746431 0.768000 
68.746431 0.512000  76.712614 0.768000 
76.762614 0.384000  83.283832 0.768000 
83.333832 0.512000  84.748970 0.256000 
84.748970 0.896000  90.833794 0.896000 
90.833794 0.640000  94.208408 0.256000 
94.208408 0.256000  96.209319 0.256000 
96.209319 0.512000  101.468203 0.512000 
101.468203 0.384000  107.155294 0.512000 
107.155294 0.384000  112.752483 0.512000 
112.752483 0.384000  118.310029 0.512000 
118.310029 0.384000  124.265265 0.512000 
124.265265 0.384000  130.008622 0.512000 
130.008622 0.384000  135.485299 0.512000 
135.485299 0.384000  138.231013 0.256000 
138.231013 0.384000  142.030582 0.384000 
142.030582 0.384000  146.767561 0.384000 
146.767561 0.384000  150.779453 0.384000 
150.779453 0.384000  154.680551 0.384000 
154.680551 0.384000  158.096013 0.384000 
158.333832 0.512000  164.408466 0.512000 
164.408466 0.384000  169.410889 0.512000 
169.410889 0.384000  175.617153 0.512000 
175.617153 0.384000  181.404590 0.512000 
181.404590 0.384000  187.195435 0.512000 
187.195435 0.384000  193.621492 0.512000 
193.621492 0.384000  199.020956 0.512000 
199.020956 0.384000  204.474039 0.512000 
204.474039 0.384000  210.000124 0.512000 
210.000124 0.384000  215.291030 0.512000 
215.291030 0.384000  220.531854 0.512000 
220.531854 0.384000  226.375435 0.512000 
226.375435 0.384000  229.469306 0.256000 
229.469306 0.384000  233.518179 0.384000 
233.518179 0.384000  237.755779 0.384000 
237.755779 0.384000  241.545640 0.384000 
241.545640 0.384000  245.671014 0.384000 
245.671014 0.384000  249.730015 0.384000 
249.730015 0.384000  253.829825 0.384000 
253.829825 0.384000  258.679017 0.384000 
258.679017 0.384000  263.258755 0.384000 
263.333832 0.384000  267.861242 0.384000 
268.333832 0.384000  271.904257 0.384000 
273.333832 0.512000  278.696689 0.512000 
278.696689 0.384000  281.688594 0.256000 
283.333832 0.384000  287.717085 0.384000 
288.333832 0.384000  292.854590 0.384000 
293.333832 0.384000  297.035686 0.384000 
298.333832 0.512000  304.516921 0.512000 
304.516921 0.384000  309.612944 0.512000 
309.612944 0.384000  315.456619 0.512000 
315.456619 0.384000  321.512314 0.512000 
321.512314 0.384000  326.924648 0.512000 
326.924648 0.384000  332.924238 0.512000 
332.924238 0.384000  338.043939 0.512000 
338.043939 0.384000  343.912995 0.512000 
343.912995 0.384000  349.082961 0.512000 
349.082961 0.384000  354.408694 0.512000 
354.408694 0.384000  359.546556 0.512000 
359.546556 0.384000  365.587161 0.512000 
365.587161 0.384000  368.493232 0.256000 
368.493232 0.384000  373.200377 0.384000 
373.200377 0.384000  377.563041 0.384000 
377.563041 0.384000  381.652438 0.384000 
381.652438 0.384000  385.970582 0.384000 
385.970582 0.384000  389.313864 0.384000 
389.313864 0.512000  395.120489 0.512000 
395.120489 0.384000  400.644000 0.512000 
400.644000 0.384000  406.259671 0.512000 
406.259671 0.384000  412.013214 0.512000 
412.013214 0.384000  418.292174 0.512000 
418.292174 0.384000  424.397324 0.512000 
424.397324 0.384000  428.994081 0.512000 
428.994081 0.512000  434.249570 0.512000 
434.249570 0.384000  439.669441 0.512000 
439.669441 0.384000  445.403942 0.512000 
445.403942 0.384000  448.181094 0.256000 
448.181094 0.384000  451.730109 0.384000 
451.730109 0.512000  457.938735 0.512000 
457.938735 0.384000  463.467868 0.512000 
463.467868 0.384000  467.742275 0.384000 
467.742275 0.384000  472.052275 0.384000 
472.052275 0.384000  476.494063 0.384000 
476.494063 0.384000  481.336498 0.384000 
481.336498 0.384000  485.765282 0.384000 
485.765282 0.384000  490.452295 0.384000 
490.452295 0.384000  494.813098 0.384000 
494.813098 0.384000  498.557820 0.384000 
498.557820 0.512000  503.860657 0.512000 
503.860657 0.384000  508.774267 0.512000 
508.774267 0.512000  513.525626 0.512000 
513.525626 0.512000  516.670088 0.512000 
518.333832 0.768000  524.302501 0.768000 
524.302501 0.640000  531.724375 0.768000 
531.724375 0.512000  537.920617 0.768000 
537.920617 0.512000  541.681148 0.768000 
541.681148 0.896000  549.193880 0.896000 
549.193880 0.512000  551.552674 0.256000 
551.552674 0.512000  557.368276 0.512000 
557.368276 0.384000  561.545535 0.512000 
561.545535 0.512000  565.552881 0.512000 
565.552881 0.512000  567.524757 0.512000 
568.333832 1.280000  572.570492 1.280000 
573.333832 1.280000  575.519780 1.280000 
578.333832 2.816000  582.594683 2.816000 
583.333832 3.072000  588.359648 3.072000 
588.359648 2.816000  593.490296 3.072000 
