# AndroidClient mimuroto
4.060661 0.128000  4.205728 0.128000 
4.255728 4.352000  10.941287 4.352000 
10.991287 3.072000  13.944566 1.792000 
13.944566 3.072000  16.867787 1.792000 
16.867787 3.072000  21.696339 2.816000 
21.696339 3.072000  26.506228 2.816000 
26.506228 2.816000  31.377363 2.816000 
31.377363 2.816000  36.028076 2.816000 
36.028076 2.816000  40.656265 2.816000 
40.656265 2.816000  45.082726 2.816000 
45.082726 2.816000  49.719414 2.816000 
49.719414 2.816000  54.216942 2.816000 
54.216942 2.816000  58.764868 2.816000 
58.764868 2.816000  63.509308 2.816000 
63.509308 2.816000  68.074817 2.816000 
68.074817 2.816000  72.562716 2.816000 
72.562716 2.816000  77.047033 2.816000 
77.047033 2.816000  81.558420 2.816000 
81.558420 2.816000  86.266440 2.816000 
86.266440 2.816000  90.877115 2.816000 
90.991287 2.816000  95.394968 2.816000 
95.991287 2.816000  100.467174 2.816000 
100.991287 3.072000  105.755174 3.072000 
105.991287 3.072000  110.873691 3.072000 
110.991287 3.072000  115.858342 3.072000 
115.991287 3.072000  120.823182 3.072000 
120.991287 3.072000  125.793841 3.072000 
125.991287 3.072000  130.880925 3.072000 
130.991287 3.072000  135.809627 3.072000 
135.991287 3.072000  140.817040 3.072000 
140.991287 3.072000  145.920320 3.072000 
145.991287 3.072000  150.782071 3.072000 
150.991287 3.072000  155.912095 3.072000 
155.991287 3.072000  160.897632 3.072000 
160.991287 3.072000  165.814787 3.072000 
165.991287 3.072000  170.959997 3.072000 
170.991287 3.072000  175.725875 3.072000 
175.991287 3.072000  180.942329 3.072000 
180.991287 3.072000  185.971153 3.072000 
185.991287 3.072000  190.933857 3.072000 
190.991287 3.072000  195.862535 3.072000 
195.991287 3.072000  200.843213 3.072000 
200.991287 3.072000  205.989041 3.072000 
205.991287 3.072000  210.864732 3.072000 
210.991287 3.072000  215.948467 3.072000 
215.991287 3.072000  220.898999 3.072000 
220.991287 3.072000  225.974598 3.072000 
225.991287 3.072000  230.840279 3.072000 
230.991287 3.072000  235.909160 3.072000 
235.991287 3.072000  240.860234 3.072000 
240.991287 3.072000  245.950455 3.072000 
245.991287 3.072000  250.862837 3.072000 
250.991287 3.072000  255.942054 3.072000 
255.991287 3.072000  260.833505 3.072000 
260.991287 3.072000  265.813843 3.072000 
265.991287 3.072000  270.731474 3.072000 
270.991287 3.072000  275.689874 3.072000 
275.991287 3.072000  280.698877 3.072000 
280.991287 3.072000  285.518646 3.072000 
285.991287 3.072000  290.490841 3.072000 
290.991287 3.072000  295.631732 3.072000 
295.991287 3.072000  300.403352 3.072000 
300.991287 3.072000  305.843532 3.072000 
305.991287 3.072000  310.820110 3.072000 
310.991287 3.072000  315.965306 3.072000 
315.991287 3.072000  320.763497 3.072000 
320.991287 3.072000  325.894011 3.072000 
325.991287 3.072000  330.826401 3.072000 
330.991287 3.072000  335.883164 3.072000 
335.991287 3.072000  340.838420 3.072000 
340.991287 3.072000  345.744529 3.072000 
345.991287 3.072000  351.014532 3.072000 
351.014532 3.072000  355.872087 3.072000 
355.991287 3.072000  360.972118 3.072000 
360.991287 3.072000  365.997209 3.072000 
365.997209 3.072000  370.909763 3.072000 
370.991287 3.072000  375.980698 3.072000 
375.991287 3.072000  380.980205 3.072000 
380.991287 3.072000  385.945593 3.072000 
385.991287 3.072000  390.991114 3.072000 
390.991287 3.072000  395.887793 3.072000 
395.991287 3.072000  400.980616 3.072000 
400.991287 3.072000  405.926654 3.072000 
405.991287 3.072000  410.851480 3.072000 
410.991287 3.072000  415.925249 3.072000 
415.991287 3.072000  420.640456 3.072000 
420.991287 3.072000  425.718141 3.072000 
425.991287 3.072000  430.769208 3.072000 
430.991287 3.072000  435.910428 3.072000 
435.991287 3.072000  440.910180 3.072000 
440.991287 3.072000  445.899999 3.072000 
445.991287 3.072000  451.004940 3.072000 
451.004940 3.072000  455.932729 3.072000 
455.991287 3.072000  460.832314 3.072000 
460.991287 3.072000  465.775767 3.072000 
465.991287 3.072000  470.897840 3.072000 
470.991287 3.072000  475.923787 3.072000 
475.991287 3.072000  480.823132 3.072000 
480.991287 3.072000  485.815417 3.072000 
485.991287 3.072000  490.712176 3.072000 
490.991287 3.072000  495.680595 3.072000 
495.991287 3.072000  500.842949 3.072000 
500.991287 3.072000  505.996565 3.072000 
505.996565 3.072000  511.067395 3.072000 
511.067395 3.072000  516.156917 3.072000 
516.156917 3.072000  520.913999 3.072000 
520.991287 3.072000  525.873490 3.072000 
525.991287 3.072000  530.801999 3.072000 
530.991287 3.072000  535.966061 3.072000 
535.991287 3.072000  540.886008 3.072000 
540.991287 3.072000  545.814885 3.072000 
545.991287 3.072000  550.677278 3.072000 
550.991287 3.072000  555.606578 3.072000 
555.991287 3.072000  560.552616 3.072000 
560.991287 3.072000  565.821301 3.072000 
565.991287 3.072000  570.924066 3.072000 
570.991287 3.072000  575.711292 3.072000 
575.991287 3.072000  580.480097 3.072000 
580.991287 3.072000  585.902307 3.072000 
585.991287 3.072000  591.113081 3.072000 
591.113081 3.072000  596.431267 3.072000 
596.431267 3.072000  601.715485 3.072000 
601.715485 3.072000  606.848580 3.072000 
606.848580 3.072000  612.060304 3.072000 
612.060304 3.072000  617.245593 3.072000 
617.245593 3.072000  622.528865 3.072000 
622.528865 3.072000  627.728588 3.072000 
627.728588 3.072000  633.012872 3.072000 
633.012872 3.072000  638.219945 3.072000 
638.219945 3.072000  643.357131 3.072000 
643.357131 3.072000  648.479231 3.072000 
648.479231 3.072000  653.589345 3.072000 
653.589345 3.072000  658.765357 3.072000 
658.765357 3.072000  663.940666 3.072000 
663.940666 3.072000  669.086822 3.072000 
669.086822 3.072000  674.226601 3.072000 
674.226601 3.072000  679.455241 3.072000 
679.455241 3.072000  684.586241 3.072000 
684.586241 3.072000  689.832245 3.072000 
689.832245 3.072000  694.990387 3.072000 
694.990387 3.072000  700.133810 3.072000 
700.133810 3.072000  705.393469 3.072000 
705.393469 3.072000  710.577852 3.072000 
710.577852 3.072000  715.849228 3.072000 
715.849228 3.072000  720.997029 3.072000 
720.997029 3.072000  726.083368 3.072000 
726.083368 3.072000  731.212752 3.072000 
731.212752 3.072000  736.381791 3.072000 
736.381791 3.072000  741.530755 3.072000 
741.530755 3.072000  746.769066 3.072000 
746.769066 3.072000  752.010341 3.072000 
752.010341 3.072000  757.268098 3.072000 
757.268098 3.072000  762.405100 3.072000 
762.405100 3.072000  767.623566 3.072000 
767.623566 3.072000  772.907819 3.072000 
772.907819 3.072000  778.128347 3.072000 
778.128347 3.072000  783.331603 3.072000 
783.331603 3.072000  788.501108 3.072000 
788.501108 3.072000  793.721089 3.072000 
793.721089 3.072000  797.192798 2.048000 
797.192798 3.072000  801.549590 2.560000 
801.549590 2.816000  806.377547 2.816000 
806.377547 2.816000  811.075619 2.816000 
811.075619 2.816000  815.817078 2.816000 
815.817078 2.816000  820.529129 2.816000 
820.529129 2.816000  825.208413 2.816000 
825.208413 2.816000  829.838061 2.816000 
829.838061 2.816000  834.568663 2.816000 
834.568663 2.816000  839.324243 2.816000 
839.324243 2.816000  844.046377 2.816000 
844.046377 2.816000  848.677225 2.816000 
848.677225 2.816000  853.446496 2.816000 
853.446496 2.816000  858.070888 2.816000 
858.070888 2.816000  862.841958 2.816000 
862.841958 2.816000  867.517917 2.816000 
867.517917 2.816000  872.264215 2.816000 
872.264215 2.816000  877.071384 2.816000 
877.071384 2.816000  881.779492 2.816000 
881.779492 2.816000  886.483347 2.816000 
886.483347 2.816000  890.496646 2.816000 
