# VAndroidClient mimuroto
6.058949 0.128000  6.268164 0.128000 
6.318164 2.816000  10.961230 2.816000 
10.961230 2.816000  15.691564 2.816000 
15.691564 2.816000  20.488969 2.816000 
20.488969 2.816000  25.333217 2.816000 
25.333217 2.816000  30.111789 2.816000 
30.111789 2.816000  34.794724 2.816000 
34.794724 2.816000  39.623473 2.816000 
39.623473 2.816000  44.042365 2.816000 
44.042365 2.816000  48.512343 2.816000 
48.512343 2.816000  52.994745 2.816000 
52.994745 2.816000  57.435716 2.816000 
57.435716 2.816000  62.147883 2.816000 
62.147883 2.816000  66.784217 2.816000 
66.784217 2.816000  71.387394 2.816000 
71.387394 2.816000  75.919485 2.816000 
75.919485 2.816000  80.318080 2.816000 
80.318080 2.816000  84.839770 2.816000 
84.839770 2.816000  89.581802 2.816000 
89.581802 2.816000  94.111991 2.816000 
94.111991 2.816000  98.811762 2.816000 
98.811762 2.816000  103.333655 2.816000 
103.333655 2.816000  107.894081 2.816000 
107.894081 2.816000  112.355365 2.816000 
112.355365 3.072000  117.300728 3.072000 
117.300728 3.072000  122.314152 3.072000 
122.314152 3.072000  127.207514 3.072000 
127.207514 3.072000  132.230482 3.072000 
132.230482 3.072000  137.216974 3.072000 
137.216974 3.072000  142.167317 3.072000 
142.167317 3.072000  147.107923 3.072000 
147.107923 3.072000  151.922885 3.072000 
151.922885 3.072000  156.598202 3.072000 
156.598202 3.072000  161.451334 3.072000 
161.451334 3.072000  166.419100 3.072000 
166.419100 3.072000  171.165247 3.072000 
171.318164 3.072000  175.925767 3.072000 
176.318164 3.072000  181.096677 3.072000 
181.318164 3.072000  185.962439 3.072000 
186.318164 3.072000  191.084844 3.072000 
191.318164 3.072000  196.223155 3.072000 
196.318164 3.072000  201.100217 3.072000 
201.318164 3.072000  206.141985 3.072000 
206.318164 3.072000  211.092000 3.072000 
211.318164 3.072000  216.080256 3.072000 
216.318164 3.072000  220.994001 3.072000 
221.318164 3.072000  226.168980 3.072000 
226.318164 3.072000  231.187457 3.072000 
231.318164 3.072000  236.084996 3.072000 
236.318164 3.072000  241.164724 3.072000 
241.318164 3.072000  246.077587 3.072000 
246.318164 3.072000  251.157275 3.072000 
251.318164 3.072000  256.096181 3.072000 
256.318164 3.072000  260.877241 3.072000 
261.318164 3.072000  266.027213 3.072000 
266.318164 3.072000  270.744731 3.072000 
271.318164 3.072000  275.778346 3.072000 
276.318164 3.072000  280.884882 3.072000 
281.318164 3.072000  285.840596 3.072000 
286.318164 3.072000  290.747049 3.072000 
291.318164 3.072000  295.998750 3.072000 
296.318164 3.072000  301.044901 3.072000 
301.318164 3.072000  306.054070 3.072000 
306.318164 3.072000  311.122221 3.072000 
311.318164 3.072000  316.046928 3.072000 
316.318164 3.072000  320.783444 3.072000 
321.318164 3.072000  325.755466 3.072000 
326.318164 3.072000  331.007845 3.072000 
331.318164 3.072000  335.690799 3.072000 
336.318164 3.328000  341.185509 3.328000 
341.318164 3.328000  346.301947 3.328000 
346.318164 3.328000  351.606209 3.328000 
351.606209 3.328000  356.770992 3.328000 
356.770992 3.328000  361.809409 3.328000 
361.809409 3.328000  367.063159 3.328000 
367.063159 3.072000  371.446318 3.072000 
371.446318 3.072000  376.197824 3.072000 
376.318164 3.072000  380.973993 3.072000 
381.318164 3.072000  385.906627 3.072000 
386.318164 3.072000  390.706029 3.072000 
391.318164 3.072000  395.922958 3.072000 
396.318164 3.072000  401.127224 3.072000 
401.318164 3.072000  406.131358 3.072000 
406.318164 3.072000  411.111015 3.072000 
411.318164 3.072000  415.779567 3.072000 
416.318164 3.072000  420.782152 3.072000 
421.318164 3.072000  426.045087 3.072000 
426.318164 3.072000  431.052583 3.072000 
431.318164 3.072000  435.934050 3.072000 
436.318164 3.072000  441.044306 3.072000 
441.318164 3.072000  445.885590 3.072000 
446.318164 3.072000  450.630991 3.072000 
451.318164 3.072000  455.667005 3.072000 
456.318164 3.328000  461.178002 3.328000 
461.318164 3.328000  466.341835 3.328000 
466.341835 3.328000  471.330748 3.328000 
471.330748 3.328000  476.398851 3.328000 
476.398851 3.328000  481.466091 3.328000 
481.466091 3.328000  486.664758 3.328000 
486.664758 3.072000  491.390693 3.072000 
491.390693 3.072000  496.259705 3.072000 
496.318164 3.072000  500.901625 3.072000 
501.318164 3.072000  505.483416 3.072000 
506.318164 3.328000  511.152465 3.328000 
511.318164 3.328000  516.303071 3.328000 
516.318164 3.328000  521.296135 3.328000 
521.318164 3.328000  526.351902 3.328000 
526.351902 3.328000  531.554984 3.328000 
531.554984 3.328000  536.856383 3.328000 
536.856383 3.328000  542.326004 3.328000 
542.326004 3.072000  546.653503 3.072000 
546.653503 3.072000  551.114697 3.072000 
551.318164 3.072000  555.785766 3.072000 
556.318164 3.072000  561.034642 3.072000 
561.318164 3.072000  566.171813 3.072000 
566.318164 3.072000  570.799309 3.072000 
571.318164 3.072000  575.446155 3.072000 
576.318164 3.072000  580.512802 3.072000 
581.318164 3.328000  586.784992 3.328000 
586.784992 3.328000  592.293480 3.328000 
592.293480 3.072000  597.461873 3.072000 
597.461873 3.072000  602.732790 3.072000 
602.732790 3.072000  607.980552 3.072000 
607.980552 3.072000  613.186860 3.072000 
613.186860 3.072000  618.381912 3.072000 
618.381912 3.072000  623.574996 3.072000 
623.574996 3.072000  628.582743 3.072000 
628.582743 3.072000  633.745023 3.072000 
633.745023 3.072000  638.770384 3.072000 
638.770384 3.072000  643.825232 3.072000 
643.825232 3.072000  648.963045 3.072000 
648.963045 3.072000  654.063254 3.072000 
654.063254 3.072000  659.147955 3.072000 
659.147955 3.072000  664.276024 3.072000 
664.276024 3.072000  669.346294 3.072000 
669.346294 2.816000  673.851710 2.816000 
673.851710 2.816000  678.538100 2.816000 
678.538100 2.816000  683.104490 2.816000 
683.104490 2.816000  687.836040 2.816000 
687.836040 2.816000  692.533421 2.816000 
692.533421 2.816000  697.162062 2.816000 
697.162062 2.816000  701.944190 2.816000 
701.944190 2.816000  706.501897 2.816000 
706.501897 2.816000  711.100922 2.816000 
711.318164 2.816000  715.896239 2.816000 
716.318164 2.816000  720.969778 2.816000 
721.318164 2.816000  726.095076 2.816000 
726.318164 2.816000  730.896988 2.816000 
731.318164 2.816000  736.005833 2.816000 
736.318164 2.816000  740.967993 2.816000 
741.318164 2.816000  746.134013 2.816000 
746.318164 2.816000  751.029205 2.816000 
751.318164 2.816000  755.919812 2.816000 
756.318164 2.816000  760.837547 2.816000 
761.318164 2.816000  766.031306 2.816000 
766.318164 2.816000  771.032555 2.816000 
771.318164 2.816000  775.970267 2.816000 
776.318164 2.816000  780.888851 2.816000 
781.318164 2.816000  785.905620 2.816000 
786.318164 2.816000  791.091218 2.816000 
791.318164 2.816000  796.117104 2.816000 
796.318164 2.816000  801.084364 2.816000 
801.318164 2.816000  805.973302 2.816000 
806.318164 2.816000  810.982758 2.816000 
811.318164 2.816000  816.075119 2.816000 
816.318164 2.816000  820.947228 2.816000 
821.318164 2.816000  825.968134 2.816000 
826.318164 2.816000  831.067609 2.816000 
831.318164 2.816000  836.040287 2.816000 
836.318164 2.816000  840.984752 2.816000 
841.318164 2.816000  845.973578 2.816000 
846.318164 2.816000  851.083884 2.816000 
851.318164 2.816000  856.003079 2.816000 
856.318164 2.816000  860.870917 2.816000 
861.318164 2.816000  865.863399 2.816000 
866.318164 2.816000  870.971323 2.816000 
871.318164 2.816000  876.042360 2.816000 
876.318164 2.816000  881.156442 2.816000 
881.318164 2.816000  885.995597 2.816000 
886.318164 2.816000  890.805171 2.816000 
