# WEMAClient mimuroto
1.055263 0.128000  1.139551 0.128000 
1.189551 5.120000  3.235807 5.120000 
3.235807 5.120000  9.360608 5.120000 
9.360608 4.096000  16.272954 4.096000 
16.322954 2.816000  21.088142 2.816000 
21.088142 2.816000  25.848190 2.816000 
25.848190 2.816000  30.906231 2.816000 
30.906231 2.560000  37.820585 2.560000 
37.870585 1.792000  47.224810 1.792000 
47.274810 0.896000  52.460770 0.896000 
52.510770 0.768000  56.299487 0.768000 
56.299487 0.896000  59.204604 0.896000 
59.204604 1.536000  63.417858 1.536000 
63.417858 1.792000  70.379600 1.792000 
70.379600 1.280000  77.655930 1.280000 
77.705930 0.768000  81.290757 0.768000 
81.290757 1.024000  84.742983 1.024000 
84.742983 1.280000  88.684331 1.280000 
88.684331 1.536000  94.639126 1.536000 
94.639126 1.280000  99.884059 1.280000 
99.884059 1.024000  106.690071 1.024000 
106.690071 0.640000  111.086247 0.640000 
111.086247 0.640000  114.683320 0.640000 
114.683320 0.768000  119.352390 0.768000 
119.352390 0.768000  123.718890 0.768000 
123.718890 0.768000  127.288342 0.768000 
127.288342 1.024000  132.539319 1.024000 
132.539319 0.896000  137.426651 0.896000 
137.426651 0.896000  142.246546 0.896000 
142.246546 0.896000  148.002067 0.896000 
148.002067 0.768000  152.228994 0.768000 
152.228994 0.896000  157.692762 0.896000 
157.692762 0.768000  162.229910 0.768000 
162.229910 0.768000  165.944899 0.768000 
165.944899 1.024000  170.762260 1.024000 
170.762260 1.024000  176.588240 1.024000 
176.588240 0.768000  181.031466 0.768000 
181.031466 0.768000  185.700030 0.768000 
185.700030 0.768000  190.334987 0.768000 
190.334987 0.768000  195.343391 0.768000 
195.343391 0.640000  199.340320 0.640000 
199.340320 0.768000  203.488243 0.768000 
203.488243 0.896000  209.150460 0.896000 
209.150460 0.768000  213.525997 0.768000 
213.525997 0.768000  217.607188 0.768000 
217.705930 0.896000  222.285680 0.896000 
222.705930 0.896000  227.984740 0.896000 
227.984740 0.768000  232.487650 0.768000 
232.705930 0.768000  236.096266 0.768000 
237.705930 1.024000  243.482679 1.024000 
243.482679 0.768000  247.465151 0.768000 
247.705930 0.896000  252.909988 0.896000 
252.909988 0.768000  256.992166 0.768000 
257.705930 0.896000  263.190868 0.896000 
263.190868 0.768000  267.672227 0.768000 
267.705930 0.768000  272.379976 0.768000 
272.705930 0.768000  277.467958 0.768000 
277.705930 0.768000  281.517567 0.768000 
282.705930 0.896000  287.333971 0.896000 
287.705930 0.896000  292.379776 0.896000 
292.705930 0.896000  297.987183 0.896000 
297.987183 0.768000  301.599084 0.768000 
302.705930 1.024000  308.395699 1.024000 
308.395699 0.896000  312.460677 0.896000 
312.705930 1.024000  317.758662 1.024000 
317.758662 0.896000  322.491327 0.896000 
322.705930 0.896000  327.733608 0.896000 
327.733608 0.768000  331.695274 0.768000 
332.705930 0.896000  337.840785 0.896000 
337.840785 0.768000  341.939866 0.768000 
342.705930 0.896000  347.639369 0.896000 
347.705930 0.896000  352.611624 0.896000 
352.705930 0.896000  358.055181 0.896000 
358.055181 0.768000  361.801619 0.768000 
362.705930 1.024000  368.617472 1.024000 
368.617472 0.768000  373.064961 0.768000 
373.064961 0.768000  376.410731 0.768000 
377.705930 1.024000  383.144200 1.024000 
383.144200 0.896000  387.920146 0.896000 
387.920146 0.896000  393.289340 0.896000 
393.289340 0.768000  396.707037 0.768000 
397.705930 1.024000  402.741629 1.024000 
402.741629 0.896000  408.094158 0.896000 
408.094158 0.768000  412.607425 0.768000 
412.705930 0.768000  417.285070 0.768000 
417.705930 0.768000  422.709847 0.768000 
422.709847 0.640000  426.532210 0.640000 
427.705930 0.768000  432.030790 0.768000 
432.705930 0.768000  436.981986 0.768000 
437.705930 0.896000  442.963176 0.896000 
442.963176 0.768000  446.798234 0.768000 
447.705930 0.896000  453.265359 0.896000 
453.265359 0.768000  457.962684 0.768000 
457.962684 0.768000  463.159905 0.768000 
463.159905 0.640000  466.319813 0.640000 
467.705930 0.896000  472.820969 0.896000 
472.820969 0.768000  476.668262 0.768000 
477.705930 0.896000  482.198505 0.896000 
482.705930 0.896000  487.670029 0.896000 
487.705930 0.896000  492.493038 0.896000 
492.705930 0.896000  496.373505 0.896000 
497.705930 1.024000  503.130867 1.024000 
503.130867 0.896000  506.435869 0.896000 
507.705930 1.280000  512.730476 1.280000 
512.730476 1.024000  515.548958 1.024000 
517.705930 1.792000  528.388348 1.792000 
528.388348 0.768000  532.153739 0.768000 
532.153739 0.896000  534.929107 0.896000 
534.929107 1.536000  540.019155 1.536000 
540.019155 1.280000  543.904178 1.280000 
543.904178 1.536000  554.080133 1.536000 
554.080133 0.640000  558.527664 0.640000 
558.527664 0.640000  561.538572 0.640000 
561.538572 1.024000  564.645208 1.024000 
564.645208 1.536000  568.183839 1.536000 
568.183839 2.048000  572.141222 2.048000 
572.705930 2.560000  576.878698 2.560000 
577.705930 2.816000  581.948451 2.816000 
582.705930 3.072000  586.828825 3.072000 
587.705930 3.584000  592.457019 3.584000 
592.705930 3.584000  597.617607 3.584000 
597.705930 3.584000  602.753461 3.584000 
602.753461 3.328000  607.780335 3.328000 
607.780335 3.072000  612.644061 3.072000 
612.705930 3.072000  617.721799 3.072000 
617.721799 2.816000  622.357236 2.816000 
622.705930 2.816000  627.347139 2.816000 
627.705930 2.816000  632.320835 2.816000 
632.705930 2.816000  637.307991 2.816000 
637.705930 2.816000  642.286489 2.816000 
