# VAndroidClient mimuroto
5.069221 0.128000  5.223762 0.128000 
5.273762 4.096000  11.573943 4.096000 
11.623943 3.072000  16.792879 3.072000 
16.842879 3.072000  22.029156 3.072000 
22.079156 3.072000  27.290740 3.072000 
27.340740 2.816000  32.829135 2.816000 
32.879135 2.816000  38.241588 2.816000 
38.291588 2.816000  43.571344 2.816000 
43.621344 2.816000  48.457018 2.816000 
48.457018 2.816000  53.429321 2.816000 
53.429321 2.816000  58.317783 2.816000 
58.317783 2.816000  63.987027 2.816000 
64.037027 2.816000  69.709075 2.816000 
69.759075 2.560000  74.472984 2.560000 
74.472984 2.560000  78.844517 2.560000 
78.844517 2.560000  83.530455 2.560000 
83.530455 2.560000  88.686681 2.560000 
88.686681 2.560000  94.212932 2.560000 
94.212932 2.560000  99.879369 2.560000 
99.929369 2.560000  104.543427 2.560000 
104.543427 2.560000  109.102095 2.560000 
109.102095 2.560000  113.822210 2.560000 
113.822210 2.560000  118.575801 2.560000 
118.575801 2.560000  123.571799 2.560000 
123.571799 2.560000  128.708547 2.560000 
128.708547 2.560000  133.594049 2.560000 
133.594049 2.560000  138.507001 2.560000 
138.507001 2.560000  143.214267 2.560000 
143.214267 2.560000  148.005129 2.560000 
148.005129 2.560000  153.027086 2.560000 
153.027086 2.560000  157.596948 2.560000 
157.596948 2.560000  162.349090 2.560000 
162.349090 2.560000  167.532833 2.560000 
167.532833 2.560000  172.416661 2.560000 
172.416661 2.560000  177.401815 2.560000 
177.401815 2.560000  181.949503 2.560000 
181.949503 2.560000  186.796246 2.560000 
186.796246 2.560000  191.315928 2.560000 
191.315928 2.560000  196.035951 2.560000 
196.035951 2.560000  200.801610 2.560000 
200.801610 2.560000  205.474008 2.560000 
205.474008 2.560000  210.313024 2.560000 
210.313024 2.560000  215.226282 2.560000 
215.226282 2.560000  220.108499 2.560000 
220.108499 2.560000  225.013832 2.560000 
225.013832 2.560000  229.879621 2.560000 
229.879621 2.560000  234.777178 2.560000 
234.777178 2.560000  238.997151 2.560000 
238.997151 2.560000  243.980708 2.560000 
243.980708 2.560000  248.860347 2.560000 
248.860347 2.560000  253.647371 2.560000 
253.647371 2.560000  258.308794 2.560000 
258.308794 2.560000  262.854046 2.560000 
262.854046 2.560000  267.636446 2.560000 
267.636446 2.560000  272.277382 2.560000 
272.277382 2.560000  276.635662 2.560000 
276.635662 2.560000  281.582941 2.560000 
281.582941 2.560000  286.037614 2.560000 
286.037614 2.560000  290.799456 2.560000 
290.799456 2.560000  295.516617 2.560000 
295.516617 2.560000  300.085424 2.560000 
300.085424 2.560000  304.329386 2.560000 
304.929369 2.560000  308.816594 2.560000 
309.929369 2.560000  313.823217 2.560000 
314.929369 2.560000  319.083654 2.560000 
319.929369 2.560000  323.934004 2.560000 
324.929369 2.816000  329.598941 2.816000 
329.929369 2.816000  334.117607 2.816000 
334.929369 2.816000  339.341821 2.816000 
339.929369 2.816000  344.708918 2.816000 
344.929369 2.816000  350.110656 2.816000 
350.110656 2.816000  355.116141 2.816000 
355.116141 2.816000  360.120348 2.816000 
