# SAndroidClient mimuroto
125.653521 0.128000  126.605669 0.128000 
126.655669 0.512000  128.392515 0.512000 
128.392515 0.896000  130.738593 0.896000 
130.738593 1.024000  132.778532 1.024000 
132.778532 1.280000  134.914308 1.280000 
136.655669 1.536000  141.286404 1.536000 
141.655669 1.536000  146.241810 1.536000 
146.655669 1.280000  150.779000 1.280000 
151.655669 1.280000  155.773687 1.280000 
156.655669 1.280000  161.160110 1.280000 
161.655669 1.280000  166.342828 1.280000 
166.655669 1.280000  171.847387 1.280000 
171.847387 1.280000  174.902216 1.280000 
176.655669 1.280000  181.790151 1.280000 
181.790151 1.280000  184.846216 1.280000 
186.655669 1.280000  191.870573 1.280000 
191.870573 1.280000  194.883797 1.280000 
196.655669 1.280000  201.876845 1.280000 
201.876845 1.024000  204.349871 1.024000 
206.655669 1.280000  211.305865 1.280000 
211.655669 1.024000  215.944297 1.024000 
216.655669 1.024000  221.078486 1.024000 
221.655669 1.024000  225.625781 1.024000 
226.655669 1.024000  230.561147 1.024000 
231.655669 1.024000  235.384729 1.024000 
236.655669 1.024000  240.841823 1.024000 
241.655669 1.024000  246.040702 1.024000 
246.655669 1.024000  251.081339 1.024000 
251.655669 1.024000  255.943655 1.024000 
256.655669 1.024000  260.968470 1.024000 
261.655669 1.024000  265.444415 1.024000 
266.655669 1.024000  270.449272 1.024000 
271.655669 1.024000  275.972044 1.024000 
276.655669 1.024000  280.790208 1.024000 
281.655669 1.024000  285.948295 1.024000 
286.655669 1.024000  290.998485 1.024000 
291.655669 1.024000  296.004519 1.024000 
296.655669 1.024000  300.997192 1.024000 
301.655669 1.024000  305.528264 1.024000 
306.655669 1.024000  310.610579 1.024000 
311.655669 1.024000  315.494037 1.024000 
316.655669 1.024000  320.943436 1.024000 
321.655669 1.024000  326.024771 1.024000 
326.655669 1.024000  330.983652 1.024000 
331.655669 1.024000  335.883226 1.024000 
336.655669 1.024000  340.346492 1.024000 
341.655669 1.024000  345.152247 1.024000 
346.655669 1.024000  350.275888 1.024000 
351.655669 1.024000  355.942438 1.024000 
356.655669 1.024000  361.002048 1.024000 
361.655669 1.024000  366.150073 1.024000 
366.655669 1.024000  370.998092 1.024000 
371.655669 1.024000  375.626902 1.024000 
376.655669 1.024000  379.842606 1.024000 
381.655669 1.024000  385.961288 1.024000 
386.655669 1.024000  390.709542 1.024000 
391.655669 1.024000  395.354846 1.024000 
396.655669 1.024000  401.017186 1.024000 
401.655669 1.024000  406.234312 1.024000 
406.655669 1.024000  410.948942 1.024000 
411.655669 1.024000  414.971552 1.024000 
416.655669 1.024000  421.094048 1.024000 
421.655669 1.024000  426.210862 1.024000 
426.655669 1.024000  430.918003 1.024000 
431.655669 1.024000  434.849482 1.024000 
436.655669 1.024000  441.095715 1.024000 
441.655669 1.024000  446.063605 1.024000 
446.655669 1.024000  451.019376 1.024000 
451.655669 1.024000  455.056644 1.024000 
456.655669 1.024000  460.896356 1.024000 
461.655669 1.024000  465.896123 1.024000 
466.655669 1.024000  471.142853 1.024000 
471.655669 1.024000  476.278662 1.024000 
476.655669 1.024000  481.204626 1.024000 
481.655669 1.024000  484.964558 1.024000 
486.655669 1.024000  490.822802 1.024000 
491.655669 1.024000  495.125802 1.024000 
496.655669 1.024000  501.129871 1.024000 
501.655669 1.024000  506.305660 1.024000 
506.655669 1.024000  511.152983 1.024000 
511.655669 1.024000  515.309092 1.024000 
516.655669 1.024000  521.082062 1.024000 
521.655669 1.024000  525.220943 1.024000 
526.655669 1.024000  530.784151 1.024000 
531.655669 1.024000  535.156780 1.024000 
536.655669 1.024000  541.146925 1.024000 
541.655669 1.024000  546.300539 1.024000 
546.655669 1.024000  551.149561 1.024000 
551.655669 1.024000  555.322176 1.024000 
556.655669 1.024000  561.098636 1.024000 
561.655669 1.024000  565.870967 1.024000 
566.655669 1.024000  570.541795 1.024000 
571.655669 1.024000  575.393466 1.024000 
576.655669 1.024000  580.684739 1.024000 
581.655669 1.024000  586.231209 1.024000 
586.655669 1.024000  591.256380 1.024000 
591.655669 1.024000  596.165634 1.024000 
596.655669 1.024000  601.236937 1.024000 
601.655669 1.024000  606.206181 1.024000 
606.655669 1.024000  610.819845 1.024000 
611.655669 1.024000  615.672494 1.024000 
616.655669 1.024000  620.742258 1.024000 
621.655669 1.024000  626.188441 1.024000 
626.655669 1.024000  631.380874 1.024000 
631.655669 0.896000  635.888807 0.896000 
636.655669 0.896000  640.864335 0.896000 
641.655669 0.896000  645.640903 0.896000 
646.655669 0.896000  649.435765 0.896000 
651.655669 0.896000  655.733356 0.896000 
656.655669 0.896000  660.244434 0.896000 
661.655669 0.896000  665.768471 0.896000 
666.655669 0.896000  670.986526 0.896000 
671.655669 0.896000  676.068561 0.896000 
676.655669 0.896000  681.073827 0.896000 
681.655669 0.896000  685.920246 0.896000 
686.655669 0.896000  690.680237 0.896000 
691.655669 0.896000  694.744411 0.896000 
696.655669 0.896000  700.927243 0.896000 
701.655669 0.896000  705.957908 0.896000 
706.655669 0.896000  710.764328 0.896000 
711.655669 0.896000  714.731120 0.896000 
716.655669 0.896000  721.147576 0.896000 
721.655669 0.896000  725.962747 0.896000 
726.655669 0.896000  729.945804 0.896000 
731.655669 0.896000  736.079753 0.896000 
736.655669 0.896000  741.181538 0.896000 
741.655669 0.896000  745.441868 0.896000 
746.655669 0.896000  750.205017 0.896000 
751.655669 0.896000  755.484218 0.896000 
756.655669 0.896000  761.016605 0.896000 
761.655669 0.896000  766.221698 0.896000 
766.655669 0.896000  771.086054 0.896000 
771.655669 0.896000  775.932972 0.896000 
776.655669 0.896000  780.286681 0.896000 
781.655669 0.896000  786.028210 0.896000 
786.655669 0.896000  791.185029 0.896000 
791.655669 0.896000  795.878785 0.896000 
796.655669 0.896000  799.744289 0.896000 
801.655669 0.896000  805.845463 0.896000 
806.655669 0.896000  810.290552 0.896000 
811.655669 0.896000  816.082375 0.896000 
816.655669 0.896000  821.192480 0.896000 
821.655669 0.896000  826.220684 0.896000 
826.655669 0.896000  830.895719 0.896000 
831.655669 0.896000  834.855956 0.896000 
836.655669 0.896000  841.082453 0.896000 
841.655669 0.896000  845.947824 0.896000 
846.655669 0.896000  849.782545 0.896000 
851.655669 0.896000  856.003706 0.896000 
856.655669 0.896000  860.862995 0.896000 
861.655669 0.896000  865.828344 0.896000 
866.655669 0.896000  871.037760 0.896000 
871.655669 0.896000  876.151299 0.896000 
876.655669 0.896000  880.877211 0.896000 
881.655669 0.896000  884.883963 0.896000 
886.655669 0.896000  891.138459 0.896000 
891.655669 0.896000  895.889780 0.896000 
896.655669 0.896000  900.384738 0.896000 
901.655669 0.896000  905.561521 0.896000 
906.655669 0.896000  910.926042 0.896000 
911.655669 0.896000  915.479561 0.896000 
916.655669 0.896000  920.354655 0.896000 
921.655669 0.896000  924.168087 0.896000 
926.655669 0.896000  927.873980 0.896000 
931.655669 0.896000  932.845368 0.896000 
936.655669 0.896000  938.244464 0.896000 
941.655669 0.896000  945.198713 0.896000 
946.655669 0.896000  949.296204 0.896000 
951.655669 0.896000  953.083101 0.896000 
956.655669 0.896000  958.733207 0.896000 
961.655669 0.896000  964.663723 0.896000 
966.655669 0.896000  969.084397 0.896000 
971.655669 0.896000  973.241281 0.896000 
976.655669 0.896000  980.167620 0.896000 
981.655669 0.896000  982.285293 0.896000 
986.655669 0.896000  986.921138 0.896000 
991.655669 0.896000  991.910206 0.896000 
996.655669 0.896000  996.914397 0.896000 
1001.655669 0.896000  1001.914682 0.896000 
1006.655669 0.896000  1006.915502 0.896000 
