# AndroidClient mimuroto
1.005263 0.128000  1.089551 0.128000 
1.139551 5.120000  2.603494 5.120000 
2.603494 5.120000  4.076193 5.120000 
4.076193 5.120000  5.553812 5.120000 
6.139551 5.120000  7.622474 5.120000 
11.139551 5.120000  12.621851 5.120000 
16.139551 5.120000  17.620338 5.120000 
21.139551 5.120000  22.611715 5.120000 
26.139551 5.120000  27.611842 5.120000 
31.139551 5.120000  33.158189 5.120000 
36.139551 5.120000  38.999037 5.120000 
41.139551 5.120000  43.073116 5.120000 
46.139551 5.120000  48.091231 5.120000 
51.139551 5.120000  53.040774 5.120000 
56.139551 5.120000  58.112508 5.120000 
61.139551 5.120000  63.076219 5.120000 
66.139551 5.120000  69.930984 5.120000 
71.139551 5.120000  73.617569 5.120000 
76.139551 5.120000  78.100684 5.120000 
81.139551 5.120000  83.098671 5.120000 
86.139551 5.120000  88.062914 5.120000 
91.139551 5.120000  93.112522 5.120000 
96.139551 5.120000  100.939472 5.120000 
101.139551 5.120000  106.949421 5.120000 
106.949421 5.120000  112.722236 5.120000 
112.722236 5.120000  118.477779 5.120000 
118.477779 5.120000  124.225032 5.120000 
124.225032 5.120000  131.251861 5.120000 
131.251861 5.120000  138.511815 5.120000 
138.511815 5.120000  143.510655 3.584000 
143.510655 5.120000  148.668890 3.584000 
148.668890 5.120000  153.733867 3.584000 
153.733867 5.120000  159.347702 3.584000 
159.347702 5.120000  163.621812 2.560000 
163.621812 5.120000  167.995146 2.560000 
167.995146 5.120000  172.342746 2.560000 
172.342746 5.120000  177.991280 3.328000 
177.991280 5.120000  183.688210 3.328000 
183.688210 5.120000  189.196406 3.328000 
189.196406 5.120000  193.503934 2.560000 
193.503934 5.120000  198.215619 2.816000 
198.215619 5.120000  202.903791 2.816000 
202.903791 5.120000  208.002433 3.072000 
208.002433 5.120000  213.094163 3.072000 
213.094163 5.120000  218.216336 3.072000 
218.216336 5.120000  223.307708 3.072000 
223.307708 5.120000  228.403232 3.072000 
228.403232 5.120000  233.579249 3.072000 
233.579249 5.120000  238.741552 3.072000 
238.741552 5.120000  243.874361 3.072000 
243.874361 5.120000  249.054550 3.072000 
249.054550 5.120000  253.383442 2.560000 
253.383442 5.120000  258.066893 2.816000 
258.066893 5.120000  263.153260 3.072000 
263.153260 5.120000  268.269572 3.072000 
268.269572 5.120000  273.405045 3.072000 
273.405045 5.120000  278.639343 3.072000 
278.639343 5.120000  283.761586 3.072000 
283.761586 4.864000  288.978810 3.072000 
288.978810 4.864000  294.054329 3.072000 
294.054329 4.864000  299.106287 3.072000 
299.106287 4.864000  303.224975 2.560000 
303.224975 4.864000  307.752394 2.816000 
307.752394 4.864000  312.671598 3.072000 
312.671598 4.608000  317.542322 3.072000 
317.542322 4.608000  322.720634 3.072000 
322.720634 4.608000  327.796294 3.072000 
327.796294 4.608000  332.796948 3.072000 
332.796948 4.608000  337.872538 3.072000 
337.872538 4.608000  343.043267 3.072000 
343.043267 4.608000  348.113662 3.072000 
348.113662 4.608000  353.226529 3.072000 
353.226529 4.608000  358.250667 3.072000 
358.250667 4.352000  363.306396 3.072000 
363.306396 4.352000  368.355586 3.072000 
368.355586 4.352000  373.475286 3.072000 
373.475286 4.352000  378.557362 3.072000 
378.557362 4.352000  383.708284 3.072000 
383.708284 4.352000  388.796924 3.072000 
388.796924 4.352000  393.937760 3.072000 
393.937760 4.352000  399.030551 3.072000 
399.030551 4.352000  403.295125 2.560000 
403.295125 4.352000  407.872264 2.816000 
407.872264 4.352000  412.956309 3.072000 
