# SAndroidClient mimuroto
125.014475 0.128000  125.193895 0.128000 
125.243895 2.816000  129.217176 2.816000 
129.217176 2.816000  133.154440 2.816000 
133.154440 2.816000  137.050185 2.816000 
137.050185 2.816000  141.033526 2.816000 
141.033526 2.816000  145.088461 2.816000 
145.088461 2.816000  149.065158 2.816000 
149.065158 2.816000  153.046507 2.816000 
153.046507 2.816000  157.253078 2.816000 
157.253078 2.560000  162.029007 2.816000 
162.029007 2.560000  166.782560 2.816000 
166.782560 2.560000  171.593458 2.816000 
171.593458 2.560000  176.429444 2.816000 
176.429444 2.560000  181.151933 2.816000 
181.151933 2.560000  185.960079 2.816000 
185.960079 2.560000  190.732336 2.816000 
190.732336 2.560000  195.530112 2.816000 
195.530112 2.560000  200.243006 2.816000 
200.243895 2.304000  205.007796 2.816000 
205.243895 2.304000  210.017527 2.816000 
210.243895 2.304000  215.000317 2.816000 
215.243895 2.304000  219.967100 2.816000 
220.243895 2.304000  224.926781 2.816000 
225.243895 2.304000  230.031270 2.816000 
230.243895 2.304000  234.948938 2.816000 
235.243895 2.304000  239.942324 2.816000 
240.243895 2.304000  244.994203 2.816000 
245.243895 2.304000  249.992430 2.816000 
250.243895 2.304000  255.063210 2.816000 
255.243895 2.304000  260.007639 2.816000 
260.243895 2.304000  264.981956 2.816000 
265.243895 2.304000  270.003366 2.816000 
270.243895 2.304000  274.995605 2.816000 
275.243895 2.304000  280.011478 2.816000 
280.243895 2.304000  285.077973 2.816000 
285.243895 2.304000  289.882667 2.816000 
290.243895 2.304000  294.964276 2.816000 
295.243895 2.304000  299.838670 2.816000 
300.243895 2.304000  304.843023 2.816000 
305.243895 2.304000  309.875585 2.816000 
310.243895 2.304000  314.793358 2.816000 
315.243895 2.304000  319.944758 2.816000 
320.243895 2.304000  324.829651 2.816000 
325.243895 2.304000  329.925595 2.816000 
330.243895 2.304000  334.902794 2.816000 
335.243895 2.304000  339.877208 2.816000 
340.243895 2.304000  344.972820 2.816000 
345.243895 2.304000  349.832940 2.816000 
350.243895 2.304000  354.981001 2.816000 
355.243895 2.304000  359.920423 2.816000 
360.243895 2.304000  364.882529 2.816000 
365.243895 2.304000  369.839142 2.816000 
370.243895 2.304000  374.946448 2.816000 
375.243895 2.304000  379.846962 2.816000 
380.243895 2.304000  384.799922 2.816000 
385.243895 2.304000  390.024566 2.816000 
390.243895 2.304000  394.874185 2.816000 
395.243895 2.304000  399.984106 2.816000 
400.243895 2.304000  405.021780 2.816000 
405.243895 2.304000  409.881258 2.816000 
410.243895 2.304000  414.794171 2.816000 
415.243895 2.304000  419.902978 2.816000 
420.243895 2.304000  424.942276 2.816000 
425.243895 2.304000  429.930786 2.816000 
430.243895 2.304000  435.015641 2.816000 
435.243895 2.304000  439.947506 2.816000 
440.243895 2.304000  444.937580 2.816000 
445.243895 2.304000  449.892059 2.816000 
450.243895 2.304000  455.017435 2.816000 
455.243895 2.304000  460.000248 2.816000 
460.243895 2.304000  464.941009 2.816000 
465.243895 2.304000  470.005177 2.816000 
470.243895 2.304000  475.022789 2.816000 
475.243895 2.304000  479.974081 2.816000 
480.243895 2.304000  484.891222 2.816000 
485.243895 2.304000  489.875503 2.816000 
490.243895 2.304000  494.970270 2.816000 
495.243895 2.304000  499.935838 2.816000 
500.243895 2.304000  505.024959 2.816000 
505.243895 2.304000  509.930153 2.816000 
510.243895 2.304000  514.923190 2.816000 
515.243895 2.304000  519.907389 2.816000 
520.243895 2.304000  524.955865 2.816000 
525.243895 2.304000  530.054464 2.816000 
530.243895 2.304000  534.993937 2.816000 
535.243895 2.304000  539.966567 2.816000 
540.243895 2.304000  545.105654 2.816000 
545.243895 2.304000  550.014332 2.816000 
550.243895 2.304000  554.914587 2.816000 
555.243895 2.304000  560.043407 2.816000 
560.243895 2.304000  565.116717 2.816000 
565.243895 2.304000  569.932482 2.816000 
570.243895 2.304000  574.934856 2.816000 
575.243895 2.304000  579.979296 2.816000 
580.243895 2.304000  585.057668 2.816000 
585.243895 2.304000  590.038109 2.816000 
590.243895 2.304000  594.984862 2.816000 
595.243895 2.304000  600.060823 2.816000 
600.243895 2.304000  605.027261 2.816000 
605.243895 2.304000  610.006565 2.816000 
610.243895 2.304000  614.924174 2.816000 
615.243895 2.304000  619.939136 2.816000 
620.243895 2.304000  625.014319 2.816000 
625.243895 2.304000  630.096346 2.816000 
630.243895 2.304000  634.905763 2.816000 
635.243895 2.304000  640.003461 2.816000 
640.243895 2.304000  644.982101 2.816000 
645.243895 2.304000  649.989880 2.816000 
650.243895 2.304000  655.037044 2.816000 
655.243895 2.304000  659.939648 2.816000 
660.243895 2.304000  664.956263 2.816000 
665.243895 2.304000  669.984937 2.816000 
670.243895 2.304000  675.044760 2.816000 
675.243895 2.304000  680.057160 2.816000 
680.243895 2.304000  684.915662 2.816000 
685.243895 2.304000  689.897717 2.816000 
690.243895 2.304000  695.042245 2.816000 
695.243895 2.304000  700.029043 2.816000 
700.243895 2.304000  704.910977 2.816000 
705.243895 2.304000  710.091334 2.816000 
710.243895 2.304000  714.890351 2.816000 
715.243895 2.304000  719.998641 2.816000 
720.243895 2.304000  725.037631 2.816000 
725.243895 2.304000  729.945634 2.816000 
730.243895 2.304000  734.929209 2.816000 
735.243895 2.304000  739.937372 2.816000 
740.243895 2.304000  744.972809 2.816000 
745.243895 2.304000  749.972661 2.816000 
750.243895 2.304000  754.923537 2.816000 
755.243895 2.304000  760.023135 2.816000 
760.243895 2.304000  764.936311 2.816000 
765.243895 2.304000  769.794450 2.816000 
770.243895 2.304000  774.839960 2.816000 
775.243895 2.304000  779.828425 2.816000 
780.243895 2.304000  784.804374 2.816000 
785.243895 2.304000  789.819252 2.816000 
790.243895 2.304000  794.781613 2.816000 
795.243895 2.304000  799.773733 2.816000 
800.243895 2.304000  804.786991 2.816000 
805.243895 2.304000  809.891370 2.816000 
810.243895 2.304000  814.824617 2.816000 
815.243895 2.304000  819.953746 2.816000 
820.243895 2.304000  824.919228 2.816000 
825.243895 2.304000  829.830463 2.816000 
830.243895 2.304000  834.816012 2.816000 
835.243895 2.304000  839.902054 2.816000 
840.243895 2.304000  844.873453 2.816000 
845.243895 2.304000  849.855134 2.816000 
850.243895 2.304000  854.772758 2.816000 
855.243895 2.304000  859.946026 2.816000 
860.243895 2.304000  864.919580 2.816000 
865.243895 2.304000  869.762797 2.816000 
870.243895 2.304000  874.890560 2.816000 
875.243895 2.304000  879.872179 2.816000 
880.243895 2.304000  884.837060 2.816000 
885.243895 2.304000  889.136617 2.816000 
890.243895 2.304000  893.826414 2.816000 
895.243895 2.304000  898.977462 2.816000 
900.243895 2.304000  903.808737 2.816000 
905.243895 2.304000  908.851035 2.816000 
910.243895 2.304000  913.904448 2.816000 
915.243895 2.304000  918.819612 2.816000 
920.243895 2.304000  922.831962 2.816000 
925.243895 2.304000  927.738133 2.816000 
930.243895 2.304000  932.271511 2.816000 
935.243895 2.304000  936.744699 2.816000 
940.243895 2.304000  941.484272 2.816000 
945.243895 2.304000  946.479589 2.816000 
950.243895 2.304000  951.472321 2.816000 
955.243895 2.304000  956.333954 2.816000 
960.243895 2.560000  961.329033 2.816000 
965.243895 2.560000  966.313030 2.816000 
970.243895 2.560000  971.302977 2.816000 
975.243895 2.560000  976.328948 2.816000 
980.243895 2.560000  981.051160 2.816000 
985.243895 2.560000  986.049584 2.816000 
990.243895 2.560000  991.049063 2.816000 
995.243895 2.560000  996.060569 2.816000 
1000.243895 2.560000  1001.052531 2.816000 
1005.243895 2.560000  1006.058071 2.816000 
