# WEMAClient mimuroto
156.012210 0.128000  156.226340 0.128000 
156.276340 2.816000  161.020011 2.816000 
161.020011 2.816000  164.519011 2.048000 
164.519011 2.816000  168.398958 2.304000 
168.398958 2.816000  173.173993 2.816000 
173.173993 2.816000  177.994828 2.816000 
177.994828 2.816000  182.777225 2.816000 
182.777225 2.816000  187.588098 2.816000 
187.588098 2.816000  192.323848 2.816000 
192.323848 2.816000  197.062798 2.816000 
197.062798 2.816000  201.969855 2.816000 
201.969855 2.816000  206.748682 2.816000 
206.748682 2.816000  211.525869 2.816000 
211.525869 2.816000  216.238546 2.816000 
216.238546 2.816000  220.938669 2.816000 
220.938669 2.816000  225.710808 2.816000 
225.710808 2.816000  230.504184 2.816000 
230.504184 2.816000  235.229943 2.816000 
235.229943 2.816000  239.937153 2.816000 
239.937153 2.816000  244.670958 2.816000 
244.670958 2.816000  249.403610 2.816000 
249.403610 2.816000  254.062286 2.816000 
254.062286 2.816000  258.868237 2.816000 
258.868237 2.816000  263.574940 2.816000 
263.574940 2.816000  268.224956 2.816000 
268.224956 2.816000  272.844536 2.816000 
272.844536 2.816000  277.530658 2.816000 
277.530658 2.816000  282.180486 2.816000 
282.180486 2.816000  286.877649 2.816000 
286.877649 2.816000  291.514259 2.816000 
291.514259 2.816000  296.173486 2.816000 
296.276340 2.816000  300.922037 2.816000 
301.276340 2.816000  305.879471 2.816000 
306.276340 2.816000  310.912573 2.816000 
311.276340 2.816000  315.911348 2.816000 
316.276340 2.816000  320.894327 2.816000 
321.276340 2.816000  325.948930 2.816000 
326.276340 2.816000  330.876185 2.816000 
331.276340 2.816000  336.012165 2.816000 
336.276340 2.816000  341.029433 2.816000 
341.276340 2.816000  345.960454 2.816000 
346.276340 2.816000  350.946489 2.816000 
351.276340 2.816000  356.011922 2.816000 
356.276340 2.816000  360.994048 2.816000 
361.276340 2.816000  365.996821 2.816000 
366.276340 2.816000  371.042457 2.816000 
371.276340 2.816000  375.984190 2.816000 
376.276340 2.816000  380.935521 2.816000 
381.276340 2.816000  385.939317 2.816000 
386.276340 2.816000  391.017182 2.816000 
391.276340 2.816000  396.032867 2.816000 
396.276340 2.816000  401.091348 2.816000 
401.276340 2.816000  406.010713 2.816000 
406.276340 2.816000  410.929919 2.816000 
411.276340 2.816000  416.002533 2.816000 
416.276340 2.816000  420.949137 2.816000 
421.276340 2.816000  425.964133 2.816000 
426.276340 2.816000  431.001530 2.816000 
431.276340 2.816000  435.978304 2.816000 
436.276340 2.816000  441.008761 2.816000 
441.276340 2.816000  445.941989 2.816000 
446.276340 2.816000  450.920362 2.816000 
451.276340 2.816000  455.952816 2.816000 
456.276340 2.816000  461.019560 2.816000 
461.276340 2.816000  465.987119 2.816000 
466.276340 2.816000  471.087255 2.816000 
471.276340 2.816000  475.972211 2.816000 
476.276340 2.816000  480.944838 2.816000 
481.276340 2.816000  485.847469 2.816000 
486.276340 3.072000  491.349763 3.072000 
491.349763 2.816000  496.455889 3.072000 
496.455889 2.816000  501.601418 3.072000 
501.601418 2.816000  506.675096 3.072000 
506.675096 2.816000  511.824029 3.072000 
511.824029 2.816000  516.989598 3.072000 
516.989598 2.816000  522.093102 3.072000 
522.093102 2.816000  527.257723 3.072000 
527.257723 2.816000  532.350264 3.072000 
532.350264 2.816000  537.495188 3.072000 
537.495188 2.816000  542.684050 3.072000 
542.684050 2.816000  547.915183 3.072000 
547.915183 2.816000  553.040037 3.072000 
553.040037 2.816000  558.157387 3.072000 
558.157387 2.816000  563.345047 3.072000 
563.345047 2.816000  568.467932 3.072000 
568.467932 2.816000  573.665627 3.072000 
573.665627 2.816000  578.911730 3.072000 
578.911730 2.816000  584.058650 3.072000 
584.058650 2.816000  589.281368 3.072000 
589.281368 2.816000  594.449433 3.072000 
594.449433 2.816000  599.529391 3.072000 
599.529391 2.816000  604.682744 3.072000 
604.682744 2.816000  609.765787 3.072000 
609.765787 2.816000  614.919838 3.072000 
614.919838 2.816000  620.026155 3.072000 
620.026155 2.816000  625.147007 3.072000 
625.147007 2.816000  630.363012 3.072000 
630.363012 2.816000  635.411201 3.072000 
635.411201 2.816000  640.457098 3.072000 
640.457098 2.816000  645.450254 3.072000 
645.450254 3.072000  650.610389 3.072000 
650.610389 2.816000  655.745474 3.072000 
655.745474 2.816000  660.767548 3.072000 
660.767548 2.816000  666.026016 3.072000 
666.026016 2.816000  671.112952 3.072000 
671.112952 2.816000  676.275613 3.072000 
676.275613 2.816000  681.481709 3.072000 
681.481709 2.816000  686.567304 3.072000 
686.567304 2.816000  691.676016 3.072000 
691.676016 2.816000  696.823588 3.072000 
696.823588 2.816000  701.895753 3.072000 
701.895753 2.816000  706.885505 3.072000 
706.885505 3.072000  712.009805 3.072000 
712.009805 2.816000  717.070593 3.072000 
717.070593 2.816000  722.125391 3.072000 
722.125391 2.816000  727.249764 3.072000 
727.249764 2.816000  732.351043 3.072000 
732.351043 2.816000  737.358354 3.072000 
737.358354 2.816000  742.407683 3.072000 
742.407683 2.816000  747.564909 3.072000 
747.564909 2.816000  752.671142 3.072000 
752.671142 2.816000  757.801320 3.072000 
757.801320 2.816000  762.718224 3.072000 
762.718224 3.072000  767.712885 3.072000 
767.712885 3.072000  772.686974 3.072000 
772.686974 3.072000  777.818953 3.072000 
777.818953 2.816000  782.657063 3.072000 
782.657063 3.072000  787.579821 3.072000 
787.579821 3.072000  792.529395 3.072000 
792.529395 3.072000  797.562243 3.072000 
797.562243 2.816000  802.520054 3.072000 
802.520054 3.072000  807.421814 3.072000 
807.421814 3.072000  812.297049 3.072000 
812.297049 3.072000  817.240762 3.072000 
817.240762 3.072000  822.157837 3.072000 
822.157837 3.072000  827.164979 3.072000 
827.164979 2.816000  832.093753 3.072000 
832.093753 3.072000  836.973871 3.072000 
836.973871 3.072000  842.026386 3.072000 
842.026386 2.816000  846.976824 3.072000 
846.976824 3.072000  851.868942 3.072000 
851.868942 3.072000  856.895156 3.072000 
856.895156 2.816000  861.827486 3.072000 
861.827486 3.072000  866.825735 3.072000 
866.825735 3.072000  871.726490 3.072000 
871.726490 3.072000  876.657484 3.072000 
876.657484 3.072000  881.672624 3.072000 
881.672624 2.816000  886.553987 3.072000 
886.553987 3.072000  890.428294 3.072000 
890.428294 3.840000  895.221353 3.840000 
895.221353 3.840000  900.052937 3.840000 
900.052937 3.840000  904.874426 3.840000 
904.874426 3.840000  909.618380 3.840000 
909.618380 3.840000  914.419494 3.840000 
914.419494 3.840000  919.054564 3.840000 
919.054564 4.096000  922.693825 4.096000 
