# AndroidClient mimuroto
1.005263 0.128000  1.089551 0.128000 
1.139551 5.120000  2.603494 5.120000 
2.603494 5.120000  4.076193 5.120000 
4.076193 5.120000  5.553812 5.120000 
6.139551 5.120000  7.622474 5.120000 
11.139551 5.120000  12.621851 5.120000 
16.139551 5.120000  17.620338 5.120000 
21.139551 5.120000  22.611715 5.120000 
26.139551 5.120000  27.611842 5.120000 
31.139551 5.120000  33.158189 5.120000 
36.139551 5.120000  38.999037 5.120000 
41.139551 5.120000  43.073116 5.120000 
46.139551 5.120000  48.091231 5.120000 
51.139551 5.120000  53.040774 5.120000 
56.139551 5.120000  58.112508 5.120000 
61.139551 5.120000  63.076219 5.120000 
66.139551 5.120000  69.930984 5.120000 
71.139551 5.120000  73.617569 5.120000 
76.139551 5.120000  78.100684 5.120000 
81.139551 5.120000  83.098671 5.120000 
86.139551 5.120000  88.062914 5.120000 
91.139551 5.120000  93.112522 5.120000 
96.139551 5.120000  100.939472 5.120000 
101.139551 5.120000  106.986068 5.120000 
106.986068 5.120000  112.736627 5.120000 
112.736627 5.120000  118.501792 5.120000 
118.501792 5.120000  124.357654 5.120000 
124.357654 5.120000  131.382357 5.120000 
131.382357 5.120000  138.583768 5.120000 
138.583768 5.120000  145.927758 5.120000 
145.927758 5.120000  153.072331 5.120000 
153.122331 5.120000  161.034785 5.120000 
161.084785 5.120000  169.648278 5.120000 
169.698278 5.120000  178.233531 5.120000 
178.283531 5.120000  186.424738 5.120000 
186.474738 5.120000  194.801334 5.120000 
194.851334 5.120000  203.189361 5.120000 
203.239361 5.120000  211.646306 5.120000 
211.696306 5.120000  219.920675 5.120000 
219.970675 5.120000  228.110478 5.120000 
228.160478 5.120000  236.245128 5.120000 
236.295128 5.120000  244.542688 5.120000 
244.592688 5.120000  252.744543 5.120000 
252.794543 5.120000  260.950920 5.120000 
261.000920 5.120000  269.386923 5.120000 
269.436923 5.120000  277.665248 5.120000 
277.715248 5.120000  285.917796 5.120000 
285.967796 5.120000  294.332093 5.120000 
294.382093 4.864000  302.088925 4.864000 
302.138925 4.864000  309.949701 4.864000 
309.999701 4.864000  318.051286 4.864000 
318.101286 4.864000  325.750827 4.864000 
325.800827 4.608000  333.259920 4.608000 
333.309920 4.608000  340.608589 4.608000 
340.658589 4.608000  348.135118 4.608000 
348.185118 4.608000  355.426358 4.608000 
355.476358 4.608000  363.077593 4.608000 
363.127593 4.608000  370.363399 4.608000 
370.413399 4.352000  377.396977 4.352000 
377.446977 4.352000  384.378770 4.352000 
384.428770 4.352000  391.419810 4.352000 
391.469810 4.352000  398.524345 4.352000 
398.574345 4.352000  405.401027 4.352000 
405.451027 4.352000  412.478762 4.352000 
412.528762 4.352000  419.490409 4.352000 
419.540409 4.352000  426.470626 4.352000 
426.520626 4.352000  433.499653 4.352000 
433.549653 4.096000  440.106743 4.096000 
440.156743 4.096000  446.712737 4.096000 
446.762737 4.096000  453.444914 4.096000 
453.494914 4.096000  459.944467 4.096000 
459.994467 4.096000  466.546542 4.096000 
466.596542 4.096000  473.174935 4.096000 
473.224935 4.096000  479.721101 4.096000 
479.771101 4.096000  486.332225 4.096000 
486.382225 4.096000  493.098777 4.096000 
493.148777 4.096000  499.720249 4.096000 
499.770249 4.096000  506.313932 4.096000 
506.363932 4.096000  512.825405 4.096000 
512.875405 4.096000  519.403394 4.096000 
519.453394 4.096000  525.999949 4.096000 
526.049949 4.096000  532.627249 4.096000 
532.677249 3.840000  538.911645 3.840000 
538.961645 3.840000  544.974601 3.840000 
