# SAndroidClient mimuroto
125.010669 0.128000  125.190864 0.128000 
125.240864 2.816000  129.060307 2.816000 
129.060307 2.816000  133.048964 2.816000 
133.048964 2.816000  136.991710 2.816000 
136.991710 2.816000  140.931011 2.816000 
140.931011 2.816000  144.798792 2.816000 
144.798792 2.816000  148.763612 2.816000 
148.763612 2.816000  152.739224 2.816000 
152.739224 2.816000  156.840644 2.816000 
156.840644 2.816000  161.509519 2.816000 
161.509519 2.560000  165.784458 2.560000 
165.784458 2.560000  170.116704 2.560000 
170.240864 2.560000  174.614700 2.560000 
175.240864 2.560000  179.520067 2.560000 
180.240864 2.560000  184.421570 2.560000 
185.240864 2.560000  189.603426 2.560000 
190.240864 2.560000  194.540999 2.560000 
195.240864 2.560000  199.583683 2.560000 
200.240864 2.560000  204.463014 2.560000 
205.240864 2.560000  209.531162 2.560000 
210.240864 2.560000  214.444097 2.560000 
215.240864 2.560000  219.482783 2.560000 
220.240864 2.304000  224.161111 2.304000 
225.240864 2.304000  229.046089 2.304000 
230.240864 2.304000  234.185460 2.304000 
235.240864 2.304000  239.180528 2.304000 
240.240864 2.304000  244.017606 2.304000 
245.240864 2.304000  249.007933 2.304000 
250.240864 2.304000  254.038898 2.304000 
255.240864 2.304000  259.079154 2.304000 
260.240864 2.304000  264.120467 2.304000 
265.240864 2.304000  269.144321 2.304000 
270.240864 2.304000  274.100979 2.304000 
275.240864 2.304000  279.183954 2.304000 
280.240864 2.304000  284.121007 2.304000 
285.240864 2.304000  289.084535 2.304000 
290.240864 2.304000  294.168107 2.304000 
295.240864 2.304000  299.102584 2.304000 
300.240864 2.304000  304.147788 2.304000 
305.240864 2.304000  309.264812 2.304000 
310.240864 2.304000  314.252427 2.304000 
315.240864 2.304000  319.179657 2.304000 
320.240864 2.304000  324.188528 2.304000 
325.240864 2.304000  329.091993 2.304000 
330.240864 2.304000  334.119271 2.304000 
335.240864 2.304000  339.191553 2.304000 
340.240864 2.304000  344.110836 2.304000 
345.240864 2.304000  349.065353 2.304000 
350.240864 2.304000  354.064709 2.304000 
355.240864 2.304000  359.043479 2.304000 
360.240864 2.304000  364.192609 2.304000 
365.240864 2.304000  368.969619 2.304000 
370.240864 2.304000  374.043246 2.304000 
375.240864 2.304000  379.139932 2.304000 
380.240864 2.304000  384.087285 2.304000 
385.240864 2.304000  389.119825 2.304000 
390.240864 2.304000  394.140022 2.304000 
395.240864 2.304000  399.183154 2.304000 
400.240864 2.304000  404.101979 2.304000 
405.240864 2.304000  409.095596 2.304000 
410.240864 2.304000  414.063780 2.304000 
415.240864 2.304000  419.195854 2.304000 
420.240864 2.304000  424.029868 2.304000 
425.240864 2.304000  429.025356 2.304000 
430.240864 2.304000  434.120356 2.304000 
435.240864 2.304000  439.133671 2.304000 
440.240864 2.304000  444.087815 2.304000 
445.240864 2.304000  449.127184 2.304000 
450.240864 2.304000  454.071365 2.304000 
455.240864 2.304000  459.102484 2.304000 
460.240864 2.304000  464.096678 2.304000 
465.240864 2.304000  469.098267 2.304000 
470.240864 2.304000  474.124631 2.304000 
475.240864 2.304000  479.235874 2.304000 
480.240864 2.304000  484.094755 2.304000 
485.240864 2.304000  489.070791 2.304000 
490.240864 2.304000  494.043211 2.304000 
495.240864 2.304000  499.172569 2.304000 
500.240864 2.304000  504.087815 2.304000 
505.240864 2.304000  509.094196 2.304000 
510.240864 2.304000  513.944414 2.304000 
515.240864 2.304000  519.048083 2.304000 
520.240864 2.304000  524.169240 2.304000 
525.240864 2.304000  529.087662 2.304000 
530.240864 2.304000  534.116679 2.304000 
535.240864 2.304000  539.171998 2.304000 
540.240864 2.304000  544.129744 2.304000 
545.240864 2.304000  549.119811 2.304000 
550.240864 2.304000  554.086909 2.304000 
555.240864 2.304000  559.150380 2.304000 
560.240864 2.304000  564.059541 2.304000 
565.240864 2.304000  569.161111 2.304000 
570.240864 2.304000  574.144275 2.304000 
575.240864 2.304000  578.936954 2.304000 
580.240864 2.304000  584.052334 2.304000 
