# WEMAClient mimuroto
156.010165 0.128000  156.218817 0.128000 
156.268817 2.816000  161.070452 2.816000 
161.070452 2.816000  165.722694 2.816000 
165.722694 2.816000  170.452619 2.816000 
170.452619 2.816000  175.037363 2.816000 
175.037363 2.816000  179.755880 2.816000 
179.755880 2.816000  184.282436 2.816000 
184.282436 3.072000  189.286366 3.072000 
189.286366 2.816000  193.716697 2.816000 
193.716697 3.072000  198.621484 3.072000 
198.621484 3.072000  203.672952 3.072000 
203.672952 2.816000  208.288712 2.816000 
208.288712 2.816000  212.808335 2.816000 
212.808335 3.072000  217.814320 3.072000 
217.814320 2.816000  222.341487 2.816000 
222.341487 3.072000  227.281370 3.072000 
227.281370 3.072000  232.245399 3.072000 
232.245399 3.072000  237.210704 3.072000 
237.210704 3.072000  242.063442 3.072000 
242.063442 3.072000  246.911986 3.072000 
246.911986 3.072000  251.721297 3.072000 
251.721297 3.072000  256.616047 3.072000 
256.616047 3.072000  261.517133 3.072000 
261.517133 3.072000  266.455969 3.072000 
266.455969 3.072000  271.450648 3.072000 
271.450648 3.072000  276.501749 3.072000 
276.501749 2.816000  281.041372 2.816000 
281.041372 3.072000  286.010322 3.072000 
286.010322 3.072000  290.960706 3.072000 
290.960706 3.072000  295.859139 3.072000 
295.859139 3.072000  300.818451 3.072000 
300.818451 3.072000  305.766840 3.072000 
305.766840 3.072000  310.682185 3.072000 
310.682185 3.072000  315.622092 3.072000 
315.622092 3.072000  320.556495 3.072000 
320.556495 3.072000  325.518081 3.072000 
325.518081 3.072000  330.488551 3.072000 
330.488551 3.072000  335.564515 3.072000 
335.564515 2.816000  340.069684 2.816000 
340.069684 3.072000  344.973490 3.072000 
344.973490 3.072000  349.943898 3.072000 
349.943898 3.072000  354.856943 3.072000 
354.856943 3.072000  359.858386 3.072000 
359.858386 2.816000  364.460841 2.816000 
364.460841 2.816000  369.043870 2.816000 
369.043870 3.072000  373.951451 3.072000 
373.951451 3.072000  378.941613 3.072000 
378.941613 3.072000  383.851198 3.072000 
383.851198 3.072000  388.754508 3.072000 
388.754508 3.072000  393.733424 3.072000 
393.733424 3.072000  398.695966 3.072000 
398.695966 3.072000  403.678569 3.072000 
403.678569 3.072000  408.534171 3.072000 
408.534171 3.072000  413.525661 3.072000 
413.525661 3.072000  418.369293 3.072000 
418.369293 3.072000  423.131105 3.072000 
423.131105 3.072000  427.975460 3.072000 
427.975460 3.072000  432.891720 3.072000 
432.891720 3.072000  437.885853 3.072000 
437.885853 3.072000  442.958398 3.072000 
442.958398 2.816000  447.435507 2.816000 
447.435507 3.072000  452.337852 3.072000 
452.337852 3.072000  457.219967 3.072000 
457.219967 3.072000  462.141141 3.072000 
462.141141 3.072000  467.044745 3.072000 
467.044745 3.072000  472.023170 3.072000 
472.023170 3.072000  477.022264 3.072000 
477.022264 3.072000  482.024021 3.072000 
482.024021 2.816000  486.420331 2.816000 
486.420331 3.072000  491.299714 3.072000 
491.299714 3.072000  496.278347 3.072000 
496.278347 3.072000  501.212532 3.072000 
501.268817 3.072000  506.280935 3.072000 
506.280935 2.816000  510.731964 2.816000 
511.268817 3.072000  516.146440 3.072000 
516.268817 3.072000  521.217686 3.072000 
521.268817 3.072000  526.241420 3.072000 
526.268817 3.072000  531.116343 3.072000 
531.268817 3.072000  536.221533 3.072000 
536.268817 3.072000  541.112476 3.072000 
541.268817 3.072000  546.263136 3.072000 
546.268817 3.072000  551.123371 3.072000 
551.268817 3.072000  556.254044 3.072000 
556.268817 3.072000  561.175587 3.072000 
561.268817 3.072000  566.215540 3.072000 
566.268817 3.072000  571.297724 3.072000 
571.297724 2.816000  575.764277 2.816000 
576.268817 3.072000  581.152353 3.072000 
