# SAndroidClient mimuroto
125.019649 0.128000  125.208594 0.128000 
125.258594 2.560000  128.857323 2.560000 
128.857323 2.816000  132.808680 2.816000 
132.808680 2.816000  136.775564 2.816000 
136.775564 2.816000  140.731870 2.816000 
140.731870 2.816000  144.713230 2.816000 
144.713230 2.816000  148.692829 2.816000 
148.692829 2.816000  152.577506 2.816000 
152.577506 2.816000  156.620349 2.816000 
156.620349 2.816000  161.313022 2.816000 
161.313022 2.560000  165.610998 2.560000 
165.610998 2.560000  169.914546 2.560000 
170.258594 2.560000  174.590429 2.560000 
175.258594 2.560000  179.496328 2.560000 
180.258594 2.560000  184.501661 2.560000 
185.258594 2.560000  189.478766 2.560000 
190.258594 2.560000  194.504031 2.560000 
195.258594 2.560000  199.489452 2.560000 
200.258594 2.560000  204.574492 2.560000 
205.258594 2.560000  209.513018 2.560000 
210.258594 2.560000  214.470251 2.560000 
215.258594 2.560000  219.489955 2.560000 
220.258594 2.560000  224.502665 2.560000 
225.258594 2.304000  229.119972 2.304000 
230.258594 2.304000  234.028698 2.304000 
235.258594 2.304000  239.122500 2.304000 
240.258594 2.304000  244.145431 2.304000 
245.258594 2.304000  249.113053 2.304000 
250.258594 2.304000  254.139759 2.304000 
255.258594 2.304000  259.158512 2.304000 
260.258594 2.304000  264.127532 2.304000 
265.258594 2.304000  269.117501 2.304000 
270.258594 2.304000  274.137274 2.304000 
275.258594 2.304000  279.151086 2.304000 
280.258594 2.304000  284.161223 2.304000 
285.258594 2.304000  289.118316 2.304000 
290.258594 2.304000  294.122223 2.304000 
295.258594 2.304000  299.134843 2.304000 
300.258594 2.304000  304.119803 2.304000 
305.258594 2.304000  309.143239 2.304000 
310.258594 2.304000  314.138022 2.304000 
315.258594 2.304000  319.138781 2.304000 
320.258594 2.304000  324.170992 2.304000 
325.258594 2.304000  329.123603 2.304000 
330.258594 2.304000  334.146464 2.304000 
335.258594 2.304000  339.159482 2.304000 
340.258594 2.304000  344.110005 2.304000 
345.258594 2.304000  349.120090 2.304000 
350.258594 2.304000  354.158634 2.304000 
355.258594 2.304000  359.139877 2.304000 
360.258594 2.304000  364.144840 2.304000 
365.258594 2.304000  369.153765 2.304000 
370.258594 2.304000  374.112519 2.304000 
375.258594 2.304000  379.124432 2.304000 
380.258594 2.304000  384.111047 2.304000 
385.258594 2.304000  389.127340 2.304000 
390.258594 2.304000  394.099394 2.304000 
395.258594 2.304000  399.137593 2.304000 
400.258594 2.304000  404.158586 2.304000 
405.258594 2.304000  409.118169 2.304000 
410.258594 2.304000  414.118659 2.304000 
415.258594 2.304000  419.133385 2.304000 
420.258594 2.304000  424.147805 2.304000 
425.258594 2.304000  429.124335 2.304000 
430.258594 2.304000  434.127313 2.304000 
435.258594 2.304000  439.152848 2.304000 
440.258594 2.304000  444.135070 2.304000 
445.258594 2.304000  449.153492 2.304000 
450.258594 2.304000  454.107876 2.304000 
455.258594 2.304000  459.136928 2.304000 
460.258594 2.304000  464.137013 2.304000 
465.258594 2.304000  469.132026 2.304000 
470.258594 2.304000  474.126526 2.304000 
475.258594 2.304000  479.116228 2.304000 
480.258594 2.304000  484.123910 2.304000 
485.258594 2.304000  489.103584 2.304000 
490.258594 2.304000  494.135126 2.304000 
495.258594 2.304000  499.150869 2.304000 
500.258594 2.304000  504.144610 2.304000 
505.258594 2.304000  509.128642 2.304000 
510.258594 2.304000  514.119543 2.304000 
515.258594 2.304000  519.131339 2.304000 
520.258594 2.304000  524.142742 2.304000 
525.258594 2.304000  529.129890 2.304000 
530.258594 2.304000  534.153030 2.304000 
535.258594 2.304000  539.117430 2.304000 
540.258594 2.304000  544.126972 2.304000 
545.258594 2.304000  549.122672 2.304000 
550.258594 2.304000  554.124077 2.304000 
555.258594 2.304000  559.138552 2.304000 
560.258594 2.304000  564.148726 2.304000 
565.258594 2.304000  569.148542 2.304000 
570.258594 2.304000  574.149291 2.304000 
575.258594 2.304000  579.138621 2.304000 
580.258594 2.304000  584.119426 2.304000 
585.258594 2.304000  589.136315 2.304000 
590.258594 2.304000  594.149373 2.304000 
595.258594 2.304000  599.130411 2.304000 
600.258594 2.304000  604.133790 2.304000 
605.258594 2.304000  609.129432 2.304000 
610.258594 2.304000  614.108129 2.304000 
615.258594 2.304000  619.129208 2.304000 
620.258594 2.304000  624.145459 2.304000 
625.258594 2.304000  629.154381 2.304000 
630.258594 2.304000  634.107124 2.304000 
635.258594 2.304000  639.168362 2.304000 
640.258594 2.304000  644.157286 2.304000 
645.258594 2.304000  649.141074 2.304000 
650.258594 2.304000  654.150698 2.304000 
655.258594 2.304000  659.135094 2.304000 
660.258594 2.304000  664.162652 2.304000 
665.258594 2.304000  669.144784 2.304000 
670.258594 2.304000  674.119463 2.304000 
675.258594 2.304000  679.147120 2.304000 
680.258594 2.304000  684.143800 2.304000 
685.258594 2.304000  689.123436 2.304000 
690.258594 2.304000  694.130188 2.304000 
695.258594 2.304000  699.147888 2.304000 
700.258594 2.304000  704.158376 2.304000 
705.258594 2.304000  709.153389 2.304000 
710.258594 2.304000  714.153913 2.304000 
715.258594 2.304000  719.152854 2.304000 
720.258594 2.304000  724.154085 2.304000 
725.258594 2.304000  729.166850 2.304000 
730.258594 2.304000  734.134740 2.304000 
735.258594 2.304000  739.143250 2.304000 
740.258594 2.304000  744.136077 2.304000 
745.258594 2.304000  749.165528 2.304000 
750.258594 2.304000  754.152110 2.304000 
755.258594 2.304000  759.157992 2.304000 
760.258594 2.304000  764.148099 2.304000 
765.258594 2.304000  769.139234 2.304000 
770.258594 2.304000  774.126004 2.304000 
775.258594 2.304000  779.162559 2.304000 
780.258594 2.304000  784.162210 2.304000 
785.258594 2.304000  789.145765 2.304000 
790.258594 2.304000  794.143665 2.304000 
795.258594 2.304000  799.169812 2.304000 
