# WEMAClient mimuroto
32.011344 0.128000  32.090725 0.128000 
32.140725 5.120000  34.093517 5.120000 
34.093517 5.120000  35.564051 5.120000 
35.564051 5.120000  37.926679 5.120000 
37.926679 5.120000  39.913922 5.120000 
42.140725 5.120000  44.073109 5.120000 
47.140725 5.120000  49.078753 5.120000 
52.140725 5.120000  54.055097 5.120000 
57.140725 5.120000  59.073375 5.120000 
62.140725 5.120000  64.997329 5.120000 
67.140725 5.120000  70.962304 5.120000 
72.140725 5.120000  75.985660 5.120000 
77.140725 5.120000  81.010094 5.120000 
82.140725 5.120000  85.300100 5.120000 
87.140725 5.120000  89.951652 5.120000 
92.140725 5.120000  95.470313 5.120000 
97.140725 5.120000  102.482445 5.120000 
102.482445 4.608000  108.207644 5.120000 
108.207644 4.352000  113.929599 5.120000 
113.929599 4.352000  119.715276 5.120000 
119.715276 4.352000  125.660596 5.120000 
125.660596 4.096000  132.785084 5.120000 
132.785084 3.584000  139.727806 5.120000 
139.727806 3.584000  143.852947 3.072000 
143.852947 3.584000  148.696880 3.584000 
148.696880 3.584000  153.674327 3.584000 
153.674327 3.584000  159.229642 3.584000 
159.229642 3.072000  163.904920 2.816000 
163.904920 2.816000  168.482328 2.816000 
168.482328 3.072000  173.048224 2.816000 
173.048224 3.072000  177.950516 3.072000 
177.950516 3.072000  182.782346 3.072000 
182.782346 3.072000  187.621678 3.072000 
187.621678 3.072000  192.501932 3.072000 
192.501932 3.072000  197.518859 3.072000 
197.518859 2.816000  202.523178 3.072000 
202.523178 2.816000  207.542000 3.072000 
207.542000 2.816000  212.563245 3.072000 
212.563245 2.816000  217.470342 3.072000 
217.470342 3.072000  222.324706 3.072000 
222.324706 3.072000  227.314377 3.072000 
227.314377 3.072000  232.367655 3.072000 
232.367655 2.816000  237.372939 3.072000 
237.372939 2.816000  242.418229 3.072000 
242.418229 2.816000  247.473560 3.072000 
247.473560 2.816000  252.340235 3.072000 
252.340235 3.072000  257.299617 3.072000 
257.299617 3.072000  262.292471 3.072000 
262.292471 3.072000  267.265193 3.072000 
267.265193 3.072000  272.199601 3.072000 
272.199601 3.072000  277.047292 3.072000 
277.047292 3.072000  282.016751 3.072000 
282.016751 3.072000  287.030432 3.072000 
287.030432 2.816000  291.987282 3.072000 
291.987282 3.072000  296.999458 3.072000 
296.999458 2.816000  301.967861 3.072000 
301.967861 3.072000  306.951288 3.072000 
306.951288 3.072000  311.831041 3.072000 
311.831041 3.072000  316.727872 3.072000 
316.727872 3.072000  321.782292 3.072000 
321.782292 2.816000  326.898532 3.072000 
326.898532 2.816000  332.014775 3.072000 
332.014775 2.816000  337.144270 3.072000 
337.144270 2.816000  342.124567 3.072000 
342.124567 3.072000  347.187253 3.072000 
347.187253 2.816000  352.306479 3.072000 
352.306479 2.816000  357.352424 3.072000 
357.352424 2.816000  362.447728 3.072000 
362.447728 2.816000  367.511520 3.072000 
367.511520 2.816000  372.664421 3.072000 
372.664421 2.816000  377.718692 3.072000 
377.718692 2.816000  382.678380 3.072000 
382.678380 3.072000  387.779461 3.072000 
387.779461 2.816000  392.814736 3.072000 
392.814736 2.816000  397.985358 3.072000 
397.985358 2.816000  403.073397 3.072000 
403.073397 2.816000  408.185778 3.072000 
408.185778 2.816000  413.219666 3.072000 
413.219666 2.816000  418.314655 3.072000 
418.314655 2.816000  423.450980 3.072000 
423.450980 2.816000  428.469845 3.072000 
428.469845 2.816000  433.715979 3.072000 
433.715979 2.816000  438.751436 3.072000 
438.751436 2.816000  443.745294 3.072000 
443.745294 3.072000  448.846324 3.072000 
448.846324 2.816000  453.536773 2.816000 
453.536773 2.816000  458.238946 2.816000 
458.238946 2.816000  462.934777 2.816000 
462.934777 2.816000  467.611817 2.816000 
467.611817 2.816000  472.347525 2.816000 
472.347525 2.816000  476.940665 2.816000 
476.940665 2.816000  481.644224 2.816000 
481.644224 2.816000  486.316034 2.816000 
486.316034 2.816000  490.931895 2.816000 
490.931895 2.816000  495.701770 2.816000 
495.701770 2.816000  500.409068 2.816000 
500.409068 2.816000  505.035000 2.816000 
505.035000 2.816000  509.732852 2.816000 
509.732852 2.816000  514.458908 2.816000 
514.458908 2.816000  519.088026 2.816000 
519.088026 2.816000  523.749285 2.816000 
523.749285 2.816000  528.424891 2.816000 
528.424891 2.816000  533.096854 2.816000 
533.096854 2.816000  537.728276 2.816000 
537.728276 2.816000  542.338242 2.816000 
542.338242 2.816000  547.017916 2.816000 
547.140725 2.816000  551.793270 2.816000 
552.140725 2.816000  556.783881 2.816000 
557.140725 2.816000  561.769480 2.816000 
562.140725 2.816000  566.684048 2.816000 
567.140725 3.072000  572.192729 3.072000 
572.192729 2.816000  577.282862 3.072000 
577.282862 2.816000  582.459240 3.072000 
582.459240 2.816000  587.617038 3.072000 
587.617038 2.816000  592.646778 3.072000 
592.646778 2.816000  597.711229 3.072000 
597.711229 2.816000  602.833258 3.072000 
602.833258 2.816000  607.957258 3.072000 
607.957258 2.816000  613.025899 3.072000 
613.025899 2.816000  618.208461 3.072000 
618.208461 2.816000  623.318600 3.072000 
623.318600 2.816000  628.355552 3.072000 
628.355552 2.816000  633.437037 3.072000 
633.437037 2.816000  638.365628 3.072000 
638.365628 3.072000  643.295672 3.072000 
643.295672 3.072000  648.415499 3.072000 
648.415499 2.816000  653.434975 3.072000 
653.434975 2.816000  658.359183 3.072000 
658.359183 3.072000  663.346627 3.072000 
663.346627 3.072000  668.254380 3.072000 
668.254380 3.072000  673.284324 3.072000 
673.284324 2.816000  678.320647 3.072000 
678.320647 2.816000  683.318509 3.072000 
683.318509 3.072000  688.283106 3.072000 
688.283106 3.072000  693.233005 3.072000 
693.233005 3.072000  698.181803 3.072000 
698.181803 3.072000  703.159186 3.072000 
703.159186 3.072000  708.130780 3.072000 
708.130780 3.072000  713.163934 3.072000 
713.163934 2.816000  718.101857 3.072000 
718.101857 3.072000  723.046429 3.072000 
723.046429 3.072000  728.039074 3.072000 
728.039074 3.072000  733.031463 3.072000 
733.031463 3.072000  737.983111 3.072000 
737.983111 3.072000  743.027463 3.072000 
743.027463 2.816000  748.051143 3.072000 
748.051143 2.816000  753.082058 3.072000 
753.082058 2.816000  758.142171 3.072000 
758.142171 2.816000  763.167467 3.072000 
763.167467 2.816000  768.185561 3.072000 
768.185561 2.816000  773.145074 3.072000 
773.145074 3.072000  778.120007 3.072000 
778.120007 3.072000  783.087979 3.072000 
783.087979 3.072000  788.082686 3.072000 
788.082686 3.072000  793.046536 3.072000 
793.046536 3.072000  798.061975 3.072000 
798.061975 2.816000  803.077480 3.072000 
803.077480 2.816000  807.960032 3.072000 
807.960032 3.072000  812.956826 3.072000 
812.956826 3.072000  817.970596 3.072000 
817.970596 2.816000  823.015253 3.072000 
