# WEMAClient mimuroto
32.011344 0.128000  32.090725 0.128000 
32.140725 5.120000  34.093517 5.120000 
34.093517 5.120000  35.564051 5.120000 
35.564051 5.120000  37.926679 5.120000 
37.926679 5.120000  39.913922 5.120000 
42.140725 5.120000  44.073109 5.120000 
47.140725 5.120000  49.078753 5.120000 
52.140725 5.120000  54.055097 5.120000 
57.140725 5.120000  59.073375 5.120000 
62.140725 5.120000  64.997329 5.120000 
67.140725 5.120000  70.962304 5.120000 
72.140725 5.120000  75.985660 5.120000 
77.140725 5.120000  81.010094 5.120000 
82.140725 5.120000  85.300100 5.120000 
87.140725 5.120000  89.951652 5.120000 
92.140725 5.120000  95.470313 5.120000 
97.140725 5.120000  102.488951 5.120000 
102.488951 4.608000  107.675362 4.608000 
107.675362 4.352000  112.553913 4.352000 
112.553913 4.352000  117.426257 4.352000 
117.426257 4.352000  122.348157 4.352000 
122.348157 4.352000  127.825966 4.352000 
127.825966 3.840000  133.176026 3.840000 
133.176026 3.584000  138.273216 3.584000 
138.273216 3.328000  142.874908 3.328000 
142.874908 3.584000  147.894493 3.584000 
147.894493 3.328000  152.522066 3.328000 
152.522066 3.584000  157.828845 3.584000 
157.828845 3.328000  163.422703 3.328000 
163.422703 2.816000  168.132430 2.816000 
168.132430 2.816000  172.830430 2.816000 
172.830430 2.816000  177.556931 2.816000 
177.556931 2.816000  182.243904 2.816000 
182.243904 2.816000  186.905488 2.816000 
187.140725 2.816000  191.886084 2.816000 
192.140725 2.816000  196.797515 2.816000 
197.140725 2.816000  201.754922 2.816000 
202.140725 2.816000  206.728853 2.816000 
207.140725 2.816000  211.865632 2.816000 
212.140725 2.816000  216.901928 2.816000 
217.140725 2.816000  221.881716 2.816000 
222.140725 2.816000  226.961911 2.816000 
227.140725 2.816000  231.829386 2.816000 
232.140725 2.816000  236.828272 2.816000 
237.140725 2.816000  241.878548 2.816000 
242.140725 2.816000  246.993981 2.816000 
247.140725 2.816000  251.839939 2.816000 
252.140725 2.816000  256.788495 2.816000 
257.140725 2.816000  261.893569 2.816000 
262.140725 2.816000  266.878466 2.816000 
267.140725 2.816000  271.800212 2.816000 
272.140725 2.816000  276.784058 2.816000 
277.140725 2.816000  281.888353 2.816000 
282.140725 2.816000  286.915746 2.816000 
287.140725 2.816000  291.800540 2.816000 
292.140725 2.816000  296.898225 2.816000 
297.140725 2.816000  301.849431 2.816000 
302.140725 2.816000  306.814871 2.816000 
307.140725 2.816000  311.864368 2.816000 
312.140725 2.816000  316.690922 2.816000 
317.140725 3.072000  322.219295 3.072000 
322.219295 2.816000  326.890932 2.816000 
327.140725 2.816000  331.774494 2.816000 
332.140725 2.816000  336.710492 2.816000 
337.140725 3.072000  342.155381 3.072000 
342.155381 2.816000  346.869055 2.816000 
347.140725 2.816000  351.875797 2.816000 
352.140725 2.816000  356.742064 2.816000 
357.140725 2.816000  361.664709 2.816000 
362.140725 3.072000  367.240566 3.072000 
367.240566 2.816000  371.980835 2.816000 
372.140725 2.816000  376.892722 2.816000 
377.140725 2.816000  381.808501 2.816000 
382.140725 2.816000  386.718019 2.816000 
387.140725 3.072000  392.205010 3.072000 
392.205010 2.816000  396.907425 2.816000 
397.140725 2.816000  401.860942 2.816000 
402.140725 2.816000  406.867159 2.816000 
407.140725 2.816000  411.818520 2.816000 
412.140725 2.816000  416.786936 2.816000 
417.140725 2.816000  421.704384 2.816000 
422.140725 3.072000  427.316300 3.072000 
427.316300 2.816000  432.004482 2.816000 
432.140725 2.816000  436.775731 2.816000 
437.140725 2.816000  441.838074 2.816000 
442.140725 2.816000  446.782154 2.816000 
447.140725 2.816000  451.733543 2.816000 
452.140725 2.816000  456.896700 2.816000 
457.140725 2.816000  461.826449 2.816000 
462.140725 2.816000  466.886360 2.816000 
467.140725 2.816000  471.624129 2.816000 
472.140725 3.072000  477.302076 3.072000 
477.302076 2.816000  482.043187 2.816000 
482.140725 2.816000  486.750110 2.816000 
487.140725 2.816000  491.694645 2.816000 
492.140725 3.072000  497.401024 3.072000 
497.401024 2.816000  502.042320 2.816000 
502.140725 2.816000  506.826518 2.816000 
507.140725 2.816000  511.847435 2.816000 
512.140725 2.816000  516.809441 2.816000 
517.140725 2.816000  521.850686 2.816000 
522.140725 2.816000  526.694795 2.816000 
527.140725 3.072000  532.232632 3.072000 
532.232632 2.816000  536.845814 2.816000 
537.140725 2.816000  541.771198 2.816000 
542.140725 2.816000  546.753902 2.816000 
547.140725 2.816000  551.826247 2.816000 
552.140725 2.816000  556.601003 2.816000 
557.140725 3.072000  562.223697 3.072000 
562.223697 2.816000  566.731550 2.816000 
567.140725 3.072000  572.223932 3.072000 
572.223932 2.816000  576.947842 2.816000 
577.140725 2.816000  581.701325 2.816000 
582.140725 3.072000  587.251185 3.072000 
587.251185 2.816000  591.996017 2.816000 
592.140725 2.816000  596.866462 2.816000 
597.140725 2.816000  601.850967 2.816000 
602.140725 2.816000  606.660843 2.816000 
607.140725 3.072000  612.147884 3.072000 
612.147884 2.816000  616.828379 2.816000 
617.140725 2.816000  621.721278 2.816000 
622.140725 3.072000  627.285430 3.072000 
627.285430 2.816000  631.930002 2.816000 
632.140725 2.816000  636.705335 2.816000 
637.140725 3.072000  642.089869 3.072000 
642.140725 3.072000  647.167208 3.072000 
647.167208 2.816000  651.829739 2.816000 
652.140725 2.816000  656.752133 2.816000 
657.140725 2.816000  661.816234 2.816000 
662.140725 2.816000  666.872896 2.816000 
667.140725 2.816000  671.818726 2.816000 
672.140725 2.816000  676.767777 2.816000 
677.140725 2.816000  681.741788 2.816000 
682.140725 2.816000  686.679995 2.816000 
687.140725 3.072000  692.239741 3.072000 
692.239741 2.816000  696.900732 2.816000 
697.140725 2.816000  701.708719 2.816000 
702.140725 3.072000  707.123692 3.072000 
707.140725 3.072000  712.260981 3.072000 
712.260981 2.816000  716.809252 2.816000 
717.140725 3.072000  722.098254 3.072000 
722.140725 3.072000  727.254128 3.072000 
727.254128 2.816000  731.773653 2.816000 
732.140725 3.072000  737.083264 3.072000 
737.140725 3.072000  742.156610 3.072000 
742.156610 2.816000  746.725160 2.816000 
747.140725 3.072000  752.006704 3.072000 
752.140725 3.072000  757.361043 3.072000 
757.361043 2.816000  762.112342 2.816000 
762.140725 2.816000  766.694849 2.816000 
767.140725 3.072000  771.959924 3.072000 
772.140725 3.072000  777.200525 3.072000 
777.200525 2.816000  781.904971 2.816000 
782.140725 2.816000  786.665754 2.816000 
787.140725 3.072000  792.173229 3.072000 
792.173229 2.816000  796.818441 2.816000 
797.140725 2.816000  801.716649 2.816000 
802.140725 3.072000  807.224872 3.072000 
807.224872 2.816000  811.842001 2.816000 
812.140725 2.816000  816.682407 2.816000 
817.140725 3.072000  822.251195 3.072000 
