# AndroidClient mimuroto
125.010758 0.128000  125.192946 0.128000 
125.242946 3.328000  129.898557 3.328000 
129.948557 3.328000  134.590414 3.328000 
134.640414 3.328000  139.282329 3.328000 
139.640414 3.328000  144.310534 3.328000 
144.640414 3.328000  149.283487 3.328000 
149.640414 3.328000  154.328463 3.328000 
154.640414 3.328000  160.027267 3.328000 
160.027267 3.328000  165.606206 3.328000 
165.606206 3.328000  171.175487 3.328000 
171.175487 3.328000  176.776387 3.328000 
176.776387 3.072000  181.923831 3.072000 
181.923831 3.072000  187.025524 3.072000 
187.025524 3.072000  192.130856 3.072000 
192.130856 3.072000  197.157061 3.072000 
197.157061 3.072000  202.103527 3.072000 
202.103527 3.072000  207.146067 3.072000 
207.146067 3.072000  212.126471 3.072000 
212.126471 3.072000  217.166445 3.072000 
217.166445 3.072000  222.239706 3.072000 
222.239706 3.072000  227.318387 3.072000 
227.318387 3.072000  232.434563 3.072000 
232.434563 3.072000  237.495486 3.072000 
237.495486 3.072000  242.472575 3.072000 
242.472575 3.072000  247.549036 3.072000 
247.549036 3.072000  252.589871 3.072000 
252.589871 3.072000  257.768310 3.072000 
257.768310 3.072000  262.881285 3.072000 
262.881285 3.072000  267.884869 3.072000 
267.884869 3.072000  272.942003 3.072000 
272.942003 3.072000  277.985057 3.072000 
277.985057 3.072000  283.102014 3.072000 
283.102014 3.072000  288.133372 3.072000 
288.133372 3.072000  293.279798 3.072000 
293.279798 3.072000  298.395419 3.072000 
298.395419 3.072000  303.410576 3.072000 
303.410576 3.072000  308.504352 3.072000 
308.504352 3.072000  313.463118 3.072000 
313.463118 3.072000  318.569626 3.072000 
318.569626 3.072000  323.553439 3.072000 
323.553439 3.072000  328.517976 3.072000 
328.517976 3.072000  333.428764 3.072000 
333.428764 3.072000  338.399782 3.072000 
338.399782 3.072000  343.454392 3.072000 
343.454392 3.072000  348.455820 3.072000 
348.455820 3.072000  353.483619 3.072000 
353.483619 3.072000  358.602735 3.072000 
358.602735 3.072000  363.429824 3.072000 
363.429824 3.072000  368.507923 3.072000 
368.507923 3.072000  373.565362 3.072000 
373.565362 3.072000  378.645221 3.072000 
378.645221 3.072000  383.569376 3.072000 
383.569376 3.072000  388.511358 3.072000 
388.511358 3.072000  393.482193 3.072000 
393.482193 3.072000  398.641469 3.072000 
398.641469 3.072000  403.630223 3.072000 
403.630223 3.072000  408.583099 3.072000 
408.583099 3.072000  413.569680 3.072000 
413.569680 3.072000  418.543652 3.072000 
418.543652 3.072000  423.369832 3.072000 
423.369832 3.072000  428.547100 3.072000 
428.547100 3.072000  433.640367 3.072000 
433.640367 3.072000  438.567792 3.072000 
438.567792 3.072000  443.469250 3.072000 
443.469250 3.072000  448.450069 3.072000 
448.450069 3.072000  453.431130 3.072000 
453.431130 3.072000  458.405312 3.072000 
458.405312 3.072000  463.430041 3.072000 
463.430041 3.072000  468.535732 3.072000 
468.535732 3.072000  473.452000 3.072000 
473.452000 3.072000  478.541407 3.072000 
478.541407 3.072000  483.565987 3.072000 
483.565987 3.072000  488.565897 3.072000 
488.565897 3.072000  493.500316 3.072000 
493.500316 3.072000  498.660427 3.072000 
498.660427 3.072000  503.717033 3.072000 
503.717033 3.072000  508.644883 3.072000 
508.644883 3.072000  513.638596 3.072000 
513.638596 3.072000  518.649583 3.072000 
518.649583 3.072000  523.704928 3.072000 
523.704928 3.072000  528.693017 3.072000 
528.693017 3.072000  533.923702 3.072000 
533.923702 3.072000  539.085954 3.072000 
539.085954 3.072000  544.013290 3.072000 
544.013290 3.072000  548.937320 3.072000 
548.937320 3.072000  554.001137 3.072000 
554.001137 3.072000  558.888957 3.072000 
558.888957 3.072000  564.031904 3.072000 
564.031904 3.072000  568.997875 3.072000 
568.997875 3.072000  574.067887 3.072000 
574.067887 3.072000  579.098646 3.072000 
579.098646 3.072000  584.071309 3.072000 
584.071309 3.072000  589.162911 3.072000 
589.162911 3.072000  594.255126 3.072000 
594.255126 3.072000  599.287467 3.072000 
599.287467 3.072000  604.264388 3.072000 
604.264388 3.072000  609.240694 3.072000 
609.240694 3.072000  614.243128 3.072000 
614.243128 3.072000  619.365664 3.072000 
619.365664 3.072000  624.343747 3.072000 
624.343747 3.072000  629.467069 3.072000 
629.467069 3.072000  634.480192 3.072000 
634.480192 2.816000  639.080232 2.816000 
639.080232 2.816000  643.804425 2.816000 
643.804425 2.816000  648.491102 2.816000 
648.491102 2.816000  653.117259 2.816000 
653.117259 2.816000  657.666664 2.816000 
657.666664 2.816000  662.304843 2.816000 
662.304843 2.816000  667.075904 2.816000 
667.075904 2.816000  671.807901 2.816000 
671.807901 2.816000  676.354104 2.816000 
676.354104 2.816000  680.910664 2.816000 
680.910664 2.816000  685.411259 2.816000 
685.411259 2.816000  689.970754 2.816000 
689.970754 2.816000  694.546480 2.816000 
694.640414 2.816000  699.182301 2.816000 
699.640414 2.816000  704.155734 2.816000 
704.640414 2.816000  709.406801 2.816000 
709.640414 2.816000  714.396966 2.816000 
714.640414 2.816000  719.128882 2.816000 
719.640414 2.816000  724.138715 2.816000 
724.640414 2.816000  729.370705 2.816000 
729.640414 2.816000  734.149235 2.816000 
734.640414 2.816000  739.281574 2.816000 
739.640414 2.816000  744.227936 2.816000 
744.640414 2.816000  749.186130 2.816000 
749.640414 2.816000  754.254578 2.816000 
754.640414 2.816000  759.355813 2.816000 
759.640414 2.816000  764.204146 2.816000 
764.640414 2.816000  769.221164 2.816000 
769.640414 2.816000  774.268252 2.816000 
774.640414 2.816000  779.493825 2.816000 
779.640414 2.816000  784.286422 2.816000 
784.640414 2.816000  789.142123 2.816000 
789.640414 2.816000  794.326991 2.816000 
794.640414 2.816000  799.264914 2.816000 
799.640414 2.816000  804.202677 2.816000 
804.640414 2.816000  809.465897 2.816000 
809.640414 2.816000  814.208441 2.816000 
814.640414 2.816000  819.239215 2.816000 
819.640414 2.816000  824.446623 2.816000 
824.640414 2.816000  829.277830 2.816000 
829.640414 2.816000  834.202264 2.816000 
834.640414 2.816000  839.056512 2.816000 
839.640414 2.816000  844.170248 2.816000 
844.640414 2.816000  849.290861 2.816000 
849.640414 2.816000  854.181940 2.816000 
854.640414 2.816000  859.194432 2.816000 
859.640414 2.816000  864.205152 2.816000 
864.640414 2.816000  869.295205 2.816000 
869.640414 2.816000  874.294002 2.816000 
874.640414 2.816000  879.153334 2.816000 
879.640414 2.816000  884.185452 2.816000 
884.640414 2.816000  889.288153 2.816000 
889.640414 2.816000  894.202445 2.816000 
894.640414 2.816000  898.977244 2.816000 
899.640414 2.816000  904.091920 2.816000 
904.640414 2.816000  909.026522 2.816000 
909.640414 2.816000  913.990493 2.816000 
914.640414 2.816000  918.581101 2.816000 
919.640414 2.816000  922.537174 2.816000 
924.640414 3.072000  927.358147 3.072000 
929.640414 3.072000  932.998791 3.072000 
934.640414 3.072000  938.301526 3.072000 
939.640414 3.072000  943.248772 3.072000 
944.640414 3.072000  948.312652 3.072000 
949.640414 3.072000  953.360079 3.072000 
954.640414 3.072000  958.349055 3.072000 
959.640414 3.072000  963.303045 3.072000 
964.640414 3.072000  968.309421 3.072000 
969.640414 3.072000  973.192250 3.072000 
974.640414 3.072000  978.044115 3.072000 
979.640414 3.072000  981.652539 3.072000 
984.640414 3.072000  985.535372 3.072000 
989.640414 3.072000  990.527357 3.072000 
994.640414 3.072000  995.525069 3.072000 
999.640414 3.072000  1000.520755 3.072000 
1004.640414 3.328000  1005.599272 3.328000 
1009.640414 3.328000  1010.595773 3.328000 
1014.640414 3.328000  1015.595298 3.328000 
